vision_encoder,text_encoder,vision_setup,fusion_type,use_local_blf,use_global_blf,val_loss,i2t_R@1,i2t_R@5,i2t_R@10,t2i_R@1,t2i_R@5,t2i_R@10,mean_rank_i2t,median_rank_i2t,mean_rank_t2i,median_rank_t2i,params_total,params_trainable,mean_R@1
convnext_tiny,bge_small_en,convnext_tiny only,concat_mlp,False,False,0.5825273402129547,0.1278000026941299,0.3544000089168548,0.4891999959945678,0.1454000025987625,0.3765999972820282,0.5235999822616577,34.57559967041016,11.0,33.089599609375,9.0,62559969.0,1379841.0,0.1366000026464462
convnext_tiny,e5_small_v2,convnext_tiny only,concat_mlp,False,False,0.6264140839818158,0.1234000027179718,0.3323999941349029,0.4686000049114227,0.1376000046730041,0.3544000089168548,0.4968000054359436,37.91740036010742,12.0,36.52040100097656,11.0,62559969.0,1379841.0,0.13050000369548795
dinov2_vits14,bge_small_en,dinov2_vits14 only,concat_mlp,False,False,0.6973908296491527,0.1107999980449676,0.3030000030994415,0.4449999928474426,0.1298000067472458,0.3434000015258789,0.4727999866008758,44.23199844360352,13.0,42.97520065307617,12.0,56599809.0,1183233.0,0.12030000239610669
convnext_tiny,distilbert,convnext_tiny only,concat_mlp,False,False,0.4430897536740941,0.099600002169609,0.2680000066757202,0.3984000086784363,0.099600002169609,0.290800005197525,0.4171999990940094,44.4098014831543,16.0,46.43939971923828,15.0,95759457.0,1576449.0,0.099600002169609
convnextv2_tiny,bge_small_en,convnextv2_tiny only,concat_mlp,False,False,0.7620816011972065,0.0945999994874,0.2737999856472015,0.4043999910354614,0.1005999967455864,0.2960000038146972,0.4275999963283539,46.34980010986328,16.0,48.81380081176758,14.0,62606337.0,1379841.0,0.0975999981164932
dinov2_vits14,e5_small_v2,dinov2_vits14 only,concat_mlp,False,False,0.7854555628344982,0.0806000009179115,0.2509999871253967,0.3758000135421753,0.097800001502037,0.2863999903202057,0.4230000078678131,55.78559875488281,18.0,48.257598876953125,14.0,56599809.0,1183233.0,0.08920000120997426
efficientnet_b0,bge_small_en,efficientnet_b0 only,concat_mlp,False,False,0.8364262790242328,0.0865999981760978,0.2617999911308288,0.3917999863624573,0.0873999968171119,0.2669999897480011,0.3840000033378601,57.512001037597656,17.0,54.42160034179688,17.0,39009533.0,1641985.0,0.08699999749660485
efficientnet_b0,e5_small_v2,efficientnet_b0 only,concat_mlp,False,False,0.8863032577158529,0.0817999988794326,0.2372000068426132,0.3619999885559082,0.0780000016093254,0.2381999939680099,0.3458000123500824,61.55099868774414,21.0,57.67300033569336,21.0,39009533.0,1641985.0,0.07990000024437899
swin_tiny,distilbert,swin_tiny only,concat_mlp,False,False,0.8451800419937207,0.0788000002503395,0.2450000047683715,0.3675999939441681,0.0806000009179115,0.2538000047206878,0.375,58.582401275634766,18.0,57.00080108642578,17.0,95458683.0,1576449.0,0.07970000058412549
convnextv2_tiny,e5_small_v2,convnextv2_tiny only,concat_mlp,False,False,0.8680661562122877,0.0719999969005584,0.2215999960899353,0.3420000076293945,0.0776000022888183,0.2437999993562698,0.3664000034332275,59.529598236083984,21.0,57.355201721191406,19.0,62606337.0,1379841.0,0.07479999959468836
swin_tiny,bge_small_en,swin_tiny only,concat_mlp,False,False,0.9386540242954146,0.0640000030398368,0.2212000042200088,0.3386000096797943,0.0785999968647956,0.2261999994516372,0.3456000089645386,64.79139709472656,22.0,62.405799865722656,20.0,62259195.0,1379841.0,0.0712999999523162
efficientnet_b0,distilbert,efficientnet_b0 only,concat_mlp,False,False,0.6554302005393869,0.0520000010728836,0.1762000024318695,0.2766000032424927,0.0542000010609626,0.1940000057220459,0.2962000072002411,77.4219970703125,29.0,70.01419830322266,26.0,72209021.0,1838593.0,0.0531000010669231
dinov2_vits14,distilbert,dinov2_vits14 only,concat_mlp,False,False,1.0696377637265604,0.0524000003933906,0.1788000017404556,0.2845999896526336,0.0538000017404556,0.1925999969244003,0.3055999875068664,80.4634017944336,28.0,80.9385986328125,26.0,89799297.0,1379841.0,0.0531000010669231
convnextv2_tiny,distilbert,convnextv2_tiny only,concat_mlp,False,False,1.0744687001916426,0.0491999983787536,0.1666000038385391,0.2770000100135803,0.0564000010490417,0.1881999969482422,0.294400006532669,73.1803970336914,28.0,78.08180236816406,26.0,95805825.0,1576449.0,0.05279999971389765
swin_tiny,e5_small_v2,swin_tiny only,concat_mlp,False,False,1.057704750495621,0.0441999994218349,0.1668000072240829,0.2718000113964081,0.060199998319149,0.1992000043392181,0.3097999989986419,79.29540252685547,28.0,74.29840087890625,24.0,62259195.0,1379841.0,0.052199998870491954
