vision_encoder,text_encoder,variant,use_local_blf,use_global_blf,fusion_type,selection_metric,best_epoch,seed,batch_size,run_dir,train_loss,i2t_R@1,i2t_R@5,i2t_R@10,mean_rank_i2t,median_rank_i2t,t2i_R@1,t2i_R@5,t2i_R@10,mean_rank_t2i,median_rank_t2i,val_loss,logit_scale,params_total,params_trainable,mean_R@1
convnext_tiny,all_minilm_l6_v2,baseline,False,False,concat_mlp,i2t_R@1,2,unknown,unknown,checkpoints/convnext_tiny_all_minilm_l6_v2_baseline,0.5449266551458365,0.1425999999046325,0.3682000041007995,0.5109999775886536,34.56700134277344,10.0,0.1509999930858612,0.3966000080108642,0.5347999930381775,35.40959930419922,9.0,0.5676007893266557,18.383319854736328,51913185.0,1379841.0,0.14679999649524686
convnext_tiny,all_minilm_l6_v2,global,False,True,concat_mlp,i2t_R@1,2,unknown,unknown,checkpoints/convnext_tiny_all_minilm_l6_v2_global,0.5427331797730253,0.13680000603199,0.3700000047683716,0.5170000195503235,32.80139923095703,10.0,0.1482000052928924,0.3948000073432922,0.5383999943733215,33.495201110839844,9.0,0.5597344751976714,18.428783416748047,52015489.0,1482145.0,0.1425000056624412
convnext_tiny,all_minilm_l6_v2,local,True,False,concat_mlp,i2t_R@1,2,unknown,unknown,checkpoints/convnext_tiny_all_minilm_l6_v2_local,0.5449009547528865,0.1405999958515167,0.3758000135421753,0.5278000235557556,33.623199462890625,9.0,0.154799997806549,0.3991999924182892,0.5364000201225281,34.527801513671875,9.0,0.5721479565659656,18.36250877380371,51986753.0,1453409.0,0.14769999682903284
convnext_tiny,all_minilm_l6_v2,local_global,True,True,concat_mlp,i2t_R@1,2,unknown,unknown,checkpoints/convnext_tiny_all_minilm_l6_v2_local_global,0.5039089437576163,0.1410000026226043,0.3794000148773193,0.5192000269889832,32.75899887084961,10.0,0.151199996471405,0.3944000005722046,0.5360000133514404,33.20759963989258,9.0,0.5626809633796728,18.70370483398437,52089057.0,1555713.0,0.14609999954700464
convnext_tiny,bge_small_en,baseline,False,False,concat_mlp,i2t_R@1,2,unknown,unknown,checkpoints/convnext_tiny_bge_small_en_baseline,0.3936233601999797,0.1278000026941299,0.3544000089168548,0.4891999959945678,34.57559967041016,11.0,0.1454000025987625,0.3765999972820282,0.5235999822616577,33.089599609375,9.0,0.5825273402129547,18.91459846496582,62559969.0,1379841.0,0.1366000026464462
convnext_tiny,bge_small_en,global,False,True,concat_mlp,i2t_R@1,1,unknown,unknown,checkpoints/convnext_tiny_bge_small_en_global,0.8284603205523083,0.1252000033855438,0.3467999994754791,0.4943999946117401,34.462799072265625,11.0,0.1348000019788742,0.3671999871730804,0.4993999898433685,34.747398376464844,11.0,0.6024237596724606,16.33053970336914,62662273.0,1482145.0,0.13000000268220901
convnext_tiny,bge_small_en,local,True,False,concat_mlp,i2t_R@1,2,unknown,unknown,checkpoints/convnext_tiny_bge_small_en_local,0.4228808311095764,0.133200004696846,0.3623999953269958,0.5091999769210815,33.31880187988281,10.0,0.1351999938488006,0.3754000067710876,0.5167999863624573,33.46839904785156,10.0,0.5779038133877742,19.11839485168457,62633537.0,1453409.0,0.1341999992728233
convnext_tiny,bge_small_en,local_global,True,True,concat_mlp,i2t_R@1,1,unknown,unknown,checkpoints/convnext_tiny_bge_small_en_local_global,0.7925446683358605,0.1150000020861625,0.3296000063419342,0.477400004863739,36.86199951171875,12.0,0.1270000040531158,0.3540000021457672,0.4884000122547149,36.65439987182617,11.0,0.624401104789746,16.469871520996094,62735841.0,1555713.0,0.12100000306963915
convnext_tiny,distilbert,baseline,False,False,concat_mlp,i2t_R@1,1,unknown,unknown,checkpoints/convnext_tiny_distilbert_baseline,0.5952820717111483,0.099600002169609,0.2680000066757202,0.3984000086784363,44.4098014831543,16.0,0.099600002169609,0.290800005197525,0.4171999990940094,46.43939971923828,15.0,0.4430897536740941,17.987625122070312,95759457.0,1576449.0,0.099600002169609
convnext_tiny,distilbert,global,False,True,concat_mlp,i2t_R@1,1,unknown,unknown,checkpoints/convnext_tiny_distilbert_global,0.7922054106050275,0.0945999994874,0.2716000080108642,0.3955999910831451,47.10219955444336,16.0,0.0961999967694282,0.2858000099658966,0.4205999970436096,46.19940185546875,15.0,0.7512525501130503,16.745798110961914,95861761.0,1678753.0,0.0953999981284141
convnext_tiny,distilbert,local,True,False,concat_mlp,i2t_R@1,1,unknown,unknown,checkpoints/convnext_tiny_distilbert_local,0.8885474734657065,0.0971999987959861,0.2865999937057495,0.412200003862381,42.52560043334961,15.0,0.0982000008225441,0.2896000146865845,0.4230000078678131,44.26959991455078,15.0,0.7254799902439117,16.679916381835938,95833025.0,1650017.0,0.09769999980926511
convnext_tiny,distilbert,local_global,True,True,concat_mlp,i2t_R@1,1,unknown,unknown,checkpoints/convnext_tiny_distilbert_local_global,0.890110294671559,0.1027999967336654,0.2915999889373779,0.4228000044822693,43.10820007324219,15.0,0.1114000007510185,0.3091999888420105,0.4411999881267547,44.31760025024414,14.0,0.7148923396686965,16.67654800415039,95935329.0,1752321.0,0.10709999874234194
convnext_tiny,e5_small_v2,baseline,False,False,concat_mlp,i2t_R@1,2,unknown,unknown,checkpoints/convnext_tiny_e5_small_v2_baseline,0.1947349898009412,0.1234000027179718,0.3323999941349029,0.4686000049114227,37.91740036010742,12.0,0.1376000046730041,0.3544000089168548,0.4968000054359436,36.52040100097656,11.0,0.6264140839818158,18.655406951904297,62559969.0,1379841.0,0.13050000369548795
convnext_tiny,e5_small_v2,global,False,True,concat_mlp,i2t_R@1,1,unknown,unknown,checkpoints/convnext_tiny_e5_small_v2_global,0.8270246612770396,0.1283999979496002,0.3463999927043915,0.4846000075340271,34.845001220703125,11.0,0.1381999999284744,0.3594000041484833,0.492000013589859,35.027198791503906,11.0,0.6150987272775625,16.45435333251953,62662273.0,1482145.0,0.1332999989390373
convnext_tiny,e5_small_v2,local,True,False,concat_mlp,i2t_R@1,1,unknown,unknown,checkpoints/convnext_tiny_e5_small_v2_local,0.8391792048685547,0.1242000013589859,0.337799996137619,0.4790000021457672,35.149200439453125,11.0,0.133200004696846,0.3596000075340271,0.4959999918937683,35.555198669433594,11.0,0.6134441721288464,16.354013442993164,62633537.0,1453409.0,0.12870000302791595
convnext_tiny,e5_small_v2,local_global,True,True,concat_mlp,i2t_R@1,1,unknown,unknown,checkpoints/convnext_tiny_e5_small_v2_local_global,0.8208353062492245,0.1293999999761581,0.3398000001907348,0.4842000007629394,36.382598876953125,11.0,0.1425999999046325,0.3592000007629394,0.4979999959468841,36.92660140991211,11.0,0.620772612905955,16.441011428833008,62735841.0,1555713.0,0.1359999999403953
convnextv2_tiny,all_minilm_l6_v2,baseline,False,False,concat_mlp,i2t_R@1,2,unknown,unknown,checkpoints/convnextv2_tiny_all_minilm_l6_v2_baseline,0.5192176004385162,0.1335999965667724,0.363999992609024,0.5009999871253967,35.58000183105469,10.0,0.1519999951124191,0.3783999979496002,0.5167999863624573,36.529598236083984,10.0,0.5923873427547987,18.66719627380371,51959553.0,1379841.0,0.14279999583959574
