vision_encoder,text_encoder,vision_setup,fusion_type,use_local_blf,use_global_blf,val_loss,i2t_R@1,i2t_R@5,i2t_R@10,t2i_R@1,t2i_R@5,t2i_R@10,mean_rank_i2t,median_rank_i2t,mean_rank_t2i,median_rank_t2i,params_total,params_trainable
efficientnet_b0,minilm_l6,efficientnet_b0 only,concat_mlp,False,False,0.5057222277020953,0.0812000036239624,0.26159998774528503,0.3921999931335449,0.08900000154972076,0.2678000032901764,0.3968000113964081,57.09700012207031,17.0,54.1879997253418,16.0,28362749.0,1641985.0
efficientnet_b0,distilbert,efficientnet_b0 only,concat_mlp,False,False,0.6554302005393869,0.052000001072883606,0.1762000024318695,0.2766000032424927,0.05420000106096268,0.1940000057220459,0.2962000072002411,77.4219970703125,29.0,70.01419830322266,26.0,72209021.0,1838593.0
convnext_tiny,minilm_l6,convnext_tiny only,concat_mlp,False,False,0.3552101683939338,0.12099999934434891,0.3368000090122223,0.4878000020980835,0.13619999587535858,0.3601999878883362,0.5105999708175659,35.56959915161133,11.0,37.174198150634766,10.0,51913185.0,1379841.0
convnext_tiny,distilbert,convnext_tiny only,concat_mlp,False,False,0.4430897536740941,0.09960000216960907,0.2680000066757202,0.3984000086784363,0.09960000216960907,0.290800005197525,0.4171999990940094,44.4098014831543,16.0,46.43939971923828,15.0,95759457.0,1576449.0
efficientnet_b0,minilm_l6,efficientnet_b0 local,concat_mlp,True,False,0.7853200797793232,0.09560000151395798,0.28700000047683716,0.41519999504089355,0.10339999943971634,0.29840001463890076,0.423799991607666,54.99440002441406,15.0,51.29520034790039,15.0,28436317.0,1715553.0
efficientnet_b0,distilbert,efficientnet_b0 local,concat_mlp,True,False,1.0196947091836719,0.05999999865889549,0.19359999895095825,0.2996000051498413,0.06199999898672104,0.20399999618530273,0.3052000105381012,76.40979766845703,27.0,72.06120300292969,24.0,72282589.0,1912161.0
convnext_tiny,minilm_l6,convnext_tiny local,concat_mlp,True,False,0.5721479565659656,0.14059999585151672,0.3758000135421753,0.5278000235557556,0.15479999780654907,0.3991999924182892,0.5364000201225281,33.623199462890625,9.0,34.527801513671875,9.0,51986753.0,1453409.0
convnext_tiny,distilbert,convnext_tiny local,concat_mlp,True,False,0.7254799902439117,0.09719999879598618,0.2865999937057495,0.412200003862381,0.0982000008225441,0.2896000146865845,0.4230000078678131,42.52560043334961,15.0,44.26959991455078,15.0,95833025.0,1650017.0
efficientnet_b0,minilm_l6,efficientnet_b0 global,concat_mlp,False,True,0.777977142813085,0.10440000146627426,0.2953999936580658,0.43059998750686646,0.10639999806880951,0.29840001463890076,0.42820000648498535,54.27299880981445,15.0,51.2411994934082,15.0,28465053.0,1744289.0
efficientnet_b0,distilbert,efficientnet_b0 global,concat_mlp,False,True,1.0689329531373857,0.05400000140070915,0.1770000010728836,0.2800000011920929,0.0551999993622303,0.1770000010728836,0.2858000099658966,79.22440338134766,28.0,75.44619750976562,29.0,72311325.0,1940897.0
convnext_tiny,minilm_l6,convnext_tiny global,concat_mlp,False,True,0.5597344751976714,0.13680000603199005,0.3700000047683716,0.5170000195503235,0.14820000529289246,0.39480000734329224,0.5383999943733215,32.80139923095703,10.0,33.495201110839844,9.0,52015489.0,1482145.0
convnext_tiny,distilbert,convnext_tiny global,concat_mlp,False,True,0.7512525501130503,0.09459999948740005,0.27160000801086426,0.39559999108314514,0.09619999676942825,0.2858000099658966,0.4205999970436096,47.10219955444336,16.0,46.19940185546875,15.0,95861761.0,1678753.0
efficientnet_b0,minilm_l6,efficientnet_b0 local+global,concat_mlp,True,True,0.7690055184066296,0.09920000284910202,0.28519999980926514,0.4147999882698059,0.10480000078678131,0.30000001192092896,0.4246000051498413,53.42900085449219,16.0,49.88740158081055,15.0,28538621.0,1817857.0
efficientnet_b0,distilbert,efficientnet_b0 local+global,concat_mlp,True,True,0.9899367379802692,0.06440000236034393,0.19859999418258667,0.30820000171661377,0.0674000009894371,0.20640000700950623,0.3160000145435333,70.71080017089844,25.0,69.69059753417969,24.0,72384893.0,2014465.0
convnext_tiny,minilm_l6,convnext_tiny local+global,concat_mlp,True,True,0.5626809633796728,0.14100000262260437,0.37940001487731934,0.5192000269889832,0.15119999647140503,0.3944000005722046,0.5360000133514404,32.75899887084961,10.0,33.20759963989258,9.0,52089057.0,1555713.0
convnext_tiny,distilbert,convnext_tiny local+global,concat_mlp,True,True,0.7148923396686965,0.10279999673366547,0.29159998893737793,0.4228000044822693,0.11140000075101852,0.3091999888420105,0.44119998812675476,43.10820007324219,15.0,44.31760025024414,14.0,95935329.0,1752321.0
convnextv2_tiny,bge_small_en,convnextv2_tiny only,concat_mlp,False,False,0.7620816011972065,0.09459999948740005,0.27379998564720154,0.4043999910354614,0.1005999967455864,0.29600000381469727,0.4275999963283539,46.34980010986328,16.0,48.81380081176758,14.0,62606337.0,1379841.0
convnextv2_tiny,e5_small_v2,convnextv2_tiny only,concat_mlp,False,False,0.8680661562122877,0.07199999690055847,0.2215999960899353,0.34200000762939453,0.07760000228881836,0.24379999935626984,0.36640000343322754,59.529598236083984,21.0,57.355201721191406,19.0,62606337.0,1379841.0
convnextv2_tiny,all_minilm_l6_v2,convnextv2_tiny only,concat_mlp,False,False,0.7162249827686744,0.10140000283718109,0.2994000017642975,0.4307999908924103,0.11500000208616257,0.31859999895095825,0.4519999921321869,44.6265983581543,14.0,46.11479949951172,13.0,51959553.0,1379841.0
convnextv2_tiny,minilm_l6,convnextv2_tiny only,concat_mlp,False,False,0.7162249827686744,0.10140000283718109,0.2994000017642975,0.4307999908924103,0.11500000208616257,0.31859999895095825,0.4519999921321869,44.6265983581543,14.0,46.11479949951172,13.0,51959553.0,1379841.0
convnextv2_tiny,distilbert,convnextv2_tiny only,concat_mlp,False,False,1.0744687001916426,0.04919999837875366,0.16660000383853912,0.2770000100135803,0.05640000104904175,0.1881999969482422,0.29440000653266907,73.1803970336914,28.0,78.08180236816406,26.0,95805825.0,1576449.0
dinov2_vits14,bge_small_en,dinov2_vits14 only,concat_mlp,False,False,0.6973908296491527,0.11079999804496765,0.30300000309944153,0.4449999928474426,0.1298000067472458,0.3434000015258789,0.47279998660087585,44.231998443603516,13.0,42.97520065307617,12.0,56599809.0,1183233.0
dinov2_vits14,e5_small_v2,dinov2_vits14 only,concat_mlp,False,False,0.7854555628344982,0.08060000091791153,0.25099998712539673,0.3758000135421753,0.09780000150203705,0.2863999903202057,0.4230000078678131,55.78559875488281,18.0,48.257598876953125,14.0,56599809.0,1183233.0
dinov2_vits14,all_minilm_l6_v2,dinov2_vits14 only,concat_mlp,False,False,0.6426024773641478,0.1143999993801117,0.3287999927997589,0.475600004196167,0.13279999792575836,0.37299999594688416,0.5019999742507935,39.32740020751953,12.0,38.6797981262207,10.0,45953025.0,1183233.0
dinov2_vits14,minilm_l6,dinov2_vits14 only,concat_mlp,False,False,0.6426024773641478,0.1143999993801117,0.3287999927997589,0.475600004196167,0.13279999792575836,0.37299999594688416,0.5019999742507935,39.32740020751953,12.0,38.6797981262207,10.0,45953025.0,1183233.0
dinov2_vits14,distilbert,dinov2_vits14 only,concat_mlp,False,False,1.0696377637265604,0.052400000393390656,0.17880000174045563,0.28459998965263367,0.05380000174045563,0.19259999692440033,0.30559998750686646,80.4634017944336,28.0,80.9385986328125,26.0,89799297.0,1379841.0
swin_tiny,bge_small_en,swin_tiny only,concat_mlp,False,False,0.9386540242954146,0.06400000303983688,0.22120000422000885,0.3386000096797943,0.07859999686479568,0.22619999945163727,0.3456000089645386,64.79139709472656,22.0,62.405799865722656,20.0,62259195.0,1379841.0
swin_tiny,e5_small_v2,swin_tiny only,concat_mlp,False,False,1.057704750495621,0.044199999421834946,0.16680000722408295,0.2718000113964081,0.06019999831914902,0.19920000433921814,0.30979999899864197,79.29540252685547,28.0,74.29840087890625,24.0,62259195.0,1379841.0
swin_tiny,all_minilm_l6_v2,swin_tiny only,concat_mlp,False,False,0.8076351695705818,0.07900000363588333,0.25940001010894775,0.3944000005722046,0.09300000220537186,0.28519999980926514,0.4169999957084656,55.363800048828125,17.0,52.36439895629883,15.0,51612411.0,1379841.0
swin_tiny,minilm_l6,swin_tiny only,concat_mlp,False,False,0.8076351695705818,0.07900000363588333,0.25940001010894775,0.3944000005722046,0.09300000220537186,0.28519999980926514,0.4169999957084656,55.363800048828125,17.0,52.36439895629883,15.0,51612411.0,1379841.0
swin_tiny,distilbert,swin_tiny only,concat_mlp,False,False,0.8451800419937207,0.07880000025033951,0.24500000476837158,0.3675999939441681,0.08060000091791153,0.25380000472068787,0.375,58.582401275634766,18.0,57.00080108642578,17.0,95458683.0,1576449.0
efficientnet_b0,bge_small_en,efficientnet_b0 only,concat_mlp,False,False,0.8364262790242328,0.08659999817609787,0.26179999113082886,0.3917999863624573,0.08739999681711197,0.2669999897480011,0.3840000033378601,57.512001037597656,17.0,54.421600341796875,17.0,39009533.0,1641985.0
efficientnet_b0,e5_small_v2,efficientnet_b0 only,concat_mlp,False,False,0.8863032577158529,0.08179999887943268,0.23720000684261322,0.3619999885559082,0.07800000160932541,0.23819999396800995,0.3458000123500824,61.55099868774414,21.0,57.67300033569336,21.0,39009533.0,1641985.0
efficientnet_b0,minilm_l6,efficientnet_b0 only,concat_mlp,False,False,0.755209335665794,0.044599998742341995,0.16419999301433563,0.2612000107765198,0.060600001364946365,0.18860000371932983,0.2948000133037567,99.43219757080078,31.0,76.77020263671875,26.0,28362749.0,1641985.0
efficientnet_b0,distilbert,efficientnet_b0 only,concat_mlp,False,False,1.180422384457983,0.01720000058412552,0.07639999687671661,0.13300000131130219,0.023600000888109207,0.09600000083446503,0.15880000591278076,189.8699951171875,69.0,155.5948028564453,57.0,72209021.0,1838593.0
efficientnet_b0,all_minilm_l6_v2,efficientnet_b0 only,concat_mlp,False,False,0.7815034891231151,0.09160000085830688,0.2840000092983246,0.4115999937057495,0.09520000219345093,0.2874000072479248,0.42800000309944153,54.258399963378906,15.0,50.292999267578125,15.0,28362749.0,1641985.0
convnext_tiny,bge_small_en,convnext_tiny only,concat_mlp,False,False,0.5825273402129547,0.12780000269412994,0.35440000891685486,0.48919999599456787,0.1454000025987625,0.3765999972820282,0.5235999822616577,34.575599670410156,11.0,33.089599609375,9.0,62559969.0,1379841.0
convnext_tiny,e5_small_v2,convnext_tiny only,concat_mlp,False,False,0.6264140839818158,0.1234000027179718,0.33239999413490295,0.46860000491142273,0.13760000467300415,0.35440000891685486,0.4968000054359436,37.91740036010742,12.0,36.52040100097656,11.0,62559969.0,1379841.0
convnext_tiny,minilm_l6,convnext_tiny only,concat_mlp,False,False,0.4920539996426576,0.0860000029206276,0.2662000060081482,0.39820000529289246,0.10180000215768814,0.29440000653266907,0.4153999984264374,49.60419845581055,17.0,49.06919860839844,15.0,51913185.0,1379841.0
convnext_tiny,distilbert,convnext_tiny only,concat_mlp,False,False,0.7631378308602959,0.041200000792741776,0.14839999377727509,0.24560000002384186,0.052400000393390656,0.1738000065088272,0.27379998564720154,83.82859802246094,33.0,87.63819885253906,28.0,95759457.0,1576449.0
convnext_tiny,all_minilm_l6_v2,convnext_tiny only,concat_mlp,False,False,0.5676007893266557,0.14259999990463257,0.36820000410079956,0.5109999775886536,0.1509999930858612,0.39660000801086426,0.5347999930381775,34.56700134277344,10.0,35.40959930419922,9.0,51913185.0,1379841.0
convnextv2_tiny,bge_small_en,convnextv2_tiny local,concat_mlp,True,False,0.7754900055595592,0.08739999681711197,0.2687999904155731,0.4002000093460083,0.10760000348091125,0.30079999566078186,0.4318000078201294,49.09859848022461,16.0,47.537601470947266,14.0,62679905.0,1453409.0
convnextv2_tiny,e5_small_v2,convnextv2_tiny local,concat_mlp,True,False,0.8015423999934257,0.08340000361204147,0.25060001015663147,0.3779999911785126,0.09200000017881393,0.2750000059604645,0.39640000462532043,51.84700012207031,18.0,50.675201416015625,16.0,62679905.0,1453409.0
convnextv2_tiny,all_minilm_l6_v2,convnextv2_tiny local,concat_mlp,True,False,0.6944727554351469,0.1096000000834465,0.3075999915599823,0.43560001254081726,0.13220000267028809,0.3472000062465668,0.4862000048160553,45.10100173950195,14.0,41.62580108642578,11.0,52033121.0,1453409.0
convnextv2_tiny,minilm_l6,convnextv2_tiny local,concat_mlp,True,False,0.6944727554351469,0.1096000000834465,0.3075999915599823,0.43560001254081726,0.13220000267028809,0.3472000062465668,0.4862000048160553,45.10100173950195,14.0,41.62580108642578,11.0,52033121.0,1453409.0
convnextv2_tiny,distilbert,convnextv2_tiny local,concat_mlp,True,False,1.0533180350932894,0.05220000073313713,0.17579999566078186,0.2720000147819519,0.06300000101327896,0.1972000002861023,0.3102000057697296,81.17459869384766,28.0,74.90039825439453,25.0,95879393.0,1650017.0
dinov2_vits14,bge_small_en,dinov2_vits14 local,concat_mlp,True,False,0.6872378417962715,0.10540000349283218,0.3131999969482422,0.4490000009536743,0.12639999389648438,0.3336000144481659,0.46480000019073486,43.04240036010742,13.0,41.90879821777344,12.0,56673377.0,1256801.0
