config_id,vision_encoder,text_encoder,variant,task_id,raw_value,normalised_score,rank,absolute_gap_to_best,relative_gap_to_best
convnext_tiny__bge_small_en__baseline,convnext_tiny,bge_small_en,baseline,coco_i2t,0.1777999997138977,0.9108606718500115,6.0,0.01739999651908869,0.08913932814998848
convnext_tiny__distilbert__baseline,convnext_tiny,distilbert,baseline,coco_i2t,0.1198000013828277,0.6137295271247704,17.0,0.07539999485015869,0.38627047287522964
convnext_tiny__e5_small_v2__baseline,convnext_tiny,e5_small_v2,baseline,coco_i2t,0.1659999936819076,0.8504098201096976,10.0,0.029200002551078796,0.14959017989030243
convnextv2_tiny__all_minilm_l6_v2__baseline,convnextv2_tiny,all_minilm_l6_v2,baseline,coco_i2t,0.1700000017881393,0.8709016653116686,9.0,0.025199994444847107,0.12909833468833143
convnextv2_tiny__bge_small_en__baseline,convnextv2_tiny,bge_small_en,baseline,coco_i2t,0.1705999970436096,0.8739754115567975,8.0,0.024599999189376803,0.12602458844320252
convnextv2_tiny__distilbert__baseline,convnextv2_tiny,distilbert,baseline,coco_i2t,0.1129999980330467,0.5788934437179619,19.0,0.0821999981999397,0.4211065562820381
convnextv2_tiny__e5_small_v2__baseline,convnextv2_tiny,e5_small_v2,baseline,coco_i2t,0.1570000052452087,0.8043033210810977,12.0,0.03819999098777768,0.1956966789189023
dinov2_vits14__all_minilm_l6_v2__baseline,dinov2_vits14,all_minilm_l6_v2,baseline,coco_i2t,0.179199993610382,0.9180327718679505,5.0,0.016000002622604398,0.08196722813204949
dinov2_vits14__bge_small_en__baseline,dinov2_vits14,bge_small_en,baseline,coco_i2t,0.1736000031232834,0.8893442954582759,7.0,0.02159999310970301,0.11065570454172413
dinov2_vits14__distilbert__baseline,dinov2_vits14,distilbert,baseline,coco_i2t,0.1324000060558319,0.6782787326378951,15.0,0.06279999017715449,0.32172126736210493
dinov2_vits14__e5_small_v2__baseline,dinov2_vits14,e5_small_v2,baseline,coco_i2t,0.1622000038623809,0.8309426587733258,11.0,0.032999992370605497,0.16905734122667415
efficientnet_b0__all_minilm_l6_v2__baseline,efficientnet_b0,all_minilm_l6_v2,baseline,coco_i2t,0.1164000034332275,0.5963115045058456,18.0,0.0787999927997589,0.4036884954941544
efficientnet_b0__distilbert__baseline,efficientnet_b0,distilbert,baseline,coco_i2t,0.068400003015995,0.3504098582786563,23.0,0.1267999932169914,0.6495901417213437
efficientnet_b0__e5_small_v2__baseline,efficientnet_b0,e5_small_v2,baseline,coco_i2t,0.0997999981045723,0.511270491959709,22.0,0.0953999981284141,0.488729508040291
