config_id,vision_encoder,text_encoder,variant,tasks_evaluated,tasks_won,tasks_within_threshold,mean_normalised_multitask_score,std_normalised_task_performance,task_specialisation_index,latency_ms,cost_adjusted_task_score,strongest_task,strongest_task_score,strongest_task_relative_gap,weakest_task,weakest_task_score,weakest_task_relative_gap,task_specific_strengths,task_specific_weaknesses,normalisation
dinov2_vits14__bge_small_en__baseline,dinov2_vits14,bge_small_en,baseline,5,1,1,0.9326639420043673,0.040893339032738306,0.040893339032738306,8.34284983575344,0.6299025833589228,eurosat,0.2227160483598709,0.0,coco_i2t,0.1736000031232834,0.11065570454172413,"[""eurosat"", ""pets""]","[""cifar100"", ""coco_i2t""]",relative_to_task_best
dinov2_vits14__all_minilm_l6_v2__baseline,dinov2_vits14,all_minilm_l6_v2,baseline,5,0,0,0.9171948732816974,0.04074769257940222,0.04074769257940222,7.525923475623131,0.652209522933405,pets,0.0706521719694137,0.03703702951491483,eurosat,0.1930864155292511,0.13303770899680933,"[""pets"", ""coco_t2i""]","[""cifar100"", ""eurosat""]",relative_to_task_best
convnextv2_tiny__all_minilm_l6_v2__local_global,convnextv2_tiny,all_minilm_l6_v2,local_global,5,0,1,0.9009176394164757,0.07655300654476264,0.07655300654476264,6.848302017897368,0.671582009875963,cifar100,0.2930000126361847,0.016448401413984737,pets,0.0584239140152931,0.20370366233202852,"[""cifar100"", ""coco_t2i""]","[""eurosat"", ""pets""]",relative_to_task_best
convnextv2_tiny__all_minilm_l6_v2__baseline,convnextv2_tiny,all_minilm_l6_v2,baseline,5,1,1,0.895513815413229,0.10492352829475662,0.10492352829475662,6.276567000895739,0.6972951135617211,cifar100,0.29789999127388,0.0,pets,0.0516304336488246,0.29629628689364396,"[""cifar100"", ""eurosat""]","[""coco_i2t"", ""pets""]",relative_to_task_best
dinov2_vits14__e5_small_v2__baseline,dinov2_vits14,e5_small_v2,baseline,5,1,1,0.8872484240663254,0.06085394789917845,0.06085394789917845,8.688510674983263,0.5871890974039775,pets,0.073369562625885,0.0,coco_i2t,0.1622000038623809,0.16905734122667415,"[""pets"", ""eurosat""]","[""coco_t2i"", ""coco_i2t""]",relative_to_task_best
dinov2_vits14__bge_small_en__local,dinov2_vits14,bge_small_en,local,5,0,0,0.8835128999077233,0.10366891703912147,0.10366891703912147,8.540116250514984,0.5897750821926433,coco_t2i,0.154113695025444,0.03961140569724009,pets,0.050271738320589,0.31481480165110065,"[""coco_t2i"", ""eurosat""]","[""cifar100"", ""pets""]",relative_to_task_best
dinov2_vits14__all_minilm_l6_v2__local,dinov2_vits14,all_minilm_l6_v2,local,5,2,2,0.8691767468434058,0.15613159041845887,0.15613159041845887,7.790524326264858,0.6074774639597121,coco_i2t,0.1951999962329864,0.0,pets,0.0421195663511753,0.4259258901958427,"[""coco_i2t"", ""coco_t2i""]","[""eurosat"", ""pets""]",relative_to_task_best
convnextv2_tiny__bge_small_en__baseline,convnextv2_tiny,bge_small_en,baseline,5,0,0,0.8651692477346866,0.06778977870710798,0.06778977870710798,7.1768637746572495,0.6299979537143645,cifar100,0.2849000096321106,0.04363874462090078,eurosat,0.1683950573205948,0.24390245534305965,"[""cifar100"", ""coco_t2i""]","[""pets"", ""eurosat""]",relative_to_task_best
convnext_tiny__bge_small_en__baseline,convnext_tiny,bge_small_en,baseline,5,0,0,0.8642899536077978,0.09022623875675727,0.09022623875675727,6.604635808616877,0.6560552928151415,coco_t2i,0.1488366574048996,0.07249626217700134,pets,0.050271738320589,0.31481480165110065,"[""coco_t2i"", ""coco_i2t""]","[""eurosat"", ""pets""]",relative_to_task_best
convnext_tiny__all_minilm_l6_v2__baseline,convnext_tiny,all_minilm_l6_v2,baseline,5,0,1,0.8539763941125086,0.11525086066551637,0.11525086066551637,5.557092558592558,0.7066875933445467,coco_t2i,0.1576317250728607,0.01768813709093242,pets,0.0489130429923534,0.33333331640855746,"[""coco_t2i"", ""coco_i2t""]","[""eurosat"", ""pets""]",relative_to_task_best
