config_id,vision_encoder,text_encoder,variant,cifar100,coco_i2t,coco_t2i,eurosat,pets
convnext_tiny__all_minilm_l6_v2__baseline,convnext_tiny,all_minilm_l6_v2,baseline,0.8872104615258407,0.9487705396709074,0.9823118629090676,0.7849224228652847,0.6666666835914425
convnext_tiny__bge_small_en__baseline,convnext_tiny,bge_small_en,baseline,0.9043303405958364,0.9108606718500115,0.9275037378229987,0.8935698194212436,0.6851851983488993
convnext_tiny__distilbert__baseline,convnext_tiny,distilbert,baseline,0.7871769476678606,0.6137295271247704,0.6337817482806382,0.681818166612149,0.6296296540765276
convnext_tiny__e5_small_v2__baseline,convnext_tiny,e5_small_v2,baseline,0.8922457436149847,0.8504098201096976,0.8664673470598716,0.8203991497248698,0.5740741098041573
convnextv2_tiny__all_minilm_l6_v2__baseline,convnextv2_tiny,all_minilm_l6_v2,baseline,1.0,0.8709016653116686,0.9362231426239597,0.9667405560241613,0.703703713106356
convnextv2_tiny__all_minilm_l6_v2__local_global,convnextv2_tiny,all_minilm_l6_v2,local_global,0.9835515985860153,0.9375000095422397,0.9646238186775352,0.8226164326086173,0.7962963376679715
convnextv2_tiny__bge_small_en__baseline,convnextv2_tiny,bge_small_en,baseline,0.9563612553790992,0.8739754115567975,0.9060786598977116,0.7560975446569403,0.833333367182885
convnextv2_tiny__distilbert__baseline,convnextv2_tiny,distilbert,baseline,0.8345082691693014,0.5788934437179619,0.6581962952999493,0.5399113260803515,0.38888891145525667
convnextv2_tiny__e5_small_v2__baseline,convnextv2_tiny,e5_small_v2,baseline,0.9570326329937429,0.8043033210810977,0.8139013121868952,0.9146341406299289,0.5740741098041573
dinov2_vits14__all_minilm_l6_v2__baseline,dinov2_vits14,all_minilm_l6_v2,baseline,0.8761329809876383,0.9180327718679505,0.9618833520646219,0.8669622910031907,0.9629629704850852
dinov2_vits14__all_minilm_l6_v2__local,dinov2_vits14,all_minilm_l6_v2,local,0.88821757796849,1.0,1.0,0.883592046444382,0.5740741098041573
dinov2_vits14__bge_small_en__baseline,dinov2_vits14,bge_small_en,baseline,0.8905673495990593,0.8893442954582759,0.9389636092368729,1.0,0.9444444557276285
dinov2_vits14__bge_small_en__local,dinov2_vits14,bge_small_en,local,0.8774757362169257,0.9344262632971109,0.9603885943027599,0.9600887073729204,0.6851851983488993
dinov2_vits14__distilbert__baseline,dinov2_vits14,distilbert,baseline,0.8247734438190188,0.6782787326378951,0.6883407780261973,0.8093126683995906,0.5185185147574568
dinov2_vits14__e5_small_v2__baseline,dinov2_vits14,e5_small_v2,baseline,0.8845250511086332,0.8309426587733258,0.8360737225634133,0.8847006878862553,1.0
efficientnet_b0__all_minilm_l6_v2__baseline,efficientnet_b0,all_minilm_l6_v2,baseline,0.6304129257447953,0.5963115045058456,0.6133532374361925,0.6463414397525634,0.6296296540765276
efficientnet_b0__bge_small_en__baseline,efficientnet_b0,bge_small_en,baseline,0.6082578146063397,0.5522541060257332,0.5615346278738472,0.7760532244237519,0.7962963376679715
efficientnet_b0__distilbert__baseline,efficientnet_b0,distilbert,baseline,0.5659617251733589,0.3504098582786563,0.37020426467937617,0.8370288382595172,0.2962963122808064
efficientnet_b0__e5_small_v2__baseline,efficientnet_b0,e5_small_v2,baseline,0.5968445952401318,0.511270491959709,0.5062281728176575,0.8337029139338966,0.42592594097017156
swin_tiny__all_minilm_l6_v2__baseline,swin_tiny,all_minilm_l6_v2,baseline,0.7045989016458304,0.7428278618131018,0.7807673139369236,0.6130820626832691,0.8888889114552566
swin_tiny__bge_small_en__baseline,swin_tiny,bge_small_en,baseline,0.6639812062287753,0.6875000477111984,0.6958146132652065,0.8070953186092992,0.8518518819403431
swin_tiny__distilbert__baseline,swin_tiny,distilbert,baseline,0.5602551154902551,0.5174180607878835,0.5313900987178991,0.5598669723938913,0.5555555950466992
swin_tiny__e5_small_v2__baseline,swin_tiny,e5_small_v2,baseline,0.6388049958657903,0.6403688648169991,0.6504733182907291,0.8725055651191023,0.7592593081530565
