task_a,task_b,configuration_count,spearman,kendall
coco_i2t,coco_t2i,23,0.9881422924901186,0.9446640316205533
coco_i2t,cifar100,23,0.7796442687747036,0.5810276679841897
coco_i2t,pets,23,0.44939438866997966,0.31602275445751093
coco_i2t,eurosat,23,0.4723320158102767,0.31225296442687744
coco_t2i,cifar100,23,0.7964426877470356,0.6047430830039525
coco_t2i,pets,23,0.4370211951493304,0.30802217839529544
coco_t2i,eurosat,23,0.46739130434782605,0.30434782608695654
cifar100,pets,23,0.2830986677524541,0.19601411352427892
cifar100,eurosat,23,0.4950592885375494,0.35177865612648224
pets,eurosat,23,0.22766676077994563,0.14801065715098613
