text_encoder,task_id,raw_value,rank,anchor
bge_small_en,cifar100,0.2653000056743622,1.0,dinov2_vits14
e5_small_v2,cifar100,0.2635000050067901,2.0,dinov2_vits14
all_minilm_l6_v2,cifar100,0.2610000073909759,3.0,dinov2_vits14
distilbert,cifar100,0.2457000017166137,4.0,dinov2_vits14
all_minilm_l6_v2,coco_i2t,0.179199993610382,1.0,dinov2_vits14
bge_small_en,coco_i2t,0.1736000031232834,2.0,dinov2_vits14
e5_small_v2,coco_i2t,0.1622000038623809,3.0,dinov2_vits14
distilbert,coco_i2t,0.1324000060558319,4.0,dinov2_vits14
all_minilm_l6_v2,coco_t2i,0.1543535590171814,1.0,dinov2_vits14
bge_small_en,coco_t2i,0.1506756246089935,2.0,dinov2_vits14
e5_small_v2,coco_t2i,0.1341648697853088,3.0,dinov2_vits14
distilbert,coco_t2i,0.110458143055439,4.0,dinov2_vits14
bge_small_en,eurosat,0.2227160483598709,1.0,dinov2_vits14
e5_small_v2,eurosat,0.1970370411872863,2.0,dinov2_vits14
all_minilm_l6_v2,eurosat,0.1930864155292511,3.0,dinov2_vits14
distilbert,eurosat,0.1802469193935394,4.0,dinov2_vits14
e5_small_v2,pets,0.073369562625885,1.0,dinov2_vits14
all_minilm_l6_v2,pets,0.0706521719694137,2.0,dinov2_vits14
bge_small_en,pets,0.0692934766411781,3.0,dinov2_vits14
distilbert,pets,0.0380434766411781,4.0,dinov2_vits14
