vision_encoder,task_id,raw_value,rank,anchor
convnextv2_tiny,cifar100,0.29789999127388,1.0,all_minilm_l6_v2
convnext_tiny,cifar100,0.264299988746643,2.0,all_minilm_l6_v2
dinov2_vits14,cifar100,0.2610000073909759,3.0,all_minilm_l6_v2
swin_tiny,cifar100,0.2099000066518783,4.0,all_minilm_l6_v2
efficientnet_b0,cifar100,0.1878000050783157,5.0,all_minilm_l6_v2
convnext_tiny,coco_i2t,0.1852000057697296,1.0,all_minilm_l6_v2
dinov2_vits14,coco_i2t,0.179199993610382,2.0,all_minilm_l6_v2
convnextv2_tiny,coco_i2t,0.1700000017881393,3.0,all_minilm_l6_v2
swin_tiny,coco_i2t,0.1449999958276748,4.0,all_minilm_l6_v2
efficientnet_b0,coco_i2t,0.1164000034332275,5.0,all_minilm_l6_v2
convnext_tiny,coco_t2i,0.1576317250728607,1.0,all_minilm_l6_v2
dinov2_vits14,coco_t2i,0.1543535590171814,2.0,all_minilm_l6_v2
convnextv2_tiny,coco_t2i,0.1502358615398407,3.0,all_minilm_l6_v2
swin_tiny,coco_t2i,0.1252898424863815,4.0,all_minilm_l6_v2
efficientnet_b0,coco_t2i,0.098424881696701,5.0,all_minilm_l6_v2
convnextv2_tiny,eurosat,0.2153086364269256,1.0,all_minilm_l6_v2
dinov2_vits14,eurosat,0.1930864155292511,2.0,all_minilm_l6_v2
convnext_tiny,eurosat,0.1748148202896118,3.0,all_minilm_l6_v2
efficientnet_b0,eurosat,0.1439506113529205,4.0,all_minilm_l6_v2
swin_tiny,eurosat,0.1365432143211364,5.0,all_minilm_l6_v2
dinov2_vits14,pets,0.0706521719694137,1.0,all_minilm_l6_v2
swin_tiny,pets,0.0652173906564712,2.0,all_minilm_l6_v2
convnextv2_tiny,pets,0.0516304336488246,3.0,all_minilm_l6_v2
convnext_tiny,pets,0.0489130429923534,4.0,all_minilm_l6_v2
efficientnet_b0,pets,0.0461956523358821,5.0,all_minilm_l6_v2
