config_id,vision_encoder,text_encoder,variant,best_epoch,checkpoint,checkpoint_bytes,shared_dim,image_size,parameters,trainable_parameters,parameter_bytes,device,device_name,torch_version,batch_size,warmup,repeats,profile_signature,status,batch_latency_seconds,latency_ms,throughput_batches_per_second,throughput_samples_per_second,peak_allocated_bytes,peak_reserved_bytes,flops,flops_per_batch,macs_estimate_per_batch
convnext_tiny__all_minilm_l6_v2__baseline,convnext_tiny,all_minilm_l6_v2,baseline,2,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnext_tiny_all_minilm_l6_v2_baseline/best.pt,218817210,256,224,51913185,1379841,207652740,cuda:0,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.8.0+cu128,8,2,5,8b4f8ce672d1900f8f90,complete,0.0055570925585925,5.557092558592558,179.95021487518096,1439.6017190014477,328419840.0,402653184.0,73178107904.0,73178107904.0,36589053952.0
convnext_tiny__bge_small_en__baseline,convnext_tiny,bge_small_en,baseline,2,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnext_tiny_bge_small_en_baseline/best.pt,261440282,256,224,62559969,1379841,250239876,cuda:0,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.8.0+cu128,8,2,5,8b4f8ce672d1900f8f90,complete,0.0066046358086168,6.604635808616877,151.40880269209228,1211.2704215367382,369827328.0,421527552.0,75055591424.0,75055591424.0,37527795712.0
convnext_tiny__distilbert__baseline,convnext_tiny,distilbert,baseline,1,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnext_tiny_distilbert_baseline/best.pt,395769353,256,224,95759457,1576449,383037828,cuda:0,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.8.0+cu128,8,2,5,8b4f8ce672d1900f8f90,complete,0.0056510455906391,5.651045590639114,176.95840246917976,1415.667219753438,504179712.0,559939584.0,78793502720.0,78793502720.0,39396751360.0
convnext_tiny__e5_small_v2__baseline,convnext_tiny,e5_small_v2,baseline,2,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnext_tiny_e5_small_v2_baseline/best.pt,261440282,256,224,62559969,1379841,250239876,cuda:0,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.8.0+cu128,8,2,5,8b4f8ce672d1900f8f90,complete,0.0063644558191299,6.364455819129944,157.12262421466625,1256.98099371733,371564032.0,421527552.0,75742146560.0,75742146560.0,37871073280.0
convnextv2_tiny__all_minilm_l6_v2__baseline,convnextv2_tiny,all_minilm_l6_v2,baseline,2,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnextv2_tiny_all_minilm_l6_v2_baseline/best.pt,219007904,256,224,51959553,1379841,207838212,cuda:0,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.8.0+cu128,8,2,5,8b4f8ce672d1900f8f90,complete,0.0062765670008957,6.276567000895739,159.3227635198172,1274.5821081585375,367327744.0,520093696.0,73178107904.0,73178107904.0,36589053952.0
convnextv2_tiny__all_minilm_l6_v2__local_global,convnextv2_tiny,all_minilm_l6_v2,local_global,2,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnextv2_tiny_all_minilm_l6_v2_local_global/best.pt,221155704,256,224,52135425,1555713,208541700,cuda:0,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.8.0+cu128,8,2,5,8b4f8ce672d1900f8f90,complete,0.006848302017897367,6.8483020178973675,146.02159738086868,1168.1727790469495,367886848.0,520093696.0,73968867328.0,73968867328.0,36984433664.0
convnextv2_tiny__bge_small_en__baseline,convnextv2_tiny,bge_small_en,baseline,2,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnextv2_tiny_bge_small_en_baseline/best.pt,261630912,256,224,62606337,1379841,250425348,cuda:0,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.8.0+cu128,8,2,5,8b4f8ce672d1900f8f90,complete,0.0071768637746572,7.1768637746572495,139.33662828200437,1114.693026256035,410832384.0,501219328.0,75055591424.0,75055591424.0,37527795712.0
convnextv2_tiny__distilbert__baseline,convnextv2_tiny,distilbert,baseline,2,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnextv2_tiny_distilbert_baseline/best.pt,395962671,256,224,95805825,1576449,383223300,cuda:0,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.8.0+cu128,8,2,5,8b4f8ce672d1900f8f90,complete,0.0064401198178529,6.440119817852974,155.2766141443286,1242.2129131546287,544365568.0,637534208.0,78793502720.0,78793502720.0,39396751360.0
convnextv2_tiny__e5_small_v2__baseline,convnextv2_tiny,e5_small_v2,baseline,1,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnextv2_tiny_e5_small_v2_baseline/best.pt,261630912,256,224,62606337,1379841,250425348,cuda:0,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.8.0+cu128,8,2,5,8b4f8ce672d1900f8f90,complete,0.0071474576368927,7.147457636892796,139.90988835503313,1119.279106840265,410832384.0,501219328.0,75742146560.0,75742146560.0,37871073280.0
dinov2_vits14__all_minilm_l6_v2__baseline,dinov2_vits14,all_minilm_l6_v2,baseline,2,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/dinov2_vits14_all_minilm_l6_v2_baseline/best.pt,193416995,256,224,45953025,1183233,183812100,cuda:0,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.8.0+cu128,8,2,5,8b4f8ce672d1900f8f90,complete,0.0075259234756231,7.525923475623131,132.87405900937654,1062.9924720750123,242279936.0,285212672.0,99875741696.0,99875741696.0,49937870848.0
