config_id,vision_encoder,text_encoder,variant,task,metric,value,best_epoch,checkpoint,mode
convnext_tiny__bge_small_en__baseline,convnext_tiny,bge_small_en,baseline,coco_retrieval,coco5_i2t_R@1,0.1777999997138977,2,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnext_tiny_bge_small_en_baseline/best.pt,full
convnext_tiny__bge_small_en__baseline,convnext_tiny,bge_small_en,baseline,coco_retrieval,coco5_i2t_R@5,0.4090000092983246,2,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnext_tiny_bge_small_en_baseline/best.pt,full
convnext_tiny__bge_small_en__baseline,convnext_tiny,bge_small_en,baseline,coco_retrieval,coco5_i2t_R@10,0.5482000112533569,2,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnext_tiny_bge_small_en_baseline/best.pt,full
convnext_tiny__bge_small_en__baseline,convnext_tiny,bge_small_en,baseline,coco_retrieval,coco5_mean_rank_i2t,29.08839988708496,2,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnext_tiny_bge_small_en_baseline/best.pt,full
convnext_tiny__bge_small_en__baseline,convnext_tiny,bge_small_en,baseline,coco_retrieval,coco5_median_rank_i2t,8.0,2,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnext_tiny_bge_small_en_baseline/best.pt,full
convnext_tiny__bge_small_en__baseline,convnext_tiny,bge_small_en,baseline,coco_retrieval,coco5_t2i_R@1,0.1488366574048996,2,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnext_tiny_bge_small_en_baseline/best.pt,full
convnext_tiny__bge_small_en__baseline,convnext_tiny,bge_small_en,baseline,coco_retrieval,coco5_t2i_R@5,0.3830654919147491,2,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnext_tiny_bge_small_en_baseline/best.pt,full
convnext_tiny__bge_small_en__baseline,convnext_tiny,bge_small_en,baseline,coco_retrieval,coco5_t2i_R@10,0.5231470465660095,2,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnext_tiny_bge_small_en_baseline/best.pt,full
convnext_tiny__bge_small_en__baseline,convnext_tiny,bge_small_en,baseline,coco_retrieval,coco5_mean_rank_t2i,32.45778274536133,2,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnext_tiny_bge_small_en_baseline/best.pt,full
convnext_tiny__bge_small_en__baseline,convnext_tiny,bge_small_en,baseline,coco_retrieval,coco5_median_rank_t2i,9.0,2,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnext_tiny_bge_small_en_baseline/best.pt,full
convnext_tiny__bge_small_en__baseline,convnext_tiny,bge_small_en,baseline,coco_retrieval,coco5_num_image_queries,5000.0,2,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnext_tiny_bge_small_en_baseline/best.pt,full
convnext_tiny__bge_small_en__baseline,convnext_tiny,bge_small_en,baseline,coco_retrieval,coco5_num_text_queries,25014.0,2,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnext_tiny_bge_small_en_baseline/best.pt,full
convnext_tiny__bge_small_en__baseline,convnext_tiny,bge_small_en,baseline,cifar100_zeroshot,top1_accuracy,0.2671000063419342,2,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnext_tiny_bge_small_en_baseline/best.pt,full
convnext_tiny__bge_small_en__baseline,convnext_tiny,bge_small_en,baseline,cifar100_zeroshot,top5_accuracy,0.4778000116348266,2,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnext_tiny_bge_small_en_baseline/best.pt,full
convnext_tiny__bge_small_en__baseline,convnext_tiny,bge_small_en,baseline,cifar100_zeroshot,macro_f1,0.2313505836175838,2,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnext_tiny_bge_small_en_baseline/best.pt,full
convnext_tiny__bge_small_en__baseline,convnext_tiny,bge_small_en,baseline,cifar100_zeroshot,balanced_accuracy,0.2671,2,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnext_tiny_bge_small_en_baseline/best.pt,full
convnext_tiny__bge_small_en__baseline,convnext_tiny,bge_small_en,baseline,cifar100_zeroshot,mean_confidence,0.3501968681812286,2,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnext_tiny_bge_small_en_baseline/best.pt,full
convnext_tiny__bge_small_en__baseline,convnext_tiny,bge_small_en,baseline,cifar100_zeroshot,classification_margin,-0.0280824098736047,2,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnext_tiny_bge_small_en_baseline/best.pt,full
convnext_tiny__bge_small_en__baseline,convnext_tiny,bge_small_en,baseline,cifar100_zeroshot,top1_margin,0.2275203168392181,2,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnext_tiny_bge_small_en_baseline/best.pt,full
convnext_tiny__bge_small_en__baseline,convnext_tiny,bge_small_en,baseline,pets_zeroshot,top1_accuracy,0.0545107647776603,2,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnext_tiny_bge_small_en_baseline/best.pt,full
