config_id,vision_encoder,text_encoder,variant,cifar100_zeroshot__balanced_accuracy,cifar100_zeroshot__classification_margin,cifar100_zeroshot__macro_f1,cifar100_zeroshot__mean_confidence,cifar100_zeroshot__top1_accuracy,cifar100_zeroshot__top1_margin,cifar100_zeroshot__top5_accuracy,coco_retrieval__coco5_i2t_R@1,coco_retrieval__coco5_i2t_R@10,coco_retrieval__coco5_i2t_R@5,coco_retrieval__coco5_mean_rank_i2t,coco_retrieval__coco5_mean_rank_t2i,coco_retrieval__coco5_median_rank_i2t,coco_retrieval__coco5_median_rank_t2i,coco_retrieval__coco5_num_image_queries,coco_retrieval__coco5_num_text_queries,coco_retrieval__coco5_t2i_R@1,coco_retrieval__coco5_t2i_R@10,coco_retrieval__coco5_t2i_R@5,eurosat_zeroshot__balanced_accuracy,eurosat_zeroshot__classification_margin,eurosat_zeroshot__macro_f1,eurosat_zeroshot__mean_confidence,eurosat_zeroshot__top1_accuracy,eurosat_zeroshot__top1_margin,eurosat_zeroshot__top5_accuracy,pets_zeroshot__balanced_accuracy,pets_zeroshot__classification_margin,pets_zeroshot__macro_f1,pets_zeroshot__mean_confidence,pets_zeroshot__top1_accuracy,pets_zeroshot__top1_margin,pets_zeroshot__top5_accuracy
convnext_tiny__all_minilm_l6_v2__baseline,convnext_tiny,all_minilm_l6_v2,baseline,0.2625,-0.0635037720203399,0.2285570439365905,0.4004703462123871,0.262499988079071,0.2691365480422973,0.4970000088214874,0.1852000057697296,0.5702000260353088,0.4334000051021576,25.7455997467041,32.02506637573242,8.0,9.0,5000.0,25014.0,0.1576317250728607,0.5370592474937439,0.3984168767929077,0.17766,-0.3303231298923492,0.1419327141143131,0.5579482913017273,0.1780000030994415,0.3509029150009155,0.6764444708824158,0.0454804595093519,-0.2113841027021408,0.0184936911910615,0.2554899752140045,0.0457890443503856,0.1008797362446785,0.198146641254425
convnext_tiny__bge_small_en__baseline,convnext_tiny,bge_small_en,baseline,0.2671,-0.0280824098736047,0.2313505836175838,0.3501968681812286,0.2671000063419342,0.2275203168392181,0.4778000116348266,0.1777999997138977,0.5482000112533569,0.4090000092983246,29.08839988708496,32.45778274536133,8.0,9.0,5000.0,25014.0,0.1488366574048996,0.5231470465660095,0.3830654919147491,0.2000166666666666,-0.2645594477653503,0.1479973859305778,0.5258256196975708,0.2014074027538299,0.3206380605697632,0.6613333225250244,0.0543294775879045,-0.1780302822589874,0.0331673133263549,0.2220009118318557,0.0545107647776603,0.0796502828598022,0.2027800530195236
convnext_tiny__distilbert__baseline,convnext_tiny,distilbert,baseline,0.235,-0.060123149305582,0.1997243772531594,0.2905084490776062,0.2349999994039535,0.1646317541599273,0.4762000143527984,0.1198000013828277,0.4550000131130218,0.321399986743927,39.57400131225586,46.24062347412109,13.0,15.0,5000.0,25014.0,0.1017030477523803,0.4242024421691894,0.2937954664230346,0.1526466666666666,-0.3170848190784454,0.1042343827832887,0.52306067943573,0.1591851860284805,0.3107025921344757,0.6088888645172119,0.0484500026073059,-0.1943331807851791,0.0216725566376281,0.2352102100849151,0.048787135630846,0.0792756602168083,0.1965113133192062
convnext_tiny__e5_small_v2__baseline,convnext_tiny,e5_small_v2,baseline,0.2649000000000001,-0.0335803665220737,0.2251470714709731,0.3410922884941101,0.2648999989032745,0.2202341854572296,0.4918999969959259,0.1659999936819076,0.5252000093460083,0.3959999978542328,33.07460021972656,34.15951156616211,9.0,11.0,5000.0,25014.0,0.1390421390533447,0.4998400807380676,0.3604781329631805,0.18431,-0.3316947221755981,0.1144449213872823,0.6071202754974365,0.1865925937891006,0.4332702159881592,0.6545555591583252,0.0434496191799562,-0.2150603234767913,0.0174229316935876,0.2596367597579956,0.043336059898138,0.1010671257972717,0.2357590645551681
convnextv2_tiny__all_minilm_l6_v2__baseline,convnextv2_tiny,all_minilm_l6_v2,baseline,0.2951000000000001,-0.0221309699118137,0.2495247504983835,0.3978727459907532,0.2951000034809112,0.27007856965065,0.5166000127792358,0.1700000017881393,0.5669999718666077,0.4199999868869781,28.9955997467041,34.116214752197266,8.0,9.0,5000.0,25014.0,0.1502358615398407,0.5280243158340454,0.3875029981136322,0.21676,-0.2477716952562332,0.1967450977076153,0.5002349019050598,0.2178888916969299,0.2858222424983978,0.6388518810272217,0.0441733766452867,-0.2394531518220901,0.0240645566911687,0.281956136226654,0.0444262735545635,0.1190911754965782,0.1899700164794922
convnextv2_tiny__all_minilm_l6_v2__local_global,convnextv2_tiny,all_minilm_l6_v2,local_global,0.2901000000000002,-0.027151696383953,0.2504780418588992,0.394816517829895,0.2901000082492828,0.2653913497924804,0.5263000130653381,0.1829999983310699,0.5767999887466431,0.4361999928951263,28.31800079345703,33.266212463378906,8.0,9.0,5000.0,25014.0,0.1547933220863342,0.5383385419845581,0.3957383930683136,0.1931033333333333,-0.2998415231704712,0.157094675843008,0.5545775294303894,0.192185178399086,0.349997878074646,0.6471111178398132,0.0376030576030576,-0.2301476597785949,0.0168708362882014,0.2741483449935913,0.0378849804401397,0.1227368712425232,0.1965113133192062
convnextv2_tiny__bge_small_en__baseline,convnextv2_tiny,bge_small_en,baseline,0.2817,-0.0255845952779054,0.234015185080834,0.3974865078926086,0.2816999852657318,0.2669868171215057,0.503000020980835,0.1705999970436096,0.5461999773979187,0.4081999957561493,30.01160049438477,34.97273635864258,8.0,10.0,5000.0,25014.0,0.1453985720872879,0.5184696316719055,0.3785480260848999,0.1717533333333333,-0.2986427843570709,0.1450940837216688,0.5133042335510254,0.1724814772605896,0.2969172298908233,0.6639629602432251,0.0672274521712724,-0.1913237124681472,0.0493156689255017,0.2449812889099121,0.0675933510065078,0.0906168594956398,0.2390297055244445
convnextv2_tiny__distilbert__baseline,convnextv2_tiny,distilbert,baseline,0.2471,-0.0668493285775184,0.2142959888284138,0.3423233032226562,0.2470999956130981,0.2062356173992157,0.4900999963283539,0.1129999980330467,0.4523999989032745,0.3192000091075897,41.73419952392578,48.44610977172852,13.0,15.0,5000.0,25014.0,0.1056208536028862,0.4258815050125122,0.2981530427932739,0.1254299999999999,-0.4079867303371429,0.0988181021788777,0.608830451965332,0.1277777850627899,0.4379647672176361,0.642296314239502,0.0154190554190554,-0.2291367501020431,0.0100965327012498,0.2566953897476196,0.0155355678871274,0.0999278500676155,0.1281003057956695
convnextv2_tiny__e5_small_v2__baseline,convnextv2_tiny,e5_small_v2,baseline,0.2867000000000002,-0.0026959902606904,0.2407043220183307,0.3333505988121032,0.2867000102996826,0.2184571027755737,0.5145000219345093,0.1570000052452087,0.5163999795913696,0.3758000135421753,33.21620178222656,37.75673675537109,10.0,11.0,5000.0,25014.0,0.130606859922409,0.4846885800361633,0.3496841788291931,0.2137433333333333,-0.258179247379303,0.1768347578874292,0.5321763157844543,0.2186296284198761,0.3211442530155182,0.6976666450500488,0.0432459732459732,-0.1942437142133712,0.0256254826489222,0.2396907210350036,0.0436086133122444,0.0953073501586914,0.2311256527900695
dinov2_vits14__all_minilm_l6_v2__baseline,dinov2_vits14,all_minilm_l6_v2,baseline,0.2549,-0.073987953364849,0.2242523130664663,0.3979645371437073,0.2549000084400177,0.2579812407493591,0.5041999816894531,0.179199993610382,0.5885999798774719,0.4469999969005584,27.20940017700196,33.23926544189453,7.0,9.0,5000.0,25014.0,0.1543535590171814,0.5470536351203918,0.4019748866558075,0.2072133333333333,-0.2485086321830749,0.1715170023164432,0.4944417774677276,0.2000740766525268,0.2863953709602356,0.6540740728378296,0.0617218341937443,-0.2472536712884903,0.0350565991623523,0.3013778626918793,0.0621422715485096,0.1435649991035461,0.2352139502763748
