config_id,vision_encoder,text_encoder,variant,task,size
convnext_tiny__all_minilm_l6_v2__baseline,convnext_tiny,all_minilm_l6_v2,baseline,cifar100_zeroshot,7
convnext_tiny__all_minilm_l6_v2__baseline,convnext_tiny,all_minilm_l6_v2,baseline,coco_retrieval,12
convnext_tiny__all_minilm_l6_v2__baseline,convnext_tiny,all_minilm_l6_v2,baseline,eurosat_zeroshot,7
convnext_tiny__all_minilm_l6_v2__baseline,convnext_tiny,all_minilm_l6_v2,baseline,pets_zeroshot,7
convnext_tiny__bge_small_en__baseline,convnext_tiny,bge_small_en,baseline,cifar100_zeroshot,7
convnext_tiny__bge_small_en__baseline,convnext_tiny,bge_small_en,baseline,coco_retrieval,12
convnext_tiny__bge_small_en__baseline,convnext_tiny,bge_small_en,baseline,eurosat_zeroshot,7
convnext_tiny__bge_small_en__baseline,convnext_tiny,bge_small_en,baseline,pets_zeroshot,7
convnext_tiny__distilbert__baseline,convnext_tiny,distilbert,baseline,cifar100_zeroshot,7
convnext_tiny__distilbert__baseline,convnext_tiny,distilbert,baseline,coco_retrieval,12
convnext_tiny__distilbert__baseline,convnext_tiny,distilbert,baseline,eurosat_zeroshot,7
convnext_tiny__distilbert__baseline,convnext_tiny,distilbert,baseline,pets_zeroshot,7
convnext_tiny__e5_small_v2__baseline,convnext_tiny,e5_small_v2,baseline,cifar100_zeroshot,7
convnext_tiny__e5_small_v2__baseline,convnext_tiny,e5_small_v2,baseline,coco_retrieval,12
convnext_tiny__e5_small_v2__baseline,convnext_tiny,e5_small_v2,baseline,eurosat_zeroshot,7
convnext_tiny__e5_small_v2__baseline,convnext_tiny,e5_small_v2,baseline,pets_zeroshot,7
convnextv2_tiny__all_minilm_l6_v2__baseline,convnextv2_tiny,all_minilm_l6_v2,baseline,cifar100_zeroshot,7
convnextv2_tiny__all_minilm_l6_v2__baseline,convnextv2_tiny,all_minilm_l6_v2,baseline,coco_retrieval,12
convnextv2_tiny__all_minilm_l6_v2__baseline,convnextv2_tiny,all_minilm_l6_v2,baseline,eurosat_zeroshot,7
convnextv2_tiny__all_minilm_l6_v2__baseline,convnextv2_tiny,all_minilm_l6_v2,baseline,pets_zeroshot,7
convnextv2_tiny__all_minilm_l6_v2__local_global,convnextv2_tiny,all_minilm_l6_v2,local_global,cifar100_zeroshot,7
convnextv2_tiny__all_minilm_l6_v2__local_global,convnextv2_tiny,all_minilm_l6_v2,local_global,coco_retrieval,12
convnextv2_tiny__all_minilm_l6_v2__local_global,convnextv2_tiny,all_minilm_l6_v2,local_global,eurosat_zeroshot,7
convnextv2_tiny__all_minilm_l6_v2__local_global,convnextv2_tiny,all_minilm_l6_v2,local_global,pets_zeroshot,7
convnextv2_tiny__bge_small_en__baseline,convnextv2_tiny,bge_small_en,baseline,cifar100_zeroshot,7
convnextv2_tiny__bge_small_en__baseline,convnextv2_tiny,bge_small_en,baseline,coco_retrieval,12
convnextv2_tiny__bge_small_en__baseline,convnextv2_tiny,bge_small_en,baseline,eurosat_zeroshot,7
convnextv2_tiny__bge_small_en__baseline,convnextv2_tiny,bge_small_en,baseline,pets_zeroshot,7
convnextv2_tiny__distilbert__baseline,convnextv2_tiny,distilbert,baseline,cifar100_zeroshot,7
convnextv2_tiny__distilbert__baseline,convnextv2_tiny,distilbert,baseline,coco_retrieval,12
convnextv2_tiny__distilbert__baseline,convnextv2_tiny,distilbert,baseline,eurosat_zeroshot,7
convnextv2_tiny__distilbert__baseline,convnextv2_tiny,distilbert,baseline,pets_zeroshot,7
convnextv2_tiny__e5_small_v2__baseline,convnextv2_tiny,e5_small_v2,baseline,cifar100_zeroshot,7
convnextv2_tiny__e5_small_v2__baseline,convnextv2_tiny,e5_small_v2,baseline,coco_retrieval,12
convnextv2_tiny__e5_small_v2__baseline,convnextv2_tiny,e5_small_v2,baseline,eurosat_zeroshot,7
convnextv2_tiny__e5_small_v2__baseline,convnextv2_tiny,e5_small_v2,baseline,pets_zeroshot,7
dinov2_vits14__all_minilm_l6_v2__baseline,dinov2_vits14,all_minilm_l6_v2,baseline,cifar100_zeroshot,7
dinov2_vits14__all_minilm_l6_v2__baseline,dinov2_vits14,all_minilm_l6_v2,baseline,coco_retrieval,12
dinov2_vits14__all_minilm_l6_v2__baseline,dinov2_vits14,all_minilm_l6_v2,baseline,eurosat_zeroshot,7
dinov2_vits14__all_minilm_l6_v2__baseline,dinov2_vits14,all_minilm_l6_v2,baseline,pets_zeroshot,7
dinov2_vits14__all_minilm_l6_v2__local,dinov2_vits14,all_minilm_l6_v2,local,cifar100_zeroshot,7
dinov2_vits14__all_minilm_l6_v2__local,dinov2_vits14,all_minilm_l6_v2,local,coco_retrieval,12
dinov2_vits14__all_minilm_l6_v2__local,dinov2_vits14,all_minilm_l6_v2,local,eurosat_zeroshot,7
dinov2_vits14__all_minilm_l6_v2__local,dinov2_vits14,all_minilm_l6_v2,local,pets_zeroshot,7
dinov2_vits14__bge_small_en__baseline,dinov2_vits14,bge_small_en,baseline,cifar100_zeroshot,7
dinov2_vits14__bge_small_en__baseline,dinov2_vits14,bge_small_en,baseline,coco_retrieval,12
dinov2_vits14__bge_small_en__baseline,dinov2_vits14,bge_small_en,baseline,eurosat_zeroshot,7
dinov2_vits14__bge_small_en__baseline,dinov2_vits14,bge_small_en,baseline,pets_zeroshot,7
dinov2_vits14__bge_small_en__local,dinov2_vits14,bge_small_en,local,cifar100_zeroshot,7
dinov2_vits14__bge_small_en__local,dinov2_vits14,bge_small_en,local,coco_retrieval,12
dinov2_vits14__bge_small_en__local,dinov2_vits14,bge_small_en,local,eurosat_zeroshot,7
dinov2_vits14__bge_small_en__local,dinov2_vits14,bge_small_en,local,pets_zeroshot,7
dinov2_vits14__distilbert__baseline,dinov2_vits14,distilbert,baseline,cifar100_zeroshot,7
dinov2_vits14__distilbert__baseline,dinov2_vits14,distilbert,baseline,coco_retrieval,12
dinov2_vits14__distilbert__baseline,dinov2_vits14,distilbert,baseline,eurosat_zeroshot,7
dinov2_vits14__distilbert__baseline,dinov2_vits14,distilbert,baseline,pets_zeroshot,7
dinov2_vits14__e5_small_v2__baseline,dinov2_vits14,e5_small_v2,baseline,cifar100_zeroshot,7
dinov2_vits14__e5_small_v2__baseline,dinov2_vits14,e5_small_v2,baseline,coco_retrieval,12
dinov2_vits14__e5_small_v2__baseline,dinov2_vits14,e5_small_v2,baseline,eurosat_zeroshot,7
dinov2_vits14__e5_small_v2__baseline,dinov2_vits14,e5_small_v2,baseline,pets_zeroshot,7
efficientnet_b0__all_minilm_l6_v2__baseline,efficientnet_b0,all_minilm_l6_v2,baseline,cifar100_zeroshot,7
efficientnet_b0__all_minilm_l6_v2__baseline,efficientnet_b0,all_minilm_l6_v2,baseline,coco_retrieval,12
efficientnet_b0__all_minilm_l6_v2__baseline,efficientnet_b0,all_minilm_l6_v2,baseline,eurosat_zeroshot,7
efficientnet_b0__all_minilm_l6_v2__baseline,efficientnet_b0,all_minilm_l6_v2,baseline,pets_zeroshot,7
efficientnet_b0__bge_small_en__baseline,efficientnet_b0,bge_small_en,baseline,cifar100_zeroshot,7
efficientnet_b0__bge_small_en__baseline,efficientnet_b0,bge_small_en,baseline,coco_retrieval,12
efficientnet_b0__bge_small_en__baseline,efficientnet_b0,bge_small_en,baseline,eurosat_zeroshot,7
efficientnet_b0__bge_small_en__baseline,efficientnet_b0,bge_small_en,baseline,pets_zeroshot,7
efficientnet_b0__distilbert__baseline,efficientnet_b0,distilbert,baseline,cifar100_zeroshot,7
efficientnet_b0__distilbert__baseline,efficientnet_b0,distilbert,baseline,coco_retrieval,12
efficientnet_b0__distilbert__baseline,efficientnet_b0,distilbert,baseline,eurosat_zeroshot,7
efficientnet_b0__distilbert__baseline,efficientnet_b0,distilbert,baseline,pets_zeroshot,7
efficientnet_b0__e5_small_v2__baseline,efficientnet_b0,e5_small_v2,baseline,cifar100_zeroshot,7
efficientnet_b0__e5_small_v2__baseline,efficientnet_b0,e5_small_v2,baseline,coco_retrieval,12
efficientnet_b0__e5_small_v2__baseline,efficientnet_b0,e5_small_v2,baseline,eurosat_zeroshot,7
efficientnet_b0__e5_small_v2__baseline,efficientnet_b0,e5_small_v2,baseline,pets_zeroshot,7
swin_tiny__all_minilm_l6_v2__baseline,swin_tiny,all_minilm_l6_v2,baseline,cifar100_zeroshot,7
swin_tiny__all_minilm_l6_v2__baseline,swin_tiny,all_minilm_l6_v2,baseline,coco_retrieval,12
swin_tiny__all_minilm_l6_v2__baseline,swin_tiny,all_minilm_l6_v2,baseline,eurosat_zeroshot,7
swin_tiny__all_minilm_l6_v2__baseline,swin_tiny,all_minilm_l6_v2,baseline,pets_zeroshot,7
swin_tiny__bge_small_en__baseline,swin_tiny,bge_small_en,baseline,cifar100_zeroshot,7
swin_tiny__bge_small_en__baseline,swin_tiny,bge_small_en,baseline,coco_retrieval,12
swin_tiny__bge_small_en__baseline,swin_tiny,bge_small_en,baseline,eurosat_zeroshot,7
swin_tiny__bge_small_en__baseline,swin_tiny,bge_small_en,baseline,pets_zeroshot,7
swin_tiny__distilbert__baseline,swin_tiny,distilbert,baseline,cifar100_zeroshot,7
swin_tiny__distilbert__baseline,swin_tiny,distilbert,baseline,coco_retrieval,12
swin_tiny__distilbert__baseline,swin_tiny,distilbert,baseline,eurosat_zeroshot,7
swin_tiny__distilbert__baseline,swin_tiny,distilbert,baseline,pets_zeroshot,7
swin_tiny__e5_small_v2__baseline,swin_tiny,e5_small_v2,baseline,cifar100_zeroshot,7
swin_tiny__e5_small_v2__baseline,swin_tiny,e5_small_v2,baseline,coco_retrieval,12
swin_tiny__e5_small_v2__baseline,swin_tiny,e5_small_v2,baseline,eurosat_zeroshot,7
swin_tiny__e5_small_v2__baseline,swin_tiny,e5_small_v2,baseline,pets_zeroshot,7
