config_id,task,status,checkpoint,cache,predictions,samples,per_class,classes,mode,split_role,dataset_split
convnext_tiny__bge_small_en__baseline,coco_retrieval,complete,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnext_tiny_bge_small_en_baseline/best.pt,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/results/phase1_multitask/cache/convnext_tiny__bge_small_en__baseline__coco__full.pt,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/results/phase1_multitask/predictions/convnext_tiny__bge_small_en__baseline__coco_i2t.jsonl,5000,,,full,development,coco_val2017_development
convnext_tiny__distilbert__baseline,coco_retrieval,complete,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnext_tiny_distilbert_baseline/best.pt,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/results/phase1_multitask/cache/convnext_tiny__distilbert__baseline__coco__full.pt,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/results/phase1_multitask/predictions/convnext_tiny__distilbert__baseline__coco_i2t.jsonl,5000,,,full,development,coco_val2017_development
convnext_tiny__e5_small_v2__baseline,coco_retrieval,complete,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnext_tiny_e5_small_v2_baseline/best.pt,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/results/phase1_multitask/cache/convnext_tiny__e5_small_v2__baseline__coco__full.pt,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/results/phase1_multitask/predictions/convnext_tiny__e5_small_v2__baseline__coco_i2t.jsonl,5000,,,full,development,coco_val2017_development
convnextv2_tiny__all_minilm_l6_v2__baseline,coco_retrieval,complete,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnextv2_tiny_all_minilm_l6_v2_baseline/best.pt,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/results/phase1_multitask/cache/convnextv2_tiny__all_minilm_l6_v2__baseline__coco__full.pt,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/results/phase1_multitask/predictions/convnextv2_tiny__all_minilm_l6_v2__baseline__coco_i2t.jsonl,5000,,,full,development,coco_val2017_development
convnextv2_tiny__bge_small_en__baseline,coco_retrieval,complete,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnextv2_tiny_bge_small_en_baseline/best.pt,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/results/phase1_multitask/cache/convnextv2_tiny__bge_small_en__baseline__coco__full.pt,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/results/phase1_multitask/predictions/convnextv2_tiny__bge_small_en__baseline__coco_i2t.jsonl,5000,,,full,development,coco_val2017_development
convnextv2_tiny__distilbert__baseline,coco_retrieval,complete,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnextv2_tiny_distilbert_baseline/best.pt,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/results/phase1_multitask/cache/convnextv2_tiny__distilbert__baseline__coco__full.pt,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/results/phase1_multitask/predictions/convnextv2_tiny__distilbert__baseline__coco_i2t.jsonl,5000,,,full,development,coco_val2017_development
convnextv2_tiny__e5_small_v2__baseline,coco_retrieval,complete,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnextv2_tiny_e5_small_v2_baseline/best.pt,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/results/phase1_multitask/cache/convnextv2_tiny__e5_small_v2__baseline__coco__full.pt,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/results/phase1_multitask/predictions/convnextv2_tiny__e5_small_v2__baseline__coco_i2t.jsonl,5000,,,full,development,coco_val2017_development
dinov2_vits14__all_minilm_l6_v2__baseline,coco_retrieval,complete,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/dinov2_vits14_all_minilm_l6_v2_baseline/best.pt,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/results/phase1_multitask/cache/dinov2_vits14__all_minilm_l6_v2__baseline__coco__full.pt,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/results/phase1_multitask/predictions/dinov2_vits14__all_minilm_l6_v2__baseline__coco_i2t.jsonl,5000,,,full,development,coco_val2017_development
dinov2_vits14__bge_small_en__baseline,coco_retrieval,complete,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/dinov2_vits14_bge_small_en_baseline/best.pt,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/results/phase1_multitask/cache/dinov2_vits14__bge_small_en__baseline__coco__full.pt,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/results/phase1_multitask/predictions/dinov2_vits14__bge_small_en__baseline__coco_i2t.jsonl,5000,,,full,development,coco_val2017_development
dinov2_vits14__distilbert__baseline,coco_retrieval,complete,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/dinov2_vits14_distilbert_baseline/best.pt,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/results/phase1_multitask/cache/dinov2_vits14__distilbert__baseline__coco__full.pt,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/results/phase1_multitask/predictions/dinov2_vits14__distilbert__baseline__coco_i2t.jsonl,5000,,,full,development,coco_val2017_development
