config_id,vision_encoder,text_encoder,variant,cifar100_zeroshot__balanced_accuracy,cifar100_zeroshot__classification_margin,cifar100_zeroshot__macro_f1,cifar100_zeroshot__mean_confidence,cifar100_zeroshot__top1_accuracy,cifar100_zeroshot__top1_margin,cifar100_zeroshot__top5_accuracy,coco_retrieval__coco5_i2t_R@1,coco_retrieval__coco5_i2t_R@10,coco_retrieval__coco5_i2t_R@5,coco_retrieval__coco5_mean_rank_i2t,coco_retrieval__coco5_mean_rank_t2i,coco_retrieval__coco5_median_rank_i2t,coco_retrieval__coco5_median_rank_t2i,coco_retrieval__coco5_num_image_queries,coco_retrieval__coco5_num_text_queries,coco_retrieval__coco5_t2i_R@1,coco_retrieval__coco5_t2i_R@10,coco_retrieval__coco5_t2i_R@5,eurosat_zeroshot__balanced_accuracy,eurosat_zeroshot__classification_margin,eurosat_zeroshot__macro_f1,eurosat_zeroshot__mean_confidence,eurosat_zeroshot__top1_accuracy,eurosat_zeroshot__top1_margin,eurosat_zeroshot__top5_accuracy,pets_zeroshot__balanced_accuracy,pets_zeroshot__classification_margin,pets_zeroshot__macro_f1,pets_zeroshot__mean_confidence,pets_zeroshot__top1_accuracy,pets_zeroshot__top1_margin,pets_zeroshot__top5_accuracy
convnext_tiny__all_minilm_l6_v2__baseline,convnext_tiny,all_minilm_l6_v2,baseline,0.2643000000000001,-0.0648158416152,0.228229658263078,0.4023761451244354,0.264299988746643,0.2717657089233398,0.4999000132083893,0.1852000057697296,0.5702000260353088,0.4334000051021576,25.7455997467041,32.02506637573242,8.0,9.0,5000.0,25014.0,0.1576317250728607,0.5370592474937439,0.3984168767929077,0.1741777777777778,-0.3390409350395202,0.1412320162992977,0.559752345085144,0.1748148202896118,0.3520188927650451,0.673086404800415,0.0486486486486486,-0.2042357772588729,0.0204843030694423,0.2564145922660827,0.0489130429923534,0.1012472510337829,0.2065217345952987
convnext_tiny__bge_small_en__baseline,convnext_tiny,bge_small_en,baseline,0.2694,-0.0273328553885221,0.2307642739307818,0.3529605567455292,0.2694000005722046,0.2302546948194503,0.4763000011444092,0.1777999997138977,0.5482000112533569,0.4090000092983246,29.08839988708496,32.45778274536133,8.0,9.0,5000.0,25014.0,0.1488366574048996,0.5231470465660095,0.3830654919147491,0.1972,-0.2686949968338012,0.1459821237580684,0.5257320404052734,0.1990123391151428,0.3189341723918915,0.6479012370109558,0.05,-0.1843600124120712,0.0303627630296242,0.2270852178335189,0.050271738320589,0.0848691835999488,0.1997282654047012
convnext_tiny__distilbert__baseline,convnext_tiny,distilbert,baseline,0.2345,-0.0615495182573795,0.1975146367277877,0.2932272553443908,0.2345000058412552,0.1675376892089843,0.4729000031948089,0.1198000013828277,0.4550000131130218,0.321399986743927,39.57400131225586,46.24062347412109,13.0,15.0,5000.0,25014.0,0.1017030477523803,0.4242024421691894,0.2937954664230346,0.1449111111111111,-0.327567458152771,0.0964725539139532,0.5258535146713257,0.1518518477678299,0.3123569190502167,0.614814817905426,0.0459459459459459,-0.1993372291326522,0.0233934293626835,0.2423328310251236,0.0461956523358821,0.085607998073101,0.2038043439388275
convnext_tiny__e5_small_v2__baseline,convnext_tiny,e5_small_v2,baseline,0.2658000000000001,-0.03406972438097,0.2254263287676254,0.3454200327396393,0.2657999992370605,0.225294217467308,0.4905999898910522,0.1659999936819076,0.5252000093460083,0.3959999978542328,33.07460021972656,34.15951156616211,9.0,11.0,5000.0,25014.0,0.1390421390533447,0.4998400807380676,0.3604781329631805,0.1801777777777777,-0.335855096578598,0.1111566608716948,0.60500568151474,0.1827160567045211,0.4301484823226928,0.6466666460037231,0.0418918918918918,-0.2214014381170272,0.0140512215700159,0.2646851241588592,0.0421195663511753,0.1031645387411117,0.2309782654047012
convnextv2_tiny__all_minilm_l6_v2__baseline,convnextv2_tiny,all_minilm_l6_v2,baseline,0.2979,-0.019112043082714,0.2512537263471721,0.3976909816265106,0.29789999127388,0.2697753608226776,0.5181999802589417,0.1700000017881393,0.5669999718666077,0.4199999868869781,28.9955997467041,34.116214752197266,8.0,9.0,5000.0,25014.0,0.1502358615398407,0.5280243158340454,0.3875029981136322,0.2138,-0.2495519518852234,0.1951111963341152,0.4972959756851196,0.2153086364269256,0.2816324234008789,0.6333333253860474,0.051778093883357,-0.2359894514083862,0.0291529281750751,0.2807841598987579,0.0516304336488246,0.1166055276989936,0.1861412972211837
convnextv2_tiny__all_minilm_l6_v2__local_global,convnextv2_tiny,all_minilm_l6_v2,local_global,0.2930000000000001,-0.0239153318107128,0.2504496147239968,0.398282915353775,0.2930000126361847,0.2704269886016845,0.5198000073432922,0.1829999983310699,0.5767999887466431,0.4361999928951263,28.31800079345703,33.266212463378906,8.0,9.0,5000.0,25014.0,0.1547933220863342,0.5383385419845581,0.3957383930683136,0.1839555555555555,-0.3056638836860657,0.150284262840612,0.5519095659255981,0.1832098811864853,0.3468277156352997,0.651604950428009,0.0583214793741109,-0.2186267673969268,0.0288199685673063,0.2738460898399353,0.0584239140152931,0.1223664507269859,0.1970108747482299
convnextv2_tiny__bge_small_en__baseline,convnextv2_tiny,bge_small_en,baseline,0.2849000000000001,-0.0222215056419372,0.2358530668205403,0.3969305753707886,0.2849000096321106,0.2654651999473572,0.5047000050544739,0.1705999970436096,0.5461999773979187,0.4081999957561493,30.01160049438477,34.97273635864258,8.0,10.0,5000.0,25014.0,0.1453985720872879,0.5184696316719055,0.3785480260848999,0.1668444444444444,-0.3026849329471588,0.1400686053766383,0.5120200514793396,0.1683950573205948,0.2956879138946533,0.658765435218811,0.0609530583214793,-0.1928029507398605,0.0438896127139051,0.2427453845739364,0.0611413046717643,0.0868881717324256,0.2486412972211837
convnextv2_tiny__distilbert__baseline,convnextv2_tiny,distilbert,baseline,0.2486,-0.0682523101568222,0.2169745911811525,0.3454081416130066,0.2486000061035156,0.2098909467458725,0.4821999967098236,0.1129999980330467,0.4523999989032745,0.3192000091075897,41.73419952392578,48.44610977172852,13.0,15.0,5000.0,25014.0,0.1056208536028862,0.4258815050125122,0.2981530427932739,0.1170666666666666,-0.4108446538448334,0.0881713045472989,0.6073017716407776,0.1202469170093536,0.4358242750167846,0.6301234364509583,0.0283783783783783,-0.2318593710660934,0.0123349439921816,0.2615630030632019,0.0285326093435287,0.1061691790819168,0.1413043439388275
convnextv2_tiny__e5_small_v2__baseline,convnextv2_tiny,e5_small_v2,baseline,0.2851,-0.0002955356612801,0.2401301875342101,0.3332339227199554,0.2851000130176544,0.2181129157543182,0.5131000280380249,0.1570000052452087,0.5163999795913696,0.3758000135421753,33.21620178222656,37.75673675537109,10.0,11.0,5000.0,25014.0,0.130606859922409,0.4846885800361633,0.3496841788291931,0.1982666666666666,-0.265307068824768,0.1608211553806133,0.52915358543396,0.2037037014961242,0.3172524273395538,0.6953086256980896,0.0419630156472261,-0.1938850134611129,0.0245919982400943,0.2408537417650222,0.0421195663511753,0.095809519290924,0.2459239065647125
dinov2_vits14__all_minilm_l6_v2__baseline,dinov2_vits14,all_minilm_l6_v2,baseline,0.261,-0.0705372169613838,0.23107947816194,0.397945761680603,0.2610000073909759,0.2576015889644623,0.5078999996185303,0.179199993610382,0.5885999798774719,0.4469999969005584,27.20940017700196,33.23926544189453,7.0,9.0,5000.0,25014.0,0.1543535590171814,0.5470536351203918,0.4019748866558075,0.1992444444444444,-0.2551185488700866,0.1665901045166984,0.4974256157875061,0.1930864155292511,0.2897841036319732,0.6469135880470276,0.0712660028449502,-0.2420772910118103,0.031738558720697,0.303814560174942,0.0706521719694137,0.1419352889060974,0.2486412972211837
