direction,candidate_depth,metric,value,task,method,split_role,method_family,ablation_id,config_id,vision_encoder,text_encoder,variant,best_epoch,checkpoint,mode,dataset_split,reliability_status,comparison_note
i2t,16.0,recall_at_1,0.1041999980807304,coco_retrieval,convnext_tiny__all_minilm_l6_v2__baseline,development,cross_attention_bridge,,,,,,,,,,,
i2t,16.0,recall_at_5,0.3653999865055084,coco_retrieval,convnext_tiny__all_minilm_l6_v2__baseline,development,cross_attention_bridge,,,,,,,,,,,
i2t,16.0,recall_at_10,0.5555999875068665,coco_retrieval,convnext_tiny__all_minilm_l6_v2__baseline,development,cross_attention_bridge,,,,,,,,,,,
i2t,16.0,candidate_coverage,0.6668000221252441,coco_retrieval,convnext_tiny__all_minilm_l6_v2__baseline,development,cross_attention_bridge,,,,,,,,,,,
i2t,16.0,mean_rank,9.529999732971191,coco_retrieval,convnext_tiny__all_minilm_l6_v2__baseline,development,cross_attention_bridge,,,,,,,,,,,
i2t,16.0,median_rank,9.0,coco_retrieval,convnext_tiny__all_minilm_l6_v2__baseline,development,cross_attention_bridge,,,,,,,,,,,
i2t,16.0,reranking_latency_ms,1.5186553398147224,coco_retrieval,convnext_tiny__all_minilm_l6_v2__baseline,development,cross_attention_bridge,,,,,,,,,,,
i2t,16.0,pair_count,80000.0,coco_retrieval,convnext_tiny__all_minilm_l6_v2__baseline,development,cross_attention_bridge,,,,,,,,,,,
i2t,32.0,recall_at_1,0.0754000023007392,coco_retrieval,convnext_tiny__all_minilm_l6_v2__baseline,development,cross_attention_bridge,,,,,,,,,,,
i2t,32.0,recall_at_5,0.294400006532669,coco_retrieval,convnext_tiny__all_minilm_l6_v2__baseline,development,cross_attention_bridge,,,,,,,,,,,
i2t,32.0,recall_at_10,0.4751999974250793,coco_retrieval,convnext_tiny__all_minilm_l6_v2__baseline,development,cross_attention_bridge,,,,,,,,,,,
i2t,32.0,candidate_coverage,0.7975999712944031,coco_retrieval,convnext_tiny__all_minilm_l6_v2__baseline,development,cross_attention_bridge,,,,,,,,,,,
i2t,32.0,mean_rank,14.8858003616333,coco_retrieval,convnext_tiny__all_minilm_l6_v2__baseline,development,cross_attention_bridge,,,,,,,,,,,
i2t,32.0,median_rank,11.0,coco_retrieval,convnext_tiny__all_minilm_l6_v2__baseline,development,cross_attention_bridge,,,,,,,,,,,
i2t,32.0,reranking_latency_ms,1.5186553398147224,coco_retrieval,convnext_tiny__all_minilm_l6_v2__baseline,development,cross_attention_bridge,,,,,,,,,,,
i2t,32.0,pair_count,160000.0,coco_retrieval,convnext_tiny__all_minilm_l6_v2__baseline,development,cross_attention_bridge,,,,,,,,,,,
i2t,64.0,recall_at_1,0.0546000003814697,coco_retrieval,convnext_tiny__all_minilm_l6_v2__baseline,development,cross_attention_bridge,,,,,,,,,,,
i2t,64.0,recall_at_5,0.2111999988555908,coco_retrieval,convnext_tiny__all_minilm_l6_v2__baseline,development,cross_attention_bridge,,,,,,,,,,,
i2t,64.0,recall_at_10,0.3600000143051147,coco_retrieval,convnext_tiny__all_minilm_l6_v2__baseline,development,cross_attention_bridge,,,,,,,,,,,
