method,cifar100_zeroshot__additional_latency_ms,cifar100_zeroshot__balanced_accuracy,cifar100_zeroshot__candidate_count,cifar100_zeroshot__candidate_coverage,cifar100_zeroshot__classification_margin,cifar100_zeroshot__macro_f1,cifar100_zeroshot__mean_confidence,cifar100_zeroshot__top1,cifar100_zeroshot__top1_accuracy,cifar100_zeroshot__top1_margin,cifar100_zeroshot__top5,cifar100_zeroshot__top5_accuracy,coco_retrieval__candidate_coverage,coco_retrieval__coco5_i2t_R@1,coco_retrieval__coco5_i2t_R@10,coco_retrieval__coco5_i2t_R@5,coco_retrieval__coco5_mean_rank_i2t,coco_retrieval__coco5_mean_rank_t2i,coco_retrieval__coco5_median_rank_i2t,coco_retrieval__coco5_median_rank_t2i,coco_retrieval__coco5_num_image_queries,coco_retrieval__coco5_num_text_queries,coco_retrieval__coco5_t2i_R@1,coco_retrieval__coco5_t2i_R@10,coco_retrieval__coco5_t2i_R@5,coco_retrieval__mean_rank,coco_retrieval__median_rank,coco_retrieval__pair_count,coco_retrieval__recall_at_1,coco_retrieval__recall_at_10,coco_retrieval__recall_at_5,coco_retrieval__reranking_latency_ms,eurosat_zeroshot__additional_latency_ms,eurosat_zeroshot__balanced_accuracy,eurosat_zeroshot__candidate_count,eurosat_zeroshot__candidate_coverage,eurosat_zeroshot__classification_margin,eurosat_zeroshot__macro_f1,eurosat_zeroshot__mean_confidence,eurosat_zeroshot__top1,eurosat_zeroshot__top1_accuracy,eurosat_zeroshot__top1_margin,eurosat_zeroshot__top5,eurosat_zeroshot__top5_accuracy,multitask__mean_sample_utility,optional__enabled,pets_zeroshot__additional_latency_ms,pets_zeroshot__balanced_accuracy,pets_zeroshot__candidate_count,pets_zeroshot__candidate_coverage,pets_zeroshot__classification_margin,pets_zeroshot__macro_f1,pets_zeroshot__mean_confidence,pets_zeroshot__top1,pets_zeroshot__top1_accuracy,pets_zeroshot__top1_margin,pets_zeroshot__top5,pets_zeroshot__top5_accuracy
best_single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1863888353109359,,,,,,,,,,,,,
bidirectional_optional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
blf,,0.2645999999999999,,,-0.0768716186285018,0.2292760033578377,0.4243253767490387,,0.26460000872612,0.2759110927581787,,0.5196999907493591,,0.1951999962329864,0.5950000286102295,0.4555999934673309,25.08699989318848,30.959861755371094,7.0,8.0,5000.0,25014.0,0.1604701429605484,0.5450947284698486,0.4093307852745056,,,,,,,,,0.2044444444444444,,,-0.2831067740917206,0.1659021516583697,0.5097039341926575,,0.1967901289463043,0.3129827380180359,,0.5945678949356079,,,,0.0423186344238975,,,-0.2351542115211486,0.0271973279844129,0.278694599866867,,0.0421195663511753,0.1215119808912277,,0.2323369532823562
canonical_cross_attention,5.22125400500372,,53.0,0.8826000094413757,,,,0.30647499859333033,,,0.615974985063076,,0.8342741876840591,,,,,,,,,,,,,28.35486888885498,26.625,900420.0,0.0417891537654213,0.30373750627040863,0.17360633891075844,8.193827180263249,0.3768894780013296,,10.0,1.0,,,,0.887901246547699,,,0.9982715845108032,,,,1.5014654617635128,,30.5,0.8668478280305862,,,,0.0886548906564712,,,0.3440896645188331,
concat_mlp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.041257556527853,,,,,,,,,,,,,
convnext_tiny__all_minilm_l6_v2__baseline,1.1837094186805188,,53.0,0.879624992609024,,,,0.3007750026881695,,,0.6000249907374382,,0.828099712729454,,,,,,,,,,,,,28.17413592338562,26.25,900420.0,0.043734017352107864,0.30571225611492986,0.17677612882107493,1.7093685301770818,0.3476297899068873,,10.0,1.0,,,,0.8380246758460999,,,0.9953086376190186,,,,0.5120947240831574,,30.5,0.86548912525177,,,,0.17730978503823278,,,0.5635190010070801,
depth_128,5.22125400500372,,100.0,1.0,,,,0.1851000040769577,,,0.4950999915599823,,0.9623507261276245,,,,,,,,,,,,,55.61221694946289,52.5,1920896.0,0.014258735114708501,0.13348628580570215,0.0702535863965749,8.193827180263249,0.3768894780013296,,10.0,1.0,,,,0.887901246547699,,,0.9982715845108032,,,,1.5014654617635128,,37.0,1.0,,,,0.0557065233588218,,,0.2785325944423675,
depth_16,5.22125400500372,,16.0,0.7096999883651733,,,,0.4289999902248382,,,0.670799970626831,,0.6667388081550598,,,,,,,,,,,,,10.42262077331543,10.5,240112.0,0.0735678654164075,0.4883848577737808,0.289701759815216,8.193827180263249,0.3768894780013296,,10.0,1.0,,,,0.887901246547699,,,0.9982715845108032,,,,1.5014654617635128,,16.0,0.5597826242446899,,,,0.1698369532823562,,,0.4972825944423675,
depth_32,5.22125400500372,,32.0,0.8489000201225281,,,,0.3664000034332275,,,0.6991999745368958,,0.8013995587825775,,,,,,,,,,,,,17.401296615600586,16.0,480224.0,0.05089328251779075,0.3558930307626724,0.20530645549297333,8.193827180263249,0.3768894780013296,,10.0,1.0,,,,0.887901246547699,,,0.9982715845108032,,,,1.5014654617635128,,32.0,0.907608687877655,,,,0.073369562625885,,,0.32201087474823,
depth_64,5.22125400500372,,64.0,0.9718000292778016,,,,0.245399996638298,,,0.598800003528595,,0.9066076576709747,,,,,,,,,,,,,29.983341217041016,27.5,960448.0,0.02843673201277845,0.23718585073947906,0.1291635539382696,8.193827180263249,0.3768894780013296,,10.0,1.0,,,,0.887901246547699,,,0.9982715845108032,,,,1.5014654617635128,,37.0,1.0,,,,0.0557065233588218,,,0.2785325944423675,
