method,seed,task,metric,value
best_bridge,101,multitask,mean_sample_utility,0.1834467657924606
best_bridge,101,multitask,latency_ms,6.994732977628675
best_bridge,101,multitask,peak_memory_bytes,809460736.0
best_bridge,17,multitask,mean_sample_utility,0.1819074375760914
best_bridge,17,multitask,latency_ms,3.0370245778141864
best_bridge,17,multitask,peak_memory_bytes,809460736.0
best_bridge,29,multitask,mean_sample_utility,0.1810782609356201
best_bridge,29,multitask,latency_ms,2.6191589850653503
best_bridge,29,multitask,peak_memory_bytes,809460736.0
best_bridge,43,multitask,mean_sample_utility,0.1741610996422272
best_bridge,43,multitask,latency_ms,2.9277840790550806
best_bridge,43,multitask,peak_memory_bytes,809460736.0
best_bridge,71,multitask,mean_sample_utility,0.1867681933708481
best_bridge,71,multitask,latency_ms,2.1698980326755577
best_bridge,71,multitask,peak_memory_bytes,809460736.0
dense_teacher,101,multitask,mean_sample_utility,0.1677189469337463
dense_teacher,101,multitask,latency_ms,0.0009554517912744
dense_teacher,101,multitask,peak_memory_bytes,0.0
dense_teacher,101,multitask,gating_entropy,1.2853021621704102
dense_teacher,101,multitask,path_utilisation_variance,0.0099512673914432
dense_teacher,17,multitask,mean_sample_utility,0.1667385250329971
dense_teacher,17,multitask,latency_ms,0.0018671989840056
dense_teacher,17,multitask,peak_memory_bytes,0.0
dense_teacher,17,multitask,gating_entropy,1.2950539588928225
dense_teacher,17,multitask,path_utilisation_variance,0.0107365902513265
dense_teacher,29,multitask,mean_sample_utility,0.1665661036968231
dense_teacher,29,multitask,latency_ms,8.819007364633893e-05
dense_teacher,29,multitask,peak_memory_bytes,0.0
dense_teacher,29,multitask,gating_entropy,1.3135923147201538
dense_teacher,29,multitask,path_utilisation_variance,0.0081166978925466
dense_teacher,43,multitask,mean_sample_utility,0.1692791283130645
dense_teacher,43,multitask,latency_ms,0.000118534953799
dense_teacher,43,multitask,peak_memory_bytes,0.0
dense_teacher,43,multitask,gating_entropy,1.3430306911468506
dense_teacher,43,multitask,path_utilisation_variance,0.0040811663493514
dense_teacher,71,multitask,mean_sample_utility,0.1652672737836837
dense_teacher,71,multitask,latency_ms,0.001080331837459
dense_teacher,71,multitask,peak_memory_bytes,0.0
dense_teacher,71,multitask,gating_entropy,1.2606053352355957
dense_teacher,71,multitask,path_utilisation_variance,0.0115047208964824
