epoch,image_mean_drift_from_previous,text_mean_drift_from_previous,image_mean_drift_from_step0,text_mean_drift_from_step0,measurements
1,0.1450138075107878,0.14651215956969696,0.5967339957979593,0.6060288920998573,11
2,0.14794025773351843,0.14124907485463403,0.7850381840359081,0.7676789489659396,11
3,0.06078761477362026,0.059648183259097015,0.8599943789568815,0.8716942993077365,11
4,0.0400429293513298,0.03952314213595607,0.793026095086878,0.768829426982186,11
5,0.034715828570452606,0.03462574275379831,0.8905293995683844,0.9114675521850586,11
6,0.03074203550138257,0.030237749726934868,0.8328226913105358,0.8093275969678705,11
7,0.016377634622833946,0.01670441022989425,0.933485356244174,0.982660559090701,11
8,0.006503589451313019,0.006593256193975156,0.8427869894287803,0.8237720890478655,11
9,0.0035972895989702506,0.003598821328275583,0.7979196310043335,0.7518947503783486,11
10,0.0028143417069011116,0.0027110834859988904,0.8475678996606306,0.8315655805847861,11
11,0.0002388552741401575,0.00020540282573413359,0.8994472839615562,0.9051020037044178,11
12,2.115118232640353e-06,7.711640432491023e-07,0.9094840884208679,0.9160844737833197,11
