run_id,seed,queue_mode,modality,target_image_age_steps,measured_eviction_age_steps,mean_cumulative_drift_at_eviction,eviction_windows,dev_mean_r1,degradation_pp
b1024__age_16__image_only__seed_42,42,image_only,image,16,16.0,0.08677987798582691,131,0.24027547985315323,13.293629636367154
b1024__age_16__image_only__seed_43,43,image_only,image,16,16.0,0.08498268410108403,131,0.2448343187570572,12.837745745976758
b1024__age_16__image_only__seed_44,44,image_only,image,16,16.0,0.08663149362461903,131,0.24219410866498947,13.10176675518353
b1024__age_16__text_only__seed_42,42,text_only,text,16,4.0,0.021583719412372332,132,0.23291893303394318,14.029284318288159
b1024__age_16__text_only__seed_43,43,text_only,text,16,4.0,0.022199735791155424,132,0.24089767783880234,13.231409837802243
b1024__age_16__text_only__seed_44,44,text_only,text,16,4.0,0.021788279887905975,132,0.23429802060127258,13.891375561555218
b1024__age_4__image_only__seed_42,42,image_only,image,4,4.0,0.019739657282744447,132,0.26050975173711777,11.2702024479707
b1024__age_4__image_only__seed_43,43,image_only,image,4,4.0,0.019655664031619422,132,0.2529901936650276,12.022158255179715
b1024__age_4__image_only__seed_44,44,image_only,image,4,4.0,0.019722944999353394,132,0.2564096674323082,11.680210878451657
b1024__age_4__text_only__seed_42,42,text_only,text,4,1.0,0.002023903900024278,132,0.32264362275600433,5.056815346082044
b1024__age_4__text_only__seed_43,43,text_only,text,4,1.0,0.002041783797329868,132,0.3207435607910156,5.246821542580915
b1024__age_4__text_only__seed_44,44,text_only,text,4,1.0,0.0020384266551477155,132,0.3281629830598831,4.504879315694166
b1024__age_64__image_only__seed_42,42,image_only,image,64,64.0,0.31620704045275067,126,0.23561564087867737,13.75961353381474
b1024__age_64__image_only__seed_43,43,image_only,image,64,64.0,0.3220811620842462,126,0.23535659909248352,13.785517712434125
b1024__age_64__image_only__seed_44,44,image_only,image,64,64.0,0.3211513635687622,126,0.23905611038208008,13.415566583474469
b1024__age_64__text_only__seed_42,42,text_only,text,64,13.0,0.08271487014071588,131,0.19734517484903336,17.58666013677914
b1024__age_64__text_only__seed_43,43,text_only,text,64,13.0,0.08432878831533787,131,0.20298489183187485,17.022688438494992
b1024__age_64__text_only__seed_44,44,text_only,text,64,13.0,0.09114773471057673,131,0.18476679921150208,18.84449770053227
