tolerance,tolerance_as_percent_of_observed_range,image_target_age,image_measured_eviction_age,image_cumulative_drift,image_degradation_pp,text_target_age,text_measured_eviction_age,text_cumulative_drift,text_degradation_pp,absolute_drift_difference,absolute_degradation_difference_pp,degradation_difference_exceeds_1pp
0.005,1.5734230770935713,4,4.0,0.019706088771239087,11.657523860534022,16,4.0,0.02185724503047791,13.717356572548539,0.0021511562592388227,2.059832712014517,True
0.005,1.5734230770935713,16,16.0,0.08613135190384331,13.077714045842479,64,13.0,0.08606379772221016,17.81794875860213,6.755418163315041e-05,4.740234712759653,True
0.01,3.1468461541871426,4,4.0,0.019706088771239087,11.657523860534022,16,4.0,0.02185724503047791,13.717356572548539,0.0021511562592388227,2.059832712014517,True
0.01,3.1468461541871426,16,16.0,0.08613135190384331,13.077714045842479,64,13.0,0.08606379772221016,17.81794875860213,6.755418163315041e-05,4.740234712759653,True
0.02,6.293692308374285,4,4.0,0.019706088771239087,11.657523860534022,4,1.0,0.002034704784167287,4.936172068119042,0.017671383987071798,6.72135179241498,True
0.02,6.293692308374285,4,4.0,0.019706088771239087,11.657523860534022,16,4.0,0.02185724503047791,13.717356572548539,0.0021511562592388227,2.059832712014517,True
0.02,6.293692308374285,16,16.0,0.08613135190384331,13.077714045842479,64,13.0,0.08606379772221016,17.81794875860213,6.755418163315041e-05,4.740234712759653,True
0.05,15.734230770935714,4,4.0,0.019706088771239087,11.657523860534022,4,1.0,0.002034704784167287,4.936172068119042,0.017671383987071798,6.72135179241498,True
0.05,15.734230770935714,4,4.0,0.019706088771239087,11.657523860534022,16,4.0,0.02185724503047791,13.717356572548539,0.0021511562592388227,2.059832712014517,True
0.05,15.734230770935714,16,16.0,0.08613135190384331,13.077714045842479,64,13.0,0.08606379772221016,17.81794875860213,6.755418163315041e-05,4.740234712759653,True
