index,run_id,experiment_id,batch_size,target_age_steps,memory_queue_size,queue_mode,seed,memberships,dev_R@1
0,b512__age_0__none__seed_42,queue_factorial,512,0,0,none,42,"['grid1_matched_age', 'control_batch']",0.35997432470321655
1,b512__age_0__none__seed_43,queue_factorial,512,0,0,none,43,"['grid1_matched_age', 'control_batch']",0.35647444427013397
2,b512__age_0__none__seed_44,queue_factorial,512,0,0,none,44,"['grid1_matched_age', 'control_batch']",0.36053454875946045
3,b512__age_1__both__seed_42,queue_factorial,512,1,512,both,42,['grid1_matched_age'],0.30363887548446655
4,b512__age_1__both__seed_43,queue_factorial,512,1,512,both,43,['grid1_matched_age'],0.30213913321495056
5,b512__age_1__both__seed_44,queue_factorial,512,1,512,both,44,['grid1_matched_age'],0.3031393438577652
6,b512__age_2__both__seed_42,queue_factorial,512,2,1024,both,42,['grid1_matched_age'],0.2756645381450653
7,b512__age_2__both__seed_43,queue_factorial,512,2,1024,both,43,['grid1_matched_age'],0.2777440994977951
8,b512__age_2__both__seed_44,queue_factorial,512,2,1024,both,44,['grid1_matched_age'],0.2766045182943344
9,b512__age_4__both__seed_42,queue_factorial,512,4,2048,both,42,['grid1_matched_age'],0.21609604358673096
10,b512__age_4__both__seed_43,queue_factorial,512,4,2048,both,43,['grid1_matched_age'],0.21477632224559784
11,b512__age_4__both__seed_44,queue_factorial,512,4,2048,both,44,['grid1_matched_age'],0.21237649023532867
12,b512__age_8__both__seed_42,queue_factorial,512,8,4096,both,42,['grid1_matched_age'],0.164327472448349
13,b512__age_8__both__seed_43,queue_factorial,512,8,4096,both,43,['grid1_matched_age'],0.16602756083011627
14,b512__age_8__both__seed_44,queue_factorial,512,8,4096,both,44,['grid1_matched_age'],0.16774671524763107
15,b512__age_16__both__seed_42,queue_factorial,512,16,8192,both,42,['grid1_matched_age'],0.13597409799695015
16,b512__age_16__both__seed_43,queue_factorial,512,16,8192,both,43,['grid1_matched_age'],0.13113481551408768
17,b512__age_16__both__seed_44,queue_factorial,512,16,8192,both,44,['grid1_matched_age'],0.1355743557214737
18,b512__age_32__both__seed_42,queue_factorial,512,32,16384,both,42,['grid1_matched_age'],0.11857813969254494
19,b512__age_32__both__seed_43,queue_factorial,512,32,16384,both,43,['grid1_matched_age'],0.11241860687732697
20,b512__age_32__both__seed_44,queue_factorial,512,32,16384,both,44,['grid1_matched_age'],0.1166582815349102
21,b512__age_64__both__seed_42,queue_factorial,512,64,32768,both,42,['grid1_matched_age'],0.09550243988633156
22,b512__age_64__both__seed_43,queue_factorial,512,64,32768,both,43,['grid1_matched_age'],0.10018077865242958
23,b512__age_64__both__seed_44,queue_factorial,512,64,32768,both,44,['grid1_matched_age'],0.09868192300200462
24,b1024__age_0__none__seed_42,queue_factorial,1024,0,0,none,42,"['grid1_matched_age', 'grid2_modality', 'control_batch']",0.3759716749191284
25,b1024__age_0__none__seed_43,queue_factorial,1024,0,0,none,43,"['grid1_matched_age', 'grid2_modality', 'control_batch']",0.37063227593898773
26,b1024__age_0__none__seed_44,queue_factorial,1024,0,0,none,44,"['grid1_matched_age', 'grid2_modality', 'control_batch']",0.3730313777923584
27,b1024__age_1__both__seed_42,queue_factorial,1024,1,1024,both,42,['grid1_matched_age'],0.30989870429039
28,b1024__age_1__both__seed_43,queue_factorial,1024,1,1024,both,43,['grid1_matched_age'],0.3062186986207962
29,b1024__age_1__both__seed_44,queue_factorial,1024,1,1024,both,44,['grid1_matched_age'],0.3098190426826477
30,b1024__age_2__both__seed_42,queue_factorial,1024,2,2048,both,42,['grid1_matched_age'],0.28252410888671875
31,b1024__age_2__both__seed_43,queue_factorial,1024,2,2048,both,43,['grid1_matched_age'],0.2762250751256943
32,b1024__age_2__both__seed_44,queue_factorial,1024,2,2048,both,44,['grid1_matched_age'],0.2772848755121231
33,b1024__age_4__both__seed_42,queue_factorial,1024,4,4096,both,42,"['grid1_matched_age', 'grid2_modality']",0.21399714797735214
34,b1024__age_4__both__seed_43,queue_factorial,1024,4,4096,both,43,"['grid1_matched_age', 'grid2_modality']",0.21621665358543396
35,b1024__age_4__both__seed_44,queue_factorial,1024,4,4096,both,44,"['grid1_matched_age', 'grid2_modality']",0.21347710490226746
36,b1024__age_4__image_only__seed_42,queue_factorial,1024,4,4096,image_only,42,['grid2_modality'],0.26050975173711777
37,b1024__age_4__image_only__seed_43,queue_factorial,1024,4,4096,image_only,43,['grid2_modality'],0.2529901936650276
38,b1024__age_4__image_only__seed_44,queue_factorial,1024,4,4096,image_only,44,['grid2_modality'],0.2564096674323082
