batch_size,target_age_steps,queue_mode,mean,sd,minimum,maximum
512,0,none,0.3589944392442703,0.0022002826524228536,0.35647444427013397,0.36053454875946045
512,1,both,0.3029724508523941,0.0007636731468204123,0.30213913321495056,0.30363887548446655
512,2,both,0.27667105197906494,0.0010413759663755989,0.2756645381450653,0.2777440994977951
512,4,both,0.21441628535588583,0.001885733068317764,0.21237649023532867,0.21609604358673096
512,8,both,0.16603391617536545,0.0017096302591263718,0.164327472448349,0.16774671524763107
512,16,both,0.13422775641083717,0.0026860121025025106,0.13113481551408768,0.13597409799695015
512,32,both,0.1158850093682607,0.0031517334132541842,0.11241860687732697,0.11857813969254494
512,64,both,0.09812171384692192,0.0023889514699283344,0.09550243988633156,0.10018077865242958
1024,0,none,0.37321177621682483,0.002674266826803999,0.37063227593898773,0.3759716749191284
1024,1,both,0.3086454818646113,0.0021020333435232005,0.3062186986207962,0.30989870429039
1024,2,both,0.278678019841512,0.0033726984630282216,0.2762250751256943,0.28252410888671875
1024,4,both,0.2145636354883512,0.0014549786328150176,0.21347710490226746,0.21621665358543396
1024,4,image_only,0.2566365376114845,0.0037649091567438456,0.2529901936650276,0.26050975173711777
1024,4,text_only,0.32385005553563434,0.0038540325296715057,0.3207435607910156,0.3281629830598831
1024,8,both,0.15790931383768717,0.0006626977986634024,0.15736960619688034,0.15864896029233932
1024,16,both,0.1335348623494307,0.0020023991786367393,0.13159527629613876,0.1355946585536003
1024,16,image_only,0.24243463575839996,0.0022889174296892934,0.24027547985315323,0.2448343187570572
1024,16,text_only,0.23603821049133936,0.004264538404726206,0.23291893303394318,0.24089767783880234
1024,32,both,0.12018455937504768,0.00042479458979396246,0.11983776837587357,0.12065837532281876
1024,64,both,0.1083464485903581,0.0001815285647440215,0.10817937180399895,0.10853960737586021
1024,64,image_only,0.23667611678441366,0.002065200427427924,0.23535659909248352,0.23905611038208008
1024,64,text_only,0.19503228863080344,0.009326671789817564,0.18476679921150208,0.20298489183187485
