array_index,loss_type,captions_per_image,batch_size,memory_queue_size,sweep_multiplier,experiment_id,run_id,seed
0,infonce_queue,2.0,512,16384,1.0,infonce_queue__captions_2__b512,infonce_queue__captions_2__b512__seed_42,42
1,infonce_queue,2.0,1024,16384,1.0,infonce_queue__captions_2__b1024,infonce_queue__captions_2__b1024__seed_42,42
2,infonce_queue,2.0,2048,16384,1.0,infonce_queue__captions_2__b2048,infonce_queue__captions_2__b2048__seed_42,42
3,infonce_queue,,512,16384,1.0,infonce_queue__captions_all__b512,infonce_queue__captions_all__b512__seed_42,42
4,infonce_queue,,1024,16384,1.0,infonce_queue__captions_all__b1024,infonce_queue__captions_all__b1024__seed_42,42
5,infonce_queue,,2048,16384,1.0,infonce_queue__captions_all__b2048,infonce_queue__captions_all__b2048__seed_42,42
6,infonce_no_queue,2.0,512,0,1.0,infonce_no_queue__captions_2__b512,infonce_no_queue__captions_2__b512__seed_42,42
7,infonce_no_queue,2.0,1024,0,1.0,infonce_no_queue__captions_2__b1024,infonce_no_queue__captions_2__b1024__seed_42,42
8,infonce_no_queue,2.0,2048,0,1.0,infonce_no_queue__captions_2__b2048,infonce_no_queue__captions_2__b2048__seed_42,42
9,infonce_no_queue,,512,0,1.0,infonce_no_queue__captions_all__b512,infonce_no_queue__captions_all__b512__seed_42,42
10,infonce_no_queue,,1024,0,1.0,infonce_no_queue__captions_all__b1024,infonce_no_queue__captions_all__b1024__seed_42,42
11,infonce_no_queue,,2048,0,1.0,infonce_no_queue__captions_all__b2048,infonce_no_queue__captions_all__b2048__seed_42,42
12,sigmoid,2.0,512,0,1.0,sigmoid__captions_2__b512,sigmoid__captions_2__b512__seed_42,42
13,sigmoid,2.0,1024,0,1.0,sigmoid__captions_2__b1024,sigmoid__captions_2__b1024__seed_42,42
14,sigmoid,2.0,2048,0,1.0,sigmoid__captions_2__b2048,sigmoid__captions_2__b2048__seed_42,42
15,sigmoid,,512,0,1.0,sigmoid__captions_all__b512,sigmoid__captions_all__b512__seed_42,42
16,sigmoid,,1024,0,1.0,sigmoid__captions_all__b1024,sigmoid__captions_all__b1024__seed_42,42
17,sigmoid,,2048,0,1.0,sigmoid__captions_all__b2048,sigmoid__captions_all__b2048__seed_42,42
