status,source,kind,experiment_id,run_id,seed,i2t_R@1,i2t_R@5,i2t_R@10,mean_rank_i2t,median_rank_i2t,t2i_R@1,t2i_R@5,t2i_R@10,mean_rank_t2i,median_rank_t2i,num_image_queries,num_text_queries,mean_R@1,image_query_latency_ms,text_query_latency_ms,bidirectional_pair_latency_ms,peak_inference_memory_bytes,params_total_training,params_total_inference,params_trainable_training,params_trainable_inference,params_training_only,gpu,checkpoint,fingerprint_digest,reused_lr_calibration_run_id,reused_without_retraining,training_code_version,evaluation_code_version,resolved_lr,sqrt_scale_factor,sweep_multiplier,memory_queue_size,historical_slurm_array_job,historical_slurm_array_index,evaluation_only
COMPLETE,measured_local,wave0-lrsweep,sigmoid__captions_2__b1024__lr_0p3333333333333333,sigmoid__captions_2__b1024__lr_0p3333333333333333__seed_42,42,0.2924000024795532,0.5770000219345093,0.7052000164985657,17.109600067138672,4.0,0.21334612369537354,0.4824277460575104,0.6176882386207581,27.781776428222656,6.0,5000.0,25011.0,0.2528730630874634,2.6742191333323717,1.1108496505767107,3.7850687839090824,197219328.0,45778565,45778565,1478405,1478405,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,checkpoints/alignment_v4_wave0/wave0-lrsweep/sigmoid__captions_2__b1024__lr_0p3333333333333333__seed_42/best.pt,b4e38234018a969d8ce62182f754751b6a8eb02ae2cf8b400847b6c39c5a8a20,,,,,,,,,,,
COMPLETE,measured_local,wave0-lrsweep,sigmoid__captions_2__b1024__lr_3p0,sigmoid__captions_2__b1024__lr_3p0__seed_42,42,0.4198000133037567,0.7156000137329102,0.8289999961853027,8.833000183105469,2.0,0.30126744508743286,0.6009355783462524,0.7250809669494629,18.954580307006836,3.0,5000.0,25011.0,0.3605337291955948,2.7198676578700542,1.1243969295173883,3.8442645873874426,197219328.0,45778565,45778565,1478405,1478405,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,checkpoints/alignment_v4_wave0/wave0-lrsweep/sigmoid__captions_2__b1024__lr_3p0__seed_42/best.pt,ced8716a77d798b9ff737f7a00a9d265e6530f0cbec573f59bdce473207e0f22,,,,,,,,,,,
COMPLETE,measured_local,wave0-lrsweep,sigmoid__captions_2__b2048__lr_0p3333333333333333,sigmoid__captions_2__b2048__lr_0p3333333333333333__seed_42,42,0.27160000801086426,0.5475999712944031,0.676800012588501,20.19700050354004,4.0,0.19619368016719818,0.4561592936515808,0.593218982219696,30.80424690246582,7.0,5000.0,25011.0,0.23389684408903122,2.6871847175061703,1.127457544207573,3.814642261713743,197219328.0,45778565,45778565,1478405,1478405,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,checkpoints/alignment_v4_wave0/wave0-lrsweep/sigmoid__captions_2__b2048__lr_0p3333333333333333__seed_42/best.pt,899afba06d71252b697bffe3dc889a5d2685f699b31c9b6255d8b643d9c58189,,,,,,,,,,,
COMPLETE,measured_local,wave0-lrsweep,sigmoid__captions_2__b2048__lr_3p0,sigmoid__captions_2__b2048__lr_3p0__seed_42,42,0.4262000024318695,0.7071999907493591,0.8130000233650208,9.306400299072266,2.0,0.29782894253730774,0.5925393104553223,0.7162848114967346,19.84874725341797,4.0,5000.0,25011.0,0.3620144724845886,2.722128676250577,1.1152720544487238,3.8374007306993008,197219328.0,45778565,45778565,1478405,1478405,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,checkpoints/alignment_v4_wave0/wave0-lrsweep/sigmoid__captions_2__b2048__lr_3p0__seed_42/best.pt,8ffa8417c1ac9e2588de4b43a7f686f44833e0af11a6b618243653642539c181,,,,,,,,,,,
COMPLETE,measured_local,wave0-lrsweep,sigmoid__captions_2__b512__lr_0p3333333333333333,sigmoid__captions_2__b512__lr_0p3333333333333333__seed_42,42,0.2937999963760376,0.5788000226020813,0.7095999717712402,16.555599212646484,4.0,0.21482548117637634,0.485546350479126,0.6200471520423889,27.32569694519043,6.0,5000.0,25011.0,0.25431273877620697,2.696156771853566,1.1283657979220152,3.8245225697755814,197219328.0,45778565,45778565,1478405,1478405,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,checkpoints/alignment_v4_wave0/wave0-lrsweep/sigmoid__captions_2__b512__lr_0p3333333333333333__seed_42/best.pt,389706334b19fe71b1407c7e5a476d8c1e12419be1102736ed0077ceb69c6a1e,,,,,,,,,,,
COMPLETE,measured_local,wave0-lrsweep,sigmoid__captions_2__b512__lr_3p0,sigmoid__captions_2__b512__lr_3p0__seed_42,42,0.41280001401901245,0.7110000252723694,0.819599986076355,8.76099967956543,2.0,0.3001079559326172,0.5976570248603821,0.7270801067352295,18.825956344604492,4.0,5000.0,25011.0,0.3564539849758148,2.720630206167698,1.110296193510294,3.830926399677992,197219328.0,45778565,45778565,1478405,1478405,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,checkpoints/alignment_v4_wave0/wave0-lrsweep/sigmoid__captions_2__b512__lr_3p0__seed_42/best.pt,c3c419ad33da8748e2260a73699cfa521b15a8d48461f80a805d4b668bb07657,,,,,,,,,,,
COMPLETE,measured_local,wave0-screen,infonce_no_queue__captions_2__b1024,infonce_no_queue__captions_2__b1024__seed_42,42,0.4090000092983246,0.699999988079071,0.8122000098228455,9.863200187683105,2.0,0.2876734137535095,0.5815441012382507,0.7075287103652954,20.47011375427246,4.0,5000.0,25011.0,0.34833671152591705,2.7153253369033337,1.151569513604045,3.8668948505073786,197218304.0,45778563,45778563,1478403,1478403,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,checkpoints/alignment_v4_wave0/wave0-screen/infonce_no_queue__captions_2__b1024__seed_42/best.pt,94af191973db5f9f57635f00330a8f92246b2133b5cb140d07608f2e057cc93f,,,,,,,,,,,
COMPLETE,measured_local,wave0-screen,infonce_no_queue__captions_2__b2048,infonce_no_queue__captions_2__b2048__seed_42,42,0.3747999966144562,0.675000011920929,0.7879999876022339,11.36620044708252,2.0,0.2720003128051758,0.558914065361023,0.6855783462524414,22.63899803161621,4.0,5000.0,25011.0,0.323400154709816,2.720891712233424,1.1452041380107403,3.8660958502441645,197218304.0,45778563,45778563,1478403,1478403,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,checkpoints/alignment_v4_wave0/wave0-screen/infonce_no_queue__captions_2__b2048__seed_42/best.pt,580ab8b71d6967ea7cf22a4c0ace25e3a4c425b0a17df27280a4252532600e61,,,,,,,,,,,
COMPLETE,measured_local,wave0-screen,infonce_no_queue__captions_2__b512,infonce_no_queue__captions_2__b512__seed_42,42,0.40119999647140503,0.7017999887466431,0.8087999820709229,9.584799766540527,2.0,0.2851945161819458,0.5792651176452637,0.7092079520225525,19.834033966064453,4.0,5000.0,25011.0,0.3431972563266754,2.709322366863489,1.1331776529550552,3.8425000198185444,197218304.0,45778563,45778563,1478403,1478403,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,checkpoints/alignment_v4_wave0/wave0-screen/infonce_no_queue__captions_2__b512__seed_42/best.pt,7bdd47a92dbfacddbc0362f18c9154e5d2663f37e2f45df67fbc4ff8fb23b221,,,,,,,,,,,
COMPLETE,measured_local,wave0-screen,infonce_no_queue__captions_all__b1024,infonce_no_queue__captions_all__b1024__seed_42,42,0.4212000072002411,0.7113999724388123,0.8140000104904175,9.469200134277344,2.0,0.29403063654899597,0.5892207622528076,0.7134060859680176,20.756946563720703,4.0,5000.0,25011.0,0.35761532187461853,2.716003768146038,1.149125648662448,3.865129416808486,197218304.0,45778563,45778563,1478403,1478403,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,checkpoints/alignment_v4_wave0/wave0-screen/infonce_no_queue__captions_all__b1024__seed_42/best.pt,007b40636aab7e7eae15fe4d5220ceb74e5f4c98f3f64c8d78e21f64555d01e2,,,,,,,,,,,
