seed,epoch,path,bytes,inode,coco_dev_mean_R1,lr
42,1,checkpoints/teacher_extension_224/multi/sensitivity/distill_strength_1p0__seed_42/epoch_01.pt,206900619,16365549378887155713,0.20802193135023117,0.002140605073955639
42,2,checkpoints/teacher_extension_224/multi/sensitivity/distill_strength_1p0__seed_42/epoch_02.pt,206900619,17929748452219092993,0.2825878709554672,0.002537859425665334
42,3,checkpoints/teacher_extension_224/multi/sensitivity/distill_strength_1p0__seed_42/epoch_03.pt,206900619,543517579361189889,0.3235015571117401,0.002506637309249323
42,4,checkpoints/teacher_extension_224/multi/sensitivity/distill_strength_1p0__seed_42/epoch_04.pt,206900619,14517159308721913857,0.3442371040582657,0.0024520266339178296
42,5,checkpoints/teacher_extension_224/multi/sensitivity/distill_strength_1p0__seed_42/epoch_05.pt,206900619,9668478075624030209,0.35291554033756256,0.002375062590388216
42,6,checkpoints/teacher_extension_224/multi/sensitivity/distill_strength_1p0__seed_42/epoch_06.pt,206900619,13945221044702609409,0.36071425676345825,0.002277204096041539
42,7,checkpoints/teacher_extension_224/multi/sensitivity/distill_strength_1p0__seed_42/epoch_07.pt,206900619,3317750852028334081,0.365133672952652,0.0021603061399316377
42,8,checkpoints/teacher_extension_224/multi/sensitivity/distill_strength_1p0__seed_42/epoch_08.pt,206900619,13281439581588750337,0.3692328929901123,0.00202658461992663
42,9,checkpoints/teacher_extension_224/multi/sensitivity/distill_strength_1p0__seed_42/epoch_09.pt,206900619,5151227381769961473,0.3687724620103836,0.0018785743385240183
42,10,checkpoints/teacher_extension_224/multi/sensitivity/distill_strength_1p0__seed_42/epoch_10.pt,206900619,3573995953765941249,0.3750113993883133,0.0017190809535636298
42,11,checkpoints/teacher_extension_224/multi/sensitivity/distill_strength_1p0__seed_42/epoch_11.pt,206900619,12849132054267232257,0.3783907890319824,0.0015511277946525298
42,12,checkpoints/teacher_extension_224/multi/sensitivity/distill_strength_1p0__seed_42/epoch_12.pt,206900619,13774249460362117121,0.38023029267787933,0.0013778985534407648
42,13,checkpoints/teacher_extension_224/multi/sensitivity/distill_strength_1p0__seed_42/epoch_13.pt,206900619,1620850186568925185,0.37719035148620605,0.001202676934101364
42,14,checkpoints/teacher_extension_224/multi/sensitivity/distill_strength_1p0__seed_42/epoch_14.pt,206900619,14744319831637688321,0.37932993471622467,0.0010287844079898854
42,15,checkpoints/teacher_extension_224/multi/sensitivity/distill_strength_1p0__seed_42/epoch_15.pt,206900619,9008619331885793281,0.3833096772432327,0.000859517252395638
