order_index,arm,seed,selected_epoch,repetition,median_ms,q1_ms,q3_ms,iqr_ms,node,gpu_model,precision,slurm_job_id
0,M_T0,42,14,1,8.916541934013367,8.905834285542369,9.096152381971478,0.19031809642910957,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,native_bf16,2288035
1,M_T1,42,22,1,9.15786437690258,9.153134189546108,9.1657810844481,0.01264689490199089,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,native_bf16,2288035
2,M_T1,42,22,2,8.988811634480953,8.984065148979425,8.994704112410545,0.010638963431119919,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,native_bf16,2288035
3,M_T0,42,14,2,8.738220669329166,8.731495821848512,8.744366699829698,0.012870877981185913,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,native_bf16,2288035
4,M_T1,42,22,3,8.988410234451294,8.98381625302136,8.992578834295273,0.008762581273913383,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,native_bf16,2288035
5,M_T0,42,14,3,8.738486096262932,8.73345392756164,8.743079844862223,0.009625917300581932,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,native_bf16,2288035
6,M_T1,42,22,4,8.983508218079805,8.979172678664327,8.9885329362005,0.009360257536172867,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,native_bf16,2288035
7,M_T0,42,14,4,8.736903313547373,8.732660440728068,8.744463324546814,0.011802883818745613,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,native_bf16,2288035
8,M_T0,42,14,5,8.736968506127596,8.73094261623919,8.74233152717352,0.011388910934329033,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,native_bf16,2288035
9,M_T1,42,22,5,8.99149477481842,8.983881212770939,8.994458941742778,0.010577728971838951,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,native_bf16,2288035
10,M_T1,42,22,6,8.98391380906105,8.977117715403438,8.990327827632427,0.013210112228989601,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,native_bf16,2288035
11,M_T0,42,14,6,8.739933371543884,8.734282106161118,8.74530989676714,0.011027790606021881,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,native_bf16,2288035
12,M_T0,42,14,7,8.743552956730127,8.737734286114573,8.748819818720222,0.01108553260564804,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,native_bf16,2288035
13,M_T1,42,22,7,8.991975337266922,8.98527936078608,8.996221702545881,0.010942341759800911,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,native_bf16,2288035
14,M_T1,42,22,8,8.99252574890852,8.987721987068653,8.998211240395904,0.01048925332725048,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,native_bf16,2288035
15,M_T0,42,14,8,8.741479832679033,8.736988762393594,8.746804669499397,0.00981590710580349,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,native_bf16,2288035
16,M_T1,42,22,9,8.989195805042982,8.983681444078684,8.996633579954505,0.012952135875821114,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,native_bf16,2288035
17,M_T0,42,14,9,8.742466103285551,8.736778516322374,8.747010258957744,0.0102317426353693,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,native_bf16,2288035
18,M_T1,42,22,10,8.992030750960112,8.985268650576472,8.997072000056505,0.01180334948003292,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,native_bf16,2288035
19,M_T0,42,14,10,8.740393910557032,8.735679788514972,8.746767416596413,0.011087628081440926,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,native_bf16,2288035
20,M_T0,43,22,1,8.74540489166975,8.739374810829759,8.75063519924879,0.011260388419032097,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,native_bf16,2288035
21,M_T1,43,22,1,8.997513446956873,8.992843562737107,9.003769140690565,0.010925577953457832,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,native_bf16,2288035
22,M_T1,43,22,2,8.995139971375465,8.989509427919984,8.999662706628442,0.010153278708457947,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,native_bf16,2288035
23,M_T0,43,22,2,8.741024415940046,8.735559182241559,8.748071966692805,0.012512784451246262,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,native_bf16,2288035
24,M_T0,43,22,3,8.744820486754179,8.739792509004474,8.74945311807096,0.009660609066486359,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,native_bf16,2288035
25,M_T1,43,22,3,8.994433097541332,8.988683577626944,9.000712540000677,0.01202896237373352,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,native_bf16,2288035
26,M_T0,43,22,4,8.743798825889826,8.73836106620729,8.748425170779228,0.010064104571938515,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,native_bf16,2288035
27,M_T1,43,22,4,8.996556513011456,8.991383714601398,9.003048064187169,0.01166434958577156,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,native_bf16,2288035
28,M_T1,43,22,5,8.99143936112523,8.986057480797172,8.998776786029339,0.012719305232167244,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,native_bf16,2288035
29,M_T0,43,22,5,8.741890545934439,8.736941730603576,8.746364153921604,0.00942242331802845,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,native_bf16,2288035
30,M_T1,43,22,6,8.992175571620464,8.988705929368734,8.997830795124173,0.009124865755438805,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,native_bf16,2288035
31,M_T0,43,22,6,8.744159247726202,8.73689353466034,8.747738087549806,0.010844552889466286,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,native_bf16,2288035
32,M_T1,43,22,7,8.995285257697105,8.98971245624125,9.001173311844468,0.011460855603218079,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,native_bf16,2288035
33,M_T0,43,22,7,8.744679857045412,8.738670265302062,8.751108311116695,0.01243804581463337,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,native_bf16,2288035
34,M_T1,43,22,8,8.991159033030272,8.985842345282435,8.996479446068406,0.010637100785970688,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,native_bf16,2288035
35,M_T0,43,22,8,8.743873331695795,8.739838376641273,8.74950853176415,0.009670155122876167,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,native_bf16,2288035
36,M_T0,43,22,9,8.744043298065662,8.737972704693675,8.749416097998619,0.011443393304944038,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,native_bf16,2288035
37,M_T1,43,22,9,8.993817958980799,8.988525718450546,9.000885765999556,0.012360047549009323,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,native_bf16,2288035
38,M_T1,43,22,10,8.996882475912571,8.992561139166355,9.000607300549746,0.008046161383390427,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,native_bf16,2288035
39,M_T0,43,22,10,8.738880977034569,8.734659757465124,8.745518047362566,0.010858289897441864,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,native_bf16,2288035
