status,seed,epoch,image_resolution,patch_size,patch_tokens,prefix_tokens,total_transformer_tokens,i2t_R@1,i2t_R@5,i2t_R@10,mean_rank_i2t,median_rank_i2t,t2i_R@1,t2i_R@5,t2i_R@10,mean_rank_t2i,median_rank_t2i,num_image_queries,num_text_queries,mean_R@1,gpu_model,node,precision,coco_dev_mean_R1,lr,dataset,test_split_used,checkpoint_fingerprint,checkpoint_path
COMPLETE,42,1,224,16,196,5,201,0.33136093616485596,0.6232741475105286,0.7248520851135254,23.309663772583008,3.0,0.26094675064086914,0.5254437923431396,0.6426035761833191,28.362722396850586,5.0,1014.0,5070.0,0.29615384340286255,NVIDIA RTX PRO 6000 Blackwell Server Edition,aisurrey38.surrey.ac.uk,native_bf16,0.21843764930963516,0.002140605073955639,Flickr30k Karpathy validation,False,41f565332685997df5ec99356a431a863b892b7a6a131ec894c159bb86e68d92,checkpoints/text_aggregation_study/M_T1/sensitivity/distill_strength_1p0__seed_42/epoch_01.pt
COMPLETE,42,2,224,16,196,5,201,0.46449702978134155,0.7514792680740356,0.8392505049705505,10.574950218200684,2.0,0.34930965304374695,0.6433925032615662,0.752662718296051,17.392702102661133,3.0,1014.0,5070.0,0.40690334141254425,NVIDIA RTX PRO 6000 Blackwell Server Edition,aisurrey38.surrey.ac.uk,native_bf16,0.3132411539554596,0.002537859425665334,Flickr30k Karpathy validation,False,41f565332685997df5ec99356a431a863b892b7a6a131ec894c159bb86e68d92,checkpoints/text_aggregation_study/M_T1/sensitivity/distill_strength_1p0__seed_42/epoch_02.pt
COMPLETE,42,3,224,16,196,5,201,0.5216962695121765,0.7998027801513672,0.8777120113372803,8.109467506408691,1.0,0.39566075801849365,0.6852071285247803,0.7844181656837463,14.818737983703613,2.0,1014.0,5070.0,0.4586785137653351,NVIDIA RTX PRO 6000 Blackwell Server Edition,aisurrey38.surrey.ac.uk,native_bf16,0.3545137196779251,0.002506637309249323,Flickr30k Karpathy validation,False,41f565332685997df5ec99356a431a863b892b7a6a131ec894c159bb86e68d92,checkpoints/text_aggregation_study/M_T1/sensitivity/distill_strength_1p0__seed_42/epoch_03.pt
COMPLETE,42,4,224,16,196,5,201,0.5532544255256653,0.8293885588645935,0.8934911489486694,7.048323631286621,1.0,0.415976345539093,0.7013806700706482,0.7988165616989136,13.55640983581543,2.0,1014.0,5070.0,0.48461538553237915,NVIDIA RTX PRO 6000 Blackwell Server Edition,aisurrey38.surrey.ac.uk,native_bf16,0.38022975623607635,0.0024520266339178296,Flickr30k Karpathy validation,False,41f565332685997df5ec99356a431a863b892b7a6a131ec894c159bb86e68d92,checkpoints/text_aggregation_study/M_T1/sensitivity/distill_strength_1p0__seed_42/epoch_04.pt
COMPLETE,42,5,224,16,196,5,201,0.5552268028259277,0.8195266127586365,0.8954635262489319,7.107494831085205,1.0,0.41755422949790955,0.7153846025466919,0.8088757395744324,12.742405891418457,2.0,1014.0,5070.0,0.48639051616191864,NVIDIA RTX PRO 6000 Blackwell Server Edition,aisurrey38.surrey.ac.uk,native_bf16,0.3893475979566574,0.002375062590388216,Flickr30k Karpathy validation,False,41f565332685997df5ec99356a431a863b892b7a6a131ec894c159bb86e68d92,checkpoints/text_aggregation_study/M_T1/sensitivity/distill_strength_1p0__seed_42/epoch_05.pt
COMPLETE,42,6,224,16,196,5,201,0.5769230723381042,0.8353056907653809,0.8954635262489319,6.198225021362305,1.0,0.43925049901008606,0.7264299988746643,0.8181459307670593,11.912820816040039,2.0,1014.0,5070.0,0.5080867856740952,NVIDIA RTX PRO 6000 Blackwell Server Edition,aisurrey38.surrey.ac.uk,native_bf16,0.40498511493206024,0.002277204096041539,Flickr30k Karpathy validation,False,41f565332685997df5ec99356a431a863b892b7a6a131ec894c159bb86e68d92,checkpoints/text_aggregation_study/M_T1/sensitivity/distill_strength_1p0__seed_42/epoch_06.pt
COMPLETE,42,7,224,16,196,5,201,0.5759368538856506,0.8205128312110901,0.9151873588562012,6.4763312339782715,1.0,0.4414201080799103,0.7293885350227356,0.8216962814331055,12.034319877624512,2.0,1014.0,5070.0,0.5086784809827805,NVIDIA RTX PRO 6000 Blackwell Server Edition,aisurrey38.surrey.ac.uk,native_bf16,0.4106445610523224,0.0021603061399316377,Flickr30k Karpathy validation,False,41f565332685997df5ec99356a431a863b892b7a6a131ec894c159bb86e68d92,checkpoints/text_aggregation_study/M_T1/sensitivity/distill_strength_1p0__seed_42/epoch_07.pt
COMPLETE,42,8,224,16,196,5,201,0.5907297730445862,0.8353056907653809,0.9053254723548889,6.432939052581787,1.0,0.451873779296875,0.7313609719276428,0.8226824402809143,11.59743595123291,2.0,1014.0,5070.0,0.5213017761707306,NVIDIA RTX PRO 6000 Blackwell Server Edition,aisurrey38.surrey.ac.uk,native_bf16,0.41670286655426025,0.00202658461992663,Flickr30k Karpathy validation,False,41f565332685997df5ec99356a431a863b892b7a6a131ec894c159bb86e68d92,checkpoints/text_aggregation_study/M_T1/sensitivity/distill_strength_1p0__seed_42/epoch_08.pt
COMPLETE,42,9,224,16,196,5,201,0.5996055006980896,0.8264299631118774,0.9072978496551514,6.241617202758789,1.0,0.4457593560218811,0.7392504811286926,0.8260354995727539,11.481657028198242,2.0,1014.0,5070.0,0.5226824283599854,NVIDIA RTX PRO 6000 Blackwell Server Edition,aisurrey38.surrey.ac.uk,native_bf16,0.4263220727443695,0.0018785743385240183,Flickr30k Karpathy validation,False,41f565332685997df5ec99356a431a863b892b7a6a131ec894c159bb86e68d92,checkpoints/text_aggregation_study/M_T1/sensitivity/distill_strength_1p0__seed_42/epoch_09.pt
COMPLETE,42,10,224,16,196,5,201,0.5946745276451111,0.841222882270813,0.9013806581497192,6.122287750244141,1.0,0.44871795177459717,0.7349112629890442,0.8280078768730164,11.565089225769043,2.0,1014.0,5070.0,0.5216962397098541,NVIDIA RTX PRO 6000 Blackwell Server Edition,aisurrey38.surrey.ac.uk,native_bf16,0.43565990030765533,0.0017190809535636298,Flickr30k Karpathy validation,False,41f565332685997df5ec99356a431a863b892b7a6a131ec894c159bb86e68d92,checkpoints/text_aggregation_study/M_T1/sensitivity/distill_strength_1p0__seed_42/epoch_10.pt
