status,seed,epoch,image_resolution,patch_size,patch_tokens,prefix_tokens,total_transformer_tokens,i2t_R@1,i2t_R@5,i2t_R@10,mean_rank_i2t,median_rank_i2t,t2i_R@1,t2i_R@5,t2i_R@10,mean_rank_t2i,median_rank_t2i,num_image_queries,num_text_queries,mean_R@1,gpu_model,node,precision,coco_dev_mean_R1,lr,dataset,test_split_used,checkpoint_fingerprint,checkpoint_path
COMPLETE,42,1,224,16,196,5,201,0.3086785078048706,0.5986193418502808,0.7307692170143127,25.082839965820312,3.0,0.25976330041885376,0.5256410241127014,0.6337277889251709,30.37514877319336,5.0,1014.0,5070.0,0.2842209041118622,NVIDIA RTX PRO 6000 Blackwell Server Edition,aisurrey38.surrey.ac.uk,native_bf16,0.22083637863397598,0.002140605073955639,Flickr30k Karpathy validation,False,05ad4802a39821eb62e9be63091fb404f6f3aaf7ea5acd8abcfeabed12d137e3,checkpoints/token_projection_training/A_cls_mean_concat/sensitivity/distill_strength_1p0__seed_42/epoch_01.pt
COMPLETE,42,2,224,16,196,5,201,0.42307692766189575,0.7130177617073059,0.7948718070983887,14.753451347351074,2.0,0.32465481758117676,0.6065088510513306,0.715976357460022,21.660749435424805,3.0,1014.0,5070.0,0.37386587262153625,NVIDIA RTX PRO 6000 Blackwell Server Edition,aisurrey38.surrey.ac.uk,native_bf16,0.2933442294597626,0.002537859425665334,Flickr30k Karpathy validation,False,05ad4802a39821eb62e9be63091fb404f6f3aaf7ea5acd8abcfeabed12d137e3,checkpoints/token_projection_training/A_cls_mean_concat/sensitivity/distill_strength_1p0__seed_42/epoch_02.pt
COMPLETE,42,3,224,16,196,5,201,0.47731754183769226,0.7524654865264893,0.8402366638183594,10.797830581665039,2.0,0.35759368538856506,0.6524654626846313,0.7611439824104309,18.53767204284668,3.0,1014.0,5070.0,0.41745561361312866,NVIDIA RTX PRO 6000 Blackwell Server Edition,aisurrey38.surrey.ac.uk,native_bf16,0.33533741533756256,0.002506637309249323,Flickr30k Karpathy validation,False,05ad4802a39821eb62e9be63091fb404f6f3aaf7ea5acd8abcfeabed12d137e3,checkpoints/token_projection_training/A_cls_mean_concat/sensitivity/distill_strength_1p0__seed_42/epoch_03.pt
COMPLETE,42,4,224,16,196,5,201,0.4822485148906708,0.7623274326324463,0.8570019602775574,9.616371154785156,2.0,0.3692307770252228,0.6607494950294495,0.7662721872329712,17.2956600189209,3.0,1014.0,5070.0,0.4257396459579468,NVIDIA RTX PRO 6000 Blackwell Server Edition,aisurrey38.surrey.ac.uk,native_bf16,0.3528541475534439,0.0024520266339178296,Flickr30k Karpathy validation,False,05ad4802a39821eb62e9be63091fb404f6f3aaf7ea5acd8abcfeabed12d137e3,checkpoints/token_projection_training/A_cls_mean_concat/sensitivity/distill_strength_1p0__seed_42/epoch_04.pt
COMPLETE,42,5,224,16,196,5,201,0.48915186524391174,0.7554240822792053,0.860946774482727,8.535503387451172,2.0,0.3719921112060547,0.6721893548965454,0.7714003920555115,16.400985717773438,2.0,1014.0,5070.0,0.4305719882249832,NVIDIA RTX PRO 6000 Blackwell Server Edition,aisurrey38.surrey.ac.uk,native_bf16,0.3619728684425354,0.002375062590388216,Flickr30k Karpathy validation,False,05ad4802a39821eb62e9be63091fb404f6f3aaf7ea5acd8abcfeabed12d137e3,checkpoints/token_projection_training/A_cls_mean_concat/sensitivity/distill_strength_1p0__seed_42/epoch_05.pt
COMPLETE,42,6,224,16,196,5,201,0.5009862184524536,0.7702169418334961,0.848126232624054,9.049309730529785,1.0,0.3808678388595581,0.6719921231269836,0.7781065106391907,15.520709991455078,2.0,1014.0,5070.0,0.44092702865600586,NVIDIA RTX PRO 6000 Blackwell Server Edition,aisurrey38.surrey.ac.uk,native_bf16,0.368511438369751,0.002277204096041539,Flickr30k Karpathy validation,False,05ad4802a39821eb62e9be63091fb404f6f3aaf7ea5acd8abcfeabed12d137e3,checkpoints/token_projection_training/A_cls_mean_concat/sensitivity/distill_strength_1p0__seed_42/epoch_06.pt
COMPLETE,42,7,224,16,196,5,201,0.5147929191589355,0.7613412141799927,0.8491124510765076,9.162721633911133,1.0,0.38619330525398254,0.6753451824188232,0.7790927290916443,15.311243057250977,2.0,1014.0,5070.0,0.45049311220645905,NVIDIA RTX PRO 6000 Blackwell Server Edition,aisurrey38.surrey.ac.uk,native_bf16,0.37950946390628815,0.0021603061399316377,Flickr30k Karpathy validation,False,05ad4802a39821eb62e9be63091fb404f6f3aaf7ea5acd8abcfeabed12d137e3,checkpoints/token_projection_training/A_cls_mean_concat/sensitivity/distill_strength_1p0__seed_42/epoch_07.pt
COMPLETE,42,8,224,16,196,5,201,0.5108481049537659,0.7810651063919067,0.848126232624054,9.075937271118164,1.0,0.386982262134552,0.6820513010025024,0.7812623381614685,15.44970417022705,2.0,1014.0,5070.0,0.44891518354415894,NVIDIA RTX PRO 6000 Blackwell Server Edition,aisurrey38.surrey.ac.uk,native_bf16,0.38198916614055634,0.00202658461992663,Flickr30k Karpathy validation,False,05ad4802a39821eb62e9be63091fb404f6f3aaf7ea5acd8abcfeabed12d137e3,checkpoints/token_projection_training/A_cls_mean_concat/sensitivity/distill_strength_1p0__seed_42/epoch_08.pt
COMPLETE,42,9,224,16,196,5,201,0.4970414340496063,0.7810651063919067,0.857988178730011,9.183431625366211,2.0,0.3921104669570923,0.6785010099411011,0.7802761197090149,15.305916786193848,2.0,1014.0,5070.0,0.4445759505033493,NVIDIA RTX PRO 6000 Blackwell Server Edition,aisurrey38.surrey.ac.uk,native_bf16,0.38788749277591705,0.0018785743385240183,Flickr30k Karpathy validation,False,05ad4802a39821eb62e9be63091fb404f6f3aaf7ea5acd8abcfeabed12d137e3,checkpoints/token_projection_training/A_cls_mean_concat/sensitivity/distill_strength_1p0__seed_42/epoch_09.pt
COMPLETE,42,10,224,16,196,5,201,0.5364891290664673,0.7859960794448853,0.8658776879310608,8.903352737426758,1.0,0.39013805985450745,0.686982274055481,0.7822484970092773,15.149112701416016,2.0,1014.0,5070.0,0.46331359446048737,NVIDIA RTX PRO 6000 Blackwell Server Edition,aisurrey38.surrey.ac.uk,native_bf16,0.3899080157279968,0.0017190809535636298,Flickr30k Karpathy validation,False,05ad4802a39821eb62e9be63091fb404f6f3aaf7ea5acd8abcfeabed12d137e3,checkpoints/token_projection_training/A_cls_mean_concat/sensitivity/distill_strength_1p0__seed_42/epoch_10.pt
