status,seed,epoch,image_resolution,patch_size,patch_tokens,prefix_tokens,total_transformer_tokens,i2t_R@1,i2t_R@5,i2t_R@10,mean_rank_i2t,median_rank_i2t,t2i_R@1,t2i_R@5,t2i_R@10,mean_rank_t2i,median_rank_t2i,num_image_queries,num_text_queries,mean_R@1,gpu_model,node,precision,coco_dev_mean_R1,lr,dataset,test_split_used,checkpoint_fingerprint,checkpoint_path
COMPLETE,42,1,224,16,196,5,201,0.33530572056770325,0.6025640964508057,0.715976357460022,24.721893310546875,3.0,0.26863905787467957,0.5364891290664673,0.6483234763145447,26.941617965698242,4.0,1014.0,5070.0,0.3019723892211914,NVIDIA RTX PRO 6000 Blackwell Server Edition,aisurrey38.surrey.ac.uk,native_bf16,0.21885724365711212,0.002140605073955639,Flickr30k Karpathy validation,False,c8b46266db3ca9bf05bf887a893f5b205c3f18a2aad43622155c7c23c2e6e6a5,checkpoints/token_projection_training/C_transformer_block/sensitivity/distill_strength_1p0__seed_42/epoch_01.pt
COMPLETE,42,2,224,16,196,5,201,0.45562130212783813,0.7376725673675537,0.831360936164856,10.985207557678223,2.0,0.352268248796463,0.6418145895004272,0.7467455863952637,18.074359893798828,3.0,1014.0,5070.0,0.4039447754621506,NVIDIA RTX PRO 6000 Blackwell Server Edition,aisurrey38.surrey.ac.uk,native_bf16,0.310282364487648,0.002537859425665334,Flickr30k Karpathy validation,False,c8b46266db3ca9bf05bf887a893f5b205c3f18a2aad43622155c7c23c2e6e6a5,checkpoints/token_projection_training/C_transformer_block/sensitivity/distill_strength_1p0__seed_42/epoch_02.pt
COMPLETE,42,3,224,16,196,5,201,0.5128205418586731,0.7889546155929565,0.8727810382843018,7.670611381530762,1.0,0.39447730779647827,0.6796844005584717,0.7771202921867371,15.44122314453125,2.0,1014.0,5070.0,0.4536489248275757,NVIDIA RTX PRO 6000 Blackwell Server Edition,aisurrey38.surrey.ac.uk,native_bf16,0.3522553890943527,0.002506637309249323,Flickr30k Karpathy validation,False,c8b46266db3ca9bf05bf887a893f5b205c3f18a2aad43622155c7c23c2e6e6a5,checkpoints/token_projection_training/C_transformer_block/sensitivity/distill_strength_1p0__seed_42/epoch_03.pt
COMPLETE,42,4,224,16,196,5,201,0.5433924794197083,0.8086785078048706,0.8934911489486694,7.371794700622559,1.0,0.4067061245441437,0.7013806700706482,0.7996055483818054,13.706311225891113,2.0,1014.0,5070.0,0.47504930198192596,NVIDIA RTX PRO 6000 Blackwell Server Edition,aisurrey38.surrey.ac.uk,native_bf16,0.3695918917655945,0.0024520266339178296,Flickr30k Karpathy validation,False,c8b46266db3ca9bf05bf887a893f5b205c3f18a2aad43622155c7c23c2e6e6a5,checkpoints/token_projection_training/C_transformer_block/sensitivity/distill_strength_1p0__seed_42/epoch_04.pt
COMPLETE,42,5,224,16,196,5,201,0.5453649163246155,0.8155818581581116,0.8777120113372803,6.961538314819336,1.0,0.41755422949790955,0.7106508612632751,0.8037475347518921,13.100196838378906,2.0,1014.0,5070.0,0.4814595729112625,NVIDIA RTX PRO 6000 Blackwell Server Edition,aisurrey38.surrey.ac.uk,native_bf16,0.3817288875579834,0.002375062590388216,Flickr30k Karpathy validation,False,c8b46266db3ca9bf05bf887a893f5b205c3f18a2aad43622155c7c23c2e6e6a5,checkpoints/token_projection_training/C_transformer_block/sensitivity/distill_strength_1p0__seed_42/epoch_05.pt
COMPLETE,42,6,224,16,196,5,201,0.5424063205718994,0.8126232624053955,0.8944773077964783,7.232741832733154,1.0,0.4211045503616333,0.7096647024154663,0.809861958026886,13.340039253234863,2.0,1014.0,5070.0,0.48175543546676636,NVIDIA RTX PRO 6000 Blackwell Server Edition,aisurrey38.surrey.ac.uk,native_bf16,0.3879674971103668,0.002277204096041539,Flickr30k Karpathy validation,False,c8b46266db3ca9bf05bf887a893f5b205c3f18a2aad43622155c7c23c2e6e6a5,checkpoints/token_projection_training/C_transformer_block/sensitivity/distill_strength_1p0__seed_42/epoch_06.pt
COMPLETE,42,7,224,16,196,5,201,0.5719920992851257,0.8284023404121399,0.9003944993019104,6.8510847091674805,1.0,0.42583826184272766,0.719132125377655,0.8112425804138184,12.75108528137207,2.0,1014.0,5070.0,0.4989151805639267,NVIDIA RTX PRO 6000 Blackwell Server Edition,aisurrey38.surrey.ac.uk,native_bf16,0.401146337389946,0.0021603061399316377,Flickr30k Karpathy validation,False,c8b46266db3ca9bf05bf887a893f5b205c3f18a2aad43622155c7c23c2e6e6a5,checkpoints/token_projection_training/C_transformer_block/sensitivity/distill_strength_1p0__seed_42/epoch_07.pt
COMPLETE,42,8,224,16,196,5,201,0.5729783177375793,0.8372781276702881,0.8984220623970032,6.765285968780518,1.0,0.4396449625492096,0.7214990258216858,0.8071005940437317,12.578895568847656,2.0,1014.0,5070.0,0.5063116401433945,NVIDIA RTX PRO 6000 Blackwell Server Edition,aisurrey38.surrey.ac.uk,native_bf16,0.402785524725914,0.00202658461992663,Flickr30k Karpathy validation,False,c8b46266db3ca9bf05bf887a893f5b205c3f18a2aad43622155c7c23c2e6e6a5,checkpoints/token_projection_training/C_transformer_block/sensitivity/distill_strength_1p0__seed_42/epoch_08.pt
COMPLETE,42,9,224,16,196,5,201,0.5779092907905579,0.8353056907653809,0.8905325531959534,6.821498870849609,1.0,0.43530571460723877,0.7218934893608093,0.809861958026886,12.351282119750977,2.0,1014.0,5070.0,0.5066075026988983,NVIDIA RTX PRO 6000 Blackwell Server Edition,aisurrey38.surrey.ac.uk,native_bf16,0.4076846241950989,0.0018785743385240183,Flickr30k Karpathy validation,False,c8b46266db3ca9bf05bf887a893f5b205c3f18a2aad43622155c7c23c2e6e6a5,checkpoints/token_projection_training/C_transformer_block/sensitivity/distill_strength_1p0__seed_42/epoch_09.pt
COMPLETE,42,10,224,16,196,5,201,0.5907297730445862,0.8264299631118774,0.9063116312026978,6.2071003913879395,1.0,0.4345167577266693,0.733530580997467,0.8213017582893372,11.64773178100586,2.0,1014.0,5070.0,0.5126232653856277,NVIDIA RTX PRO 6000 Blackwell Server Edition,aisurrey38.surrey.ac.uk,native_bf16,0.41220322251319885,0.0017190809535636298,Flickr30k Karpathy validation,False,c8b46266db3ca9bf05bf887a893f5b205c3f18a2aad43622155c7c23c2e6e6a5,checkpoints/token_projection_training/C_transformer_block/sensitivity/distill_strength_1p0__seed_42/epoch_10.pt
