audit_id,query_id,positive_id,positive_rank,partition,tfidf_cross_bin,bge_cross_bin,candidate_mapping
audit_000,13261::caption_4,13261,1,rank_1,low,low,"{""A"": ""1520"", ""B"": ""1365"", ""C"": ""17914"", ""D"": ""1716"", ""E"": ""13261""}"
audit_001,30369::caption_0,30369,1,rank_1,low,medium,"{""A"": ""30369"", ""B"": ""18956"", ""C"": ""28126"", ""D"": ""29492"", ""E"": ""23998""}"
audit_002,26186::caption_1,26186,1,rank_1,low,medium,"{""A"": ""26186"", ""B"": ""15582"", ""C"": ""9907"", ""D"": ""19165"", ""E"": ""30177""}"
audit_003,28590::caption_3,28590,1,rank_1,low,high,"{""A"": ""27310"", ""B"": ""12449"", ""C"": ""22872"", ""D"": ""28590"", ""E"": ""15204""}"
audit_004,10449::caption_1,10449,1,rank_1,low,low,"{""A"": ""10449"", ""B"": ""24490"", ""C"": ""22916"", ""D"": ""25007"", ""E"": ""22889""}"
audit_005,22772::caption_0,22772,1,rank_1,low,low,"{""A"": ""12018"", ""B"": ""13278"", ""C"": ""13583"", ""D"": ""22772"", ""E"": ""7376""}"
audit_006,16799::caption_0,16799,1,rank_1,low,low,"{""A"": ""7228"", ""B"": ""16799"", ""C"": ""1516"", ""D"": ""27508"", ""E"": ""26756""}"
audit_007,2006::caption_0,2006,1,rank_1,low,high,"{""A"": ""2006"", ""B"": ""24443"", ""C"": ""18983"", ""D"": ""118"", ""E"": ""24905""}"
audit_008,4641::caption_1,4641,1,rank_1,low,low,"{""A"": ""7454"", ""B"": ""4641"", ""C"": ""99"", ""D"": ""18440"", ""E"": ""13347""}"
audit_009,12684::caption_2,12684,1,rank_1,low,low,"{""A"": ""12684"", ""B"": ""1382"", ""C"": ""10557"", ""D"": ""12075"", ""E"": ""5204""}"
audit_010,10014::caption_3,10014,1,rank_1,low,medium,"{""A"": ""27171"", ""B"": ""24395"", ""C"": ""2388"", ""D"": ""13895"", ""E"": ""10014""}"
audit_011,1102::caption_1,1102,1,rank_1,medium,high,"{""A"": ""26756"", ""B"": ""1102"", ""C"": ""23721"", ""D"": ""5224"", ""E"": ""23322""}"
audit_012,3631::caption_0,3631,1,rank_1,medium,high,"{""A"": ""11076"", ""B"": ""17885"", ""C"": ""3631"", ""D"": ""12708"", ""E"": ""4960""}"
audit_013,21260::caption_0,21260,1,rank_1,medium,low,"{""A"": ""23785"", ""B"": ""12993"", ""C"": ""28721"", ""D"": ""21260"", ""E"": ""22477""}"
audit_014,21130::caption_2,21130,1,rank_1,medium,high,"{""A"": ""6666"", ""B"": ""25866"", ""C"": ""22827"", ""D"": ""21130"", ""E"": ""16365""}"
audit_015,6171::caption_1,6171,1,rank_1,medium,medium,"{""A"": ""9154"", ""B"": ""15795"", ""C"": ""25077"", ""D"": ""6171"", ""E"": ""24307""}"
audit_016,293::caption_2,293,1,rank_1,medium,medium,"{""A"": ""9896"", ""B"": ""10792"", ""C"": ""293"", ""D"": ""5515"", ""E"": ""30385""}"
