model,seed,direction,query_id,positive_id,positive_rank,all_positive_ids,all_positive_ranks,top10_retrieved_ids,partition
c4_seed_42,42,i2t,67,67::caption_2,2,"[""67::caption_0"", ""67::caption_1"", ""67::caption_2"", ""67::caption_3"", ""67::caption_4""]","[14, 27, 2, 5, 15]","[""3836::caption_1"", ""67::caption_2"", ""22326::caption_1"", ""9734::caption_3"", ""67::caption_3"", ""8777::caption_0"", ""17892::caption_2"", ""2605::caption_3"", ""9747::caption_3"", ""30632::caption_2""]",rank_2_10
c4_seed_42,42,i2t,99,99::caption_3,1,"[""99::caption_0"", ""99::caption_1"", ""99::caption_2"", ""99::caption_3"", ""99::caption_4""]","[8, 49, 14, 1, 22]","[""99::caption_3"", ""816::caption_1"", ""22295::caption_2"", ""17243::caption_3"", ""22295::caption_4"", ""4641::caption_1"", ""22295::caption_3"", ""99::caption_0"", ""24395::caption_3"", ""9858::caption_4""]",rank_1
c4_seed_42,42,i2t,100,100::caption_1,11,"[""100::caption_0"", ""100::caption_1"", ""100::caption_2"", ""100::caption_3"", ""100::caption_4""]","[15, 11, 438, 196, 290]","[""20478::caption_2"", ""18127::caption_4"", ""25363::caption_0"", ""4917::caption_0"", ""18127::caption_1"", ""12004::caption_4"", ""18127::caption_0"", ""28435::caption_1"", ""26673::caption_0"", ""18127::caption_2""]",outside_top_10
c4_seed_42,42,i2t,109,109::caption_2,1,"[""109::caption_0"", ""109::caption_1"", ""109::caption_2"", ""109::caption_3"", ""109::caption_4""]","[4, 2, 1, 18, 3]","[""109::caption_2"", ""109::caption_1"", ""109::caption_4"", ""109::caption_0"", ""17892::caption_1"", ""27362::caption_3"", ""25194::caption_4"", ""18760::caption_1"", ""17309::caption_2"", ""17309::caption_4""]",rank_1
c4_seed_42,42,i2t,118,118::caption_2,1,"[""118::caption_0"", ""118::caption_1"", ""118::caption_2"", ""118::caption_3"", ""118::caption_4""]","[6, 5, 1, 2, 11]","[""118::caption_2"", ""118::caption_3"", ""3756::caption_4"", ""3756::caption_0"", ""118::caption_1"", ""118::caption_0"", ""2006::caption_0"", ""16726::caption_3"", ""28286::caption_0"", ""7355::caption_1""]",rank_1
c4_seed_42,42,i2t,161,161::caption_2,1,"[""161::caption_0"", ""161::caption_1"", ""161::caption_2"", ""161::caption_3"", ""161::caption_4""]","[2, 9, 1, 3, 13]","[""161::caption_2"", ""161::caption_0"", ""161::caption_3"", ""27381::caption_2"", ""21687::caption_4"", ""16811::caption_3"", ""27643::caption_2"", ""20736::caption_3"", ""161::caption_1"", ""20495::caption_4""]",rank_1
c4_seed_42,42,i2t,170,170::caption_4,1,"[""170::caption_0"", ""170::caption_1"", ""170::caption_2"", ""170::caption_3"", ""170::caption_4""]","[4, 2, 3, 37, 1]","[""170::caption_4"", ""170::caption_1"", ""170::caption_2"", ""170::caption_0"", ""3425::caption_0"", ""6089::caption_2"", ""29637::caption_0"", ""14222::caption_1"", ""4053::caption_1"", ""29637::caption_2""]",rank_1
c4_seed_42,42,i2t,200,200::caption_1,1,"[""200::caption_0"", ""200::caption_1"", ""200::caption_2"", ""200::caption_3"", ""200::caption_4""]","[8, 1, 2, 3, 5]","[""200::caption_1"", ""200::caption_2"", ""200::caption_3"", ""7414::caption_1"", ""200::caption_4"", ""7414::caption_3"", ""7414::caption_2"", ""200::caption_0"", ""8405::caption_4"", ""8405::caption_2""]",rank_1
c4_seed_42,42,i2t,203,203::caption_2,1,"[""203::caption_0"", ""203::caption_1"", ""203::caption_2"", ""203::caption_3"", ""203::caption_4""]","[4, 3, 1, 2, 11]","[""203::caption_2"", ""203::caption_3"", ""203::caption_1"", ""203::caption_0"", ""10321::caption_0"", ""10321::caption_1"", ""23606::caption_2"", ""1351::caption_2"", ""2326::caption_4"", ""16353::caption_0""]",rank_1
c4_seed_42,42,i2t,257,257::caption_4,1,"[""257::caption_0"", ""257::caption_1"", ""257::caption_2"", ""257::caption_3"", ""257::caption_4""]","[6, 4, 2, 3, 1]","[""257::caption_4"", ""257::caption_2"", ""257::caption_3"", ""257::caption_1"", ""13978::caption_2"", ""257::caption_0"", ""13265::caption_2"", ""15889::caption_2"", ""14743::caption_4"", ""15889::caption_3""]",rank_1
