model,seed,direction,query_id,positive_id,positive_rank,all_positive_ids,all_positive_ranks,top10_retrieved_ids,partition
openclip,,i2t,67,67::caption_0,1,"[""67::caption_0"", ""67::caption_1"", ""67::caption_2"", ""67::caption_3"", ""67::caption_4""]","[1, 5, 2, 3, 4]","[""67::caption_0"", ""67::caption_2"", ""67::caption_3"", ""67::caption_4"", ""67::caption_1"", ""511::caption_3"", ""1523::caption_3"", ""3836::caption_1"", ""1523::caption_0"", ""16526::caption_2""]",rank_1
openclip,,i2t,99,99::caption_2,1,"[""99::caption_0"", ""99::caption_1"", ""99::caption_2"", ""99::caption_3"", ""99::caption_4""]","[29, 9, 1, 3, 11]","[""99::caption_2"", ""22295::caption_2"", ""99::caption_3"", ""24106::caption_1"", ""16353::caption_3"", ""22295::caption_4"", ""24106::caption_2"", ""12507::caption_1"", ""99::caption_1"", ""13347::caption_0""]",rank_1
openclip,,i2t,100,100::caption_1,1,"[""100::caption_0"", ""100::caption_1"", ""100::caption_2"", ""100::caption_3"", ""100::caption_4""]","[4, 1, 5, 3, 2]","[""100::caption_1"", ""100::caption_4"", ""100::caption_3"", ""100::caption_0"", ""100::caption_2"", ""18692::caption_4"", ""3304::caption_3"", ""18127::caption_0"", ""12004::caption_2"", ""12004::caption_4""]",rank_1
openclip,,i2t,109,109::caption_3,1,"[""109::caption_0"", ""109::caption_1"", ""109::caption_2"", ""109::caption_3"", ""109::caption_4""]","[3, 2, 11, 1, 4]","[""109::caption_3"", ""109::caption_1"", ""109::caption_0"", ""109::caption_4"", ""18599::caption_1"", ""17892::caption_3"", ""17892::caption_0"", ""18576::caption_2"", ""14430::caption_0"", ""17309::caption_4""]",rank_1
openclip,,i2t,118,118::caption_0,1,"[""118::caption_0"", ""118::caption_1"", ""118::caption_2"", ""118::caption_3"", ""118::caption_4""]","[1, 4, 2, 6, 3]","[""118::caption_0"", ""118::caption_2"", ""118::caption_4"", ""118::caption_1"", ""3756::caption_3"", ""118::caption_3"", ""17027::caption_1"", ""6110::caption_3"", ""7355::caption_3"", ""1212::caption_1""]",rank_1
openclip,,i2t,161,161::caption_0,1,"[""161::caption_0"", ""161::caption_1"", ""161::caption_2"", ""161::caption_3"", ""161::caption_4""]","[1, 3, 4, 2, 9]","[""161::caption_0"", ""161::caption_3"", ""161::caption_1"", ""161::caption_2"", ""3434::caption_2"", ""27381::caption_2"", ""3434::caption_1"", ""1532::caption_3"", ""161::caption_4"", ""22712::caption_2""]",rank_1
openclip,,i2t,170,170::caption_1,1,"[""170::caption_0"", ""170::caption_1"", ""170::caption_2"", ""170::caption_3"", ""170::caption_4""]","[9, 1, 2, 18, 5]","[""170::caption_1"", ""170::caption_2"", ""6089::caption_0"", ""6089::caption_2"", ""170::caption_4"", ""6089::caption_3"", ""6089::caption_1"", ""4053::caption_3"", ""170::caption_0"", ""4053::caption_1""]",rank_1
openclip,,i2t,200,200::caption_4,1,"[""200::caption_0"", ""200::caption_1"", ""200::caption_2"", ""200::caption_3"", ""200::caption_4""]","[7, 8, 2, 5, 1]","[""200::caption_4"", ""200::caption_2"", ""7414::caption_1"", ""7414::caption_2"", ""200::caption_3"", ""12846::caption_4"", ""200::caption_0"", ""200::caption_1"", ""7414::caption_4"", ""12846::caption_3""]",rank_1
openclip,,i2t,203,203::caption_2,1,"[""203::caption_0"", ""203::caption_1"", ""203::caption_2"", ""203::caption_3"", ""203::caption_4""]","[4, 2, 1, 3, 11]","[""203::caption_2"", ""203::caption_1"", ""203::caption_3"", ""203::caption_0"", ""11564::caption_2"", ""24106::caption_1"", ""16353::caption_2"", ""16353::caption_0"", ""16353::caption_3"", ""22880::caption_0""]",rank_1
openclip,,i2t,257,257::caption_2,1,"[""257::caption_0"", ""257::caption_1"", ""257::caption_2"", ""257::caption_3"", ""257::caption_4""]","[2, 5, 1, 13, 12]","[""257::caption_2"", ""257::caption_0"", ""15889::caption_3"", ""13265::caption_3"", ""257::caption_1"", ""13265::caption_4"", ""27536::caption_3"", ""29964::caption_1"", ""15889::caption_2"", ""16695::caption_2""]",rank_1
