model_id,label,kind,seed,dataset,metric,value
mt1_strict_frozen,M_T1 strict-frozen C4,student,42.0,sugarcrepe,overall_accuracy,0.7674077749252319
mt1_strict_frozen,M_T1 strict-frozen C4,student,42.0,sugarcrepe,positive_score,0.5558818238995044
mt1_strict_frozen,M_T1 strict-frozen C4,student,42.0,sugarcrepe,negative_score,0.5187006581164505
mt1_strict_frozen,M_T1 strict-frozen C4,student,42.0,sugarcrepe,score_margin,0.037181165783053916
mt1_strict_frozen,M_T1 strict-frozen C4,student,42.0,sugarcrepe,accuracy/add_att,0.6358381509780884
mt1_strict_frozen,M_T1 strict-frozen C4,student,42.0,sugarcrepe,accuracy/add_obj,0.7885547876358032
mt1_strict_frozen,M_T1 strict-frozen C4,student,42.0,sugarcrepe,accuracy/replace_att,0.8032994866371155
mt1_strict_frozen,M_T1 strict-frozen C4,student,42.0,sugarcrepe,accuracy/replace_obj,0.9200968742370605
mt1_strict_frozen,M_T1 strict-frozen C4,student,42.0,sugarcrepe,accuracy/replace_rel,0.7140824794769287
mt1_strict_frozen,M_T1 strict-frozen C4,student,42.0,sugarcrepe,accuracy/swap_att,0.5960960984230042
mt1_strict_frozen,M_T1 strict-frozen C4,student,42.0,sugarcrepe,accuracy/swap_obj,0.5877550840377808
mt1_strict_frozen,M_T1 strict-frozen C4,student,43.0,sugarcrepe,overall_accuracy,0.7710025310516357
mt1_strict_frozen,M_T1 strict-frozen C4,student,43.0,sugarcrepe,positive_score,0.5568802355013807
mt1_strict_frozen,M_T1 strict-frozen C4,student,43.0,sugarcrepe,negative_score,0.5195445980102462
mt1_strict_frozen,M_T1 strict-frozen C4,student,43.0,sugarcrepe,score_margin,0.037335637491134395
mt1_strict_frozen,M_T1 strict-frozen C4,student,43.0,sugarcrepe,accuracy/add_att,0.663294792175293
mt1_strict_frozen,M_T1 strict-frozen C4,student,43.0,sugarcrepe,accuracy/add_obj,0.7967992424964905
mt1_strict_frozen,M_T1 strict-frozen C4,student,43.0,sugarcrepe,accuracy/replace_att,0.7817258834838867
mt1_strict_frozen,M_T1 strict-frozen C4,student,43.0,sugarcrepe,accuracy/replace_obj,0.9098063111305237
mt1_strict_frozen,M_T1 strict-frozen C4,student,43.0,sugarcrepe,accuracy/replace_rel,0.7240398526191711
mt1_strict_frozen,M_T1 strict-frozen C4,student,43.0,sugarcrepe,accuracy/swap_att,0.6051051020622253
