comparison,left_model,right_model,dataset,metric,n_image_queries,n_text_queries,effect,ci_low,ci_high,bootstrap_iterations,paired_seed_effect_sd_pp,n
dual_vs_strict,mt1_dual_lora,mt1_strict_frozen,flickr30k_test,mean_R@1,1000.0,5000.0,9.296666666666667,8.150000000000002,10.489999999999998,10000,0.6987369557518299,
dual_vs_strict,mt1_dual_lora,mt1_strict_frozen,cifar100_zeroshot,top1_accuracy,,,1.5533333333333335,1.0000000000000004,2.1166666666666667,10000,1.2903229569891919,10000.0
dual_vs_strict,mt1_dual_lora,mt1_strict_frozen,pets_zeroshot,top1_accuracy,,,-1.8351957845007725,-2.59834650676842,-1.0902153175252112,10000,1.671564732567555,3669.0
dual_vs_strict,mt1_dual_lora,mt1_strict_frozen,eurosat_zeroshot,top1_accuracy,,,-2.2880658436213994,-3.4156378600823043,-1.1440329218107,10000,1.3636993299182005,4050.0
strict_vs_openclip,mt1_strict_frozen,openclip_vit_b32_quickgelu_openai,flickr30k_test,mean_R@1,1000.0,5000.0,-15.320000000000004,-17.050000000000004,-13.576583333333335,10000,,
strict_vs_openclip,mt1_strict_frozen,openclip_vit_b32_quickgelu_openai,cifar100_zeroshot,top1_accuracy,,,-28.310000000000002,-29.35333333333333,-27.279999999999998,10000,,10000.0
strict_vs_openclip,mt1_strict_frozen,openclip_vit_b32_quickgelu_openai,pets_zeroshot,top1_accuracy,,,-73.09893704006541,-74.46170618697194,-71.73616789315889,10000,,3669.0
strict_vs_openclip,mt1_strict_frozen,openclip_vit_b32_quickgelu_openai,eurosat_zeroshot,top1_accuracy,,,-10.19753086419753,-12.123456790123457,-8.329012345679015,10000,,4050.0
dual_vs_openclip,mt1_dual_lora,openclip_vit_b32_quickgelu_openai,flickr30k_test,mean_R@1,1000.0,5000.0,-6.023333333333334,-7.620083333333335,-4.366666666666668,10000,,
dual_vs_openclip,mt1_dual_lora,openclip_vit_b32_quickgelu_openai,cifar100_zeroshot,top1_accuracy,,,-26.756666666666668,-27.800000000000004,-25.736666666666668,10000,,10000.0
dual_vs_openclip,mt1_dual_lora,openclip_vit_b32_quickgelu_openai,pets_zeroshot,top1_accuracy,,,-74.93413282456619,-76.28781684382666,-73.55319342236758,10000,,3669.0
dual_vs_openclip,mt1_dual_lora,openclip_vit_b32_quickgelu_openai,eurosat_zeroshot,top1_accuracy,,,-12.48559670781893,-14.304526748971194,-10.682921810699591,10000,,4050.0
strict_vs_mobileclip,mt1_strict_frozen,mobileclip2_s0_dfndr2b,flickr30k_test,mean_R@1,1000.0,5000.0,-25.350000000000005,-26.85675,-23.803250000000002,10000,,
strict_vs_mobileclip,mt1_strict_frozen,mobileclip2_s0_dfndr2b,cifar100_zeroshot,top1_accuracy,,,-41.699999999999996,-42.71333333333333,-40.67333333333333,10000,,10000.0
strict_vs_mobileclip,mt1_strict_frozen,mobileclip2_s0_dfndr2b,pets_zeroshot,top1_accuracy,,,-79.34041973289725,-80.54874170982102,-78.0957572453893,10000,,3669.0
strict_vs_mobileclip,mt1_strict_frozen,mobileclip2_s0_dfndr2b,eurosat_zeroshot,top1_accuracy,,,-17.11111111111111,-18.609259259259257,-15.588477366255146,10000,,4050.0
dual_vs_mobileclip,mt1_dual_lora,mobileclip2_s0_dfndr2b,flickr30k_test,mean_R@1,1000.0,5000.0,-16.053333333333335,-17.563333333333336,-14.576666666666672,10000,,
dual_vs_mobileclip,mt1_dual_lora,mobileclip2_s0_dfndr2b,cifar100_zeroshot,top1_accuracy,,,-40.14666666666667,-41.13,-39.14658333333333,10000,,10000.0
dual_vs_mobileclip,mt1_dual_lora,mobileclip2_s0_dfndr2b,pets_zeroshot,top1_accuracy,,,-81.17561551739803,-82.37485236667575,-79.98546379576635,10000,,3669.0
dual_vs_mobileclip,mt1_dual_lora,mobileclip2_s0_dfndr2b,eurosat_zeroshot,top1_accuracy,,,-19.399176954732507,-21.061728395061728,-17.728395061728396,10000,,4050.0
strict_vs_siglip2,mt1_strict_frozen,siglip2_vit_b32_256_webli,flickr30k_test,mean_R@1,1000.0,5000.0,-27.560000000000006,-29.166750000000008,-25.966666666666672,10000,,
strict_vs_siglip2,mt1_strict_frozen,siglip2_vit_b32_256_webli,cifar100_zeroshot,top1_accuracy,,,-39.5,-40.48008333333334,-38.526583333333335,10000,,10000.0
strict_vs_siglip2,mt1_strict_frozen,siglip2_vit_b32_256_webli,pets_zeroshot,top1_accuracy,,,-82.85636413191605,-83.9738348323794,-81.71163804851457,10000,,3669.0
strict_vs_siglip2,mt1_strict_frozen,siglip2_vit_b32_256_webli,eurosat_zeroshot,top1_accuracy,,,-17.40740740740741,-19.16872427983539,-15.60493827160494,10000,,4050.0
dual_vs_siglip2,mt1_dual_lora,siglip2_vit_b32_256_webli,flickr30k_test,mean_R@1,1000.0,5000.0,-18.263333333333335,-19.790000000000003,-16.693333333333335,10000,,
dual_vs_siglip2,mt1_dual_lora,siglip2_vit_b32_256_webli,cifar100_zeroshot,top1_accuracy,,,-37.946666666666665,-38.95333333333333,-36.940000000000005,10000,,10000.0
dual_vs_siglip2,mt1_dual_lora,siglip2_vit_b32_256_webli,pets_zeroshot,top1_accuracy,,,-84.69155991641682,-85.76360497864994,-83.61951485418369,10000,,3669.0
dual_vs_siglip2,mt1_dual_lora,siglip2_vit_b32_256_webli,eurosat_zeroshot,top1_accuracy,,,-19.695473251028808,-21.37448559670782,-18.03292181069959,10000,,4050.0
