class_index,class,accuracy,samples
0,abyssinian,0.8775510191917419,98
1,american bulldog,0.9300000071525574,100
2,american pit bull terrier,0.699999988079071,100
3,basset hound,0.9399999976158142,100
4,beagle,0.9700000286102295,100
5,bengal,0.949999988079071,100
6,birman,0.49000000953674316,100
7,bombay,0.0,88
8,boxer,0.8787878751754761,99
9,british shorthair,0.8600000143051147,100
10,chihuahua,0.9599999785423279,100
11,egyptian mau,0.8556700944900513,97
12,english cocker spaniel,0.9399999976158142,100
13,english setter,0.9200000166893005,100
14,german shorthaired,0.9800000190734863,100
15,great pyrenees,0.9800000190734863,100
16,havanese,0.9599999785423279,100
17,japanese chin,0.949999988079071,100
18,keeshond,1.0,99
19,leonberger,0.9599999785423279,100
20,maine coon,0.8799999952316284,100
21,miniature pinscher,0.9599999785423279,100
22,newfoundland,0.9900000095367432,100
23,persian,0.9599999785423279,100
24,pomeranian,0.9900000095367432,100
25,pug,0.9900000095367432,100
26,ragdoll,0.8399999737739563,100
27,russian blue,0.9200000166893005,100
28,saint bernard,0.9399999976158142,100
29,samoyed,1.0,100
30,scottish terrier,0.9898989796638489,99
31,shiba inu,0.9800000190734863,100
32,siamese,0.8899999856948853,100
33,sphynx,0.9700000286102295,100
34,staffordshire bull terrier,0.584269642829895,89
35,wheaten terrier,0.9399999976158142,100
36,yorkshire terrier,0.949999988079071,100
