class_index,class,accuracy,samples
0,abyssinian,0.0,98
1,american bulldog,0.25999999046325684,100
2,american pit bull terrier,0.5,100
3,basset hound,0.019999999552965164,100
4,beagle,0.20999999344348907,100
5,bengal,0.0,100
6,birman,0.0,100
7,bombay,0.0,88
8,boxer,0.010101010091602802,99
9,british shorthair,0.0,100
10,chihuahua,0.3100000023841858,100
11,egyptian mau,0.0,97
12,english cocker spaniel,0.05999999865889549,100
13,english setter,0.0,100
14,german shorthaired,0.0,100
15,great pyrenees,0.0,100
16,havanese,0.0,100
17,japanese chin,0.0,100
18,keeshond,0.0,99
19,leonberger,0.0,100
20,maine coon,0.3499999940395355,100
21,miniature pinscher,0.0,100
22,newfoundland,0.0,100
23,persian,0.0,100
24,pomeranian,0.36000001430511475,100
25,pug,0.7599999904632568,100
26,ragdoll,0.009999999776482582,100
27,russian blue,0.0,100
28,saint bernard,0.009999999776482582,100
29,samoyed,0.0,100
30,scottish terrier,0.31313130259513855,99
31,shiba inu,0.0,100
32,siamese,0.14000000059604645,100
33,sphynx,0.009999999776482582,100
34,staffordshire bull terrier,0.10112359374761581,89
35,wheaten terrier,0.3700000047683716,100
36,yorkshire terrier,0.009999999776482582,100
