class_index,class,accuracy,samples
0,abyssinian,0.8877550959587097,98
1,american bulldog,0.9700000286102295,100
2,american pit bull terrier,0.6899999976158142,100
3,basset hound,0.949999988079071,100
4,beagle,1.0,100
5,bengal,0.8799999952316284,100
6,birman,0.7300000190734863,100
7,bombay,0.9090909361839294,88
8,boxer,0.868686854839325,99
9,british shorthair,0.8999999761581421,100
10,chihuahua,0.949999988079071,100
11,egyptian mau,0.907216489315033,97
12,english cocker spaniel,0.9599999785423279,100
13,english setter,0.9200000166893005,100
14,german shorthaired,0.9900000095367432,100
15,great pyrenees,1.0,100
16,havanese,0.9700000286102295,100
17,japanese chin,0.9900000095367432,100
18,keeshond,1.0,99
19,leonberger,0.949999988079071,100
20,maine coon,0.8999999761581421,100
21,miniature pinscher,0.9100000262260437,100
22,newfoundland,0.9900000095367432,100
23,persian,0.949999988079071,100
24,pomeranian,0.9800000190734863,100
25,pug,0.9800000190734863,100
26,ragdoll,0.6700000166893005,100
27,russian blue,0.9700000286102295,100
28,saint bernard,0.9800000190734863,100
29,samoyed,0.9900000095367432,100
30,scottish terrier,0.9898989796638489,99
31,shiba inu,0.9900000095367432,100
32,siamese,0.9100000262260437,100
33,sphynx,1.0,100
34,staffordshire bull terrier,0.8089887499809265,89
35,wheaten terrier,0.9100000262260437,100
36,yorkshire terrier,0.9900000095367432,100
