model_id,label,kind,dataset,metric,n,mean,sd,min,max,inference_trainable_parameters,full_stack_inference_parameters
mt1_strict_frozen,M_T1 strict-frozen C4,student,flickr30k_test,mean_R@1,3,0.528999999165535,0.008697131148423637,0.5189999938011169,0.5348000079393387,2896389,47196549
mt1_strict_frozen,M_T1 strict-frozen C4,student,cifar100_zeroshot,top1_accuracy,3,0.36393333474795025,0.004429813614397709,0.35910001397132874,0.3677999973297119,2896389,47196549
mt1_strict_frozen,M_T1 strict-frozen C4,student,pets_zeroshot,top1_accuracy,3,0.09902789443731308,0.005028107321312717,0.09348596632480621,0.10329790413379669,2896389,47196549
mt1_strict_frozen,M_T1 strict-frozen C4,student,eurosat_zeroshot,top1_accuracy,3,0.24411522845427194,0.012358848112615685,0.2320987582206726,0.2567901313304901,2896389,47196549
mt1_dual_lora,M_T1 C4 dual-LoRA PEFT,student,flickr30k_test,mean_R@1,3,0.621966669956843,0.004461317685620584,0.6184999942779541,0.6270000040531158,4862469,49162629
mt1_dual_lora,M_T1 C4 dual-LoRA PEFT,student,cifar100_zeroshot,top1_accuracy,3,0.37850000460942584,0.01212971452098436,0.36880001425743103,0.3921000063419342,4862469,49162629
mt1_dual_lora,M_T1 C4 dual-LoRA PEFT,student,pets_zeroshot,top1_accuracy,3,0.07958571861187617,0.016522695065044585,0.06459525972604752,0.09730171412229538,4862469,49162629
mt1_dual_lora,M_T1 C4 dual-LoRA PEFT,student,eurosat_zeroshot,top1_accuracy,3,0.2198353906472524,0.023457225941651384,0.20320987701416016,0.24666666984558105,4862469,49162629
openclip_vit_b32_quickgelu_openai,openclip_vit_b32_quickgelu_openai,reference,flickr30k_test,mean_R@1,1,0.682200014591217,0.0,0.682200014591217,0.682200014591217,0,151277313
openclip_vit_b32_quickgelu_openai,openclip_vit_b32_quickgelu_openai,reference,cifar100_zeroshot,top1_accuracy,1,0.645799994468689,0.0,0.645799994468689,0.645799994468689,0,151277313
openclip_vit_b32_quickgelu_openai,openclip_vit_b32_quickgelu_openai,reference,pets_zeroshot,top1_accuracy,1,0.8310166001319885,0.0,0.8310166001319885,0.8310166001319885,0,151277313
openclip_vit_b32_quickgelu_openai,openclip_vit_b32_quickgelu_openai,reference,eurosat_zeroshot,top1_accuracy,1,0.3444444537162781,0.0,0.3444444537162781,0.3444444537162781,0,151277313
mobileclip2_s0_dfndr2b,mobileclip2_s0_dfndr2b,reference,flickr30k_test,mean_R@1,1,0.7824999988079071,0.0,0.7824999988079071,0.7824999988079071,0,74835073
mobileclip2_s0_dfndr2b,mobileclip2_s0_dfndr2b,reference,cifar100_zeroshot,top1_accuracy,1,0.7825999855995178,0.0,0.7825999855995178,0.7825999855995178,0,74835073
mobileclip2_s0_dfndr2b,mobileclip2_s0_dfndr2b,reference,pets_zeroshot,top1_accuracy,1,0.8923412561416626,0.0,0.8923412561416626,0.8923412561416626,0,74835073
mobileclip2_s0_dfndr2b,mobileclip2_s0_dfndr2b,reference,eurosat_zeroshot,top1_accuracy,1,0.41160494089126587,0.0,0.41160494089126587,0.41160494089126587,0,74835073
siglip2_vit_b32_256_webli,siglip2_vit_b32_256_webli,reference,flickr30k_test,mean_R@1,1,0.8046000003814697,0.0,0.8046000003814697,0.8046000003814697,0,376856066
siglip2_vit_b32_256_webli,siglip2_vit_b32_256_webli,reference,cifar100_zeroshot,top1_accuracy,1,0.7577999830245972,0.0,0.7577999830245972,0.7577999830245972,0,376856066
siglip2_vit_b32_256_webli,siglip2_vit_b32_256_webli,reference,pets_zeroshot,top1_accuracy,1,0.9285908937454224,0.0,0.9285908937454224,0.9285908937454224,0,376856066
siglip2_vit_b32_256_webli,siglip2_vit_b32_256_webli,reference,eurosat_zeroshot,top1_accuracy,1,0.40839505195617676,0.0,0.40839505195617676,0.40839505195617676,0,376856066
