model_id,label,kind,seed,dataset,primary_metric,value,i2t_R@1,t2i_R@1,top5_accuracy,macro_f1,balanced_accuracy,inference_trainable_parameters,full_stack_inference_parameters
mt1_strict_frozen,M_T1 strict-frozen C4,student,42.0,flickr30k_test,mean_R@1,0.5331999957561493,0.5989999771118164,0.4674000144004822,,,,2896389,47196549
mt1_strict_frozen,M_T1 strict-frozen C4,student,42.0,cifar100_zeroshot,top1_accuracy,0.3677999973297119,,,0.6421999931335449,0.3355207063491118,0.36780000000000007,2896389,47196549
mt1_strict_frozen,M_T1 strict-frozen C4,student,42.0,pets_zeroshot,top1_accuracy,0.10329790413379669,,,0.2894521653652191,0.05931616394920382,0.10282043023616057,2896389,47196549
mt1_strict_frozen,M_T1 strict-frozen C4,student,42.0,eurosat_zeroshot,top1_accuracy,0.24345679581165314,,,0.6637036800384521,0.19122283296320686,0.23704444444444447,2896389,47196549
mt1_strict_frozen,M_T1 strict-frozen C4,student,43.0,flickr30k_test,mean_R@1,0.5189999938011169,0.5759999752044678,0.4620000123977661,,,,2896389,47196549
mt1_strict_frozen,M_T1 strict-frozen C4,student,43.0,cifar100_zeroshot,top1_accuracy,0.35910001397132874,,,0.6281999945640564,0.3309314065555368,0.35910000000000003,2896389,47196549
mt1_strict_frozen,M_T1 strict-frozen C4,student,43.0,pets_zeroshot,top1_accuracy,0.10029981285333633,,,0.2878168523311615,0.04997948018347706,0.09975945301787999,2896389,47196549
mt1_strict_frozen,M_T1 strict-frozen C4,student,43.0,eurosat_zeroshot,top1_accuracy,0.2567901313304901,,,0.6399999856948853,0.19345187856911264,0.2595777777777778,2896389,47196549
mt1_strict_frozen,M_T1 strict-frozen C4,student,44.0,flickr30k_test,mean_R@1,0.5348000079393387,0.597000002861023,0.4726000130176544,,,,2896389,47196549
mt1_strict_frozen,M_T1 strict-frozen C4,student,44.0,cifar100_zeroshot,top1_accuracy,0.36489999294281006,,,0.6410999894142151,0.3324774889548997,0.3649000000000001,2896389,47196549
mt1_strict_frozen,M_T1 strict-frozen C4,student,44.0,pets_zeroshot,top1_accuracy,0.09348596632480621,,,0.2861815094947815,0.049086221136730376,0.09294493113112695,2896389,47196549
mt1_strict_frozen,M_T1 strict-frozen C4,student,44.0,eurosat_zeroshot,top1_accuracy,0.2320987582206726,,,0.6506173014640808,0.1559599969780479,0.22728888888888893,2896389,47196549
mt1_dual_lora,M_T1 C4 dual-LoRA PEFT,student,42.0,flickr30k_test,mean_R@1,0.6270000040531158,0.7129999995231628,0.5410000085830688,,,,4862469,49162629
mt1_dual_lora,M_T1 C4 dual-LoRA PEFT,student,42.0,cifar100_zeroshot,top1_accuracy,0.36880001425743103,,,0.6363999843597412,0.34708948996548733,0.3688,4862469,49162629
mt1_dual_lora,M_T1 C4 dual-LoRA PEFT,student,42.0,pets_zeroshot,top1_accuracy,0.06459525972604752,,,0.2818206548690796,0.03973764857529403,0.0641876708168843,4862469,49162629
mt1_dual_lora,M_T1 C4 dual-LoRA PEFT,student,42.0,eurosat_zeroshot,top1_accuracy,0.209629625082016,,,0.6698765158653259,0.17782887702638184,0.2112,4862469,49162629
mt1_dual_lora,M_T1 C4 dual-LoRA PEFT,student,43.0,flickr30k_test,mean_R@1,0.6184999942779541,0.6940000057220459,0.5429999828338623,,,,4862469,49162629
mt1_dual_lora,M_T1 C4 dual-LoRA PEFT,student,43.0,cifar100_zeroshot,top1_accuracy,0.37459999322891235,,,0.6514000296592712,0.35402624372331465,0.3746000000000001,4862469,49162629
mt1_dual_lora,M_T1 C4 dual-LoRA PEFT,student,43.0,pets_zeroshot,top1_accuracy,0.09730171412229538,,,0.322976291179657,0.06741134314408244,0.09703122939077995,4862469,49162629
mt1_dual_lora,M_T1 C4 dual-LoRA PEFT,student,43.0,eurosat_zeroshot,top1_accuracy,0.24666666984558105,,,0.6498765349388123,0.2253468532173549,0.2508444444444445,4862469,49162629
mt1_dual_lora,M_T1 C4 dual-LoRA PEFT,student,44.0,flickr30k_test,mean_R@1,0.6204000115394592,0.6980000138282776,0.5428000092506409,,,,4862469,49162629
mt1_dual_lora,M_T1 C4 dual-LoRA PEFT,student,44.0,cifar100_zeroshot,top1_accuracy,0.3921000063419342,,,0.6625000238418579,0.36486291742379995,0.39210000000000006,4862469,49162629
mt1_dual_lora,M_T1 C4 dual-LoRA PEFT,student,44.0,pets_zeroshot,top1_accuracy,0.07686018198728561,,,0.280185341835022,0.04938337570061737,0.0772320476654345,4862469,49162629
mt1_dual_lora,M_T1 C4 dual-LoRA PEFT,student,44.0,eurosat_zeroshot,top1_accuracy,0.20320987701416016,,,0.656049370765686,0.19252032236018218,0.21335555555555552,4862469,49162629
openclip_vit_b32_quickgelu_openai,openclip_vit_b32_quickgelu_openai,reference,,flickr30k_test,mean_R@1,0.682200014591217,0.7870000004768372,0.5774000287055969,,,,0,151277313
openclip_vit_b32_quickgelu_openai,openclip_vit_b32_quickgelu_openai,reference,,cifar100_zeroshot,top1_accuracy,0.645799994468689,,,0.8848999738693237,0.6358026123801769,0.6458000000000002,0,151277313
openclip_vit_b32_quickgelu_openai,openclip_vit_b32_quickgelu_openai,reference,,pets_zeroshot,top1_accuracy,0.8310166001319885,,,0.9732897281646729,0.8131041468489218,0.8278538988891291,0,151277313
openclip_vit_b32_quickgelu_openai,openclip_vit_b32_quickgelu_openai,reference,,eurosat_zeroshot,top1_accuracy,0.3444444537162781,,,0.8111110925674438,0.2658353922397723,0.3401555555555556,0,151277313
mobileclip2_s0_dfndr2b,mobileclip2_s0_dfndr2b,reference,,flickr30k_test,mean_R@1,0.7824999988079071,0.875,0.6899999976158142,,,,0,74835073
mobileclip2_s0_dfndr2b,mobileclip2_s0_dfndr2b,reference,,cifar100_zeroshot,top1_accuracy,0.7825999855995178,,,0.9541000127792358,0.7782360819600472,0.7825999999999997,0,74835073
mobileclip2_s0_dfndr2b,mobileclip2_s0_dfndr2b,reference,,pets_zeroshot,top1_accuracy,0.8923412561416626,,,0.9751976132392883,0.8784925354423695,0.8885453420299775,0,74835073
mobileclip2_s0_dfndr2b,mobileclip2_s0_dfndr2b,reference,,eurosat_zeroshot,top1_accuracy,0.41160494089126587,,,0.8597530722618103,0.3412860139787628,0.4145777777777778,0,74835073
siglip2_vit_b32_256_webli,siglip2_vit_b32_256_webli,reference,,flickr30k_test,mean_R@1,0.8046000003814697,0.8799999952316284,0.729200005531311,,,,0,376856066
siglip2_vit_b32_256_webli,siglip2_vit_b32_256_webli,reference,,cifar100_zeroshot,top1_accuracy,0.7577999830245972,,,0.9312999844551086,0.7493864624928053,0.7577999999999999,0,376856066
siglip2_vit_b32_256_webli,siglip2_vit_b32_256_webli,reference,,pets_zeroshot,top1_accuracy,0.9285908937454224,,,0.9967293739318848,0.9283930390642421,0.92815235482724,0,376856066
siglip2_vit_b32_256_webli,siglip2_vit_b32_256_webli,reference,,eurosat_zeroshot,top1_accuracy,0.40839505195617676,,,0.787407398223877,0.3725994639051091,0.4227777777777778,0,376856066
