status,seed,epoch,image_resolution,patch_size,patch_tokens,prefix_tokens,total_transformer_tokens,i2t_R@1,i2t_R@5,i2t_R@10,mean_rank_i2t,median_rank_i2t,t2i_R@1,t2i_R@5,t2i_R@10,mean_rank_t2i,median_rank_t2i,num_image_queries,num_text_queries,mean_R@1,gpu_model,node,precision,coco_dev_mean_R1,lr,dataset,test_split_used,checkpoint_fingerprint,checkpoint_path
COMPLETE,42,1,224,16,196,5,201,0.3629191219806671,0.6301774978637695,0.7455621361732483,17.945758819580078,3.0,0.26765286922454834,0.5337278246879578,0.6485207080841064,26.19230842590332,5.0,1014.0,5070.0,0.3152859956026077,NVIDIA RTX PRO 6000 Blackwell Server Edition,aisurrey38.surrey.ac.uk,native_bf16,0.2289782613515854,0.002140605073955639,Flickr30k Karpathy validation,False,2935c37b321db0ef706a16b9b8e1ce190c32773af777eaa8c1456c9eef7ee019,freezeshift/checkpoints/text/sensitivity/distill_strength_1p0__seed_42/epoch_01.pt
COMPLETE,42,2,224,16,196,5,201,0.4990138113498688,0.7495068907737732,0.8500986099243164,9.204141616821289,2.0,0.3658777177333832,0.6497041583061218,0.7611439824104309,16.764890670776367,3.0,1014.0,5070.0,0.432445764541626,NVIDIA RTX PRO 6000 Blackwell Server Edition,aisurrey38.surrey.ac.uk,native_bf16,0.3307588994503021,0.002537859425665334,Flickr30k Karpathy validation,False,2935c37b321db0ef706a16b9b8e1ce190c32773af777eaa8c1456c9eef7ee019,freezeshift/checkpoints/text/sensitivity/distill_strength_1p0__seed_42/epoch_02.pt
COMPLETE,42,3,224,16,196,5,201,0.5463510751724243,0.8096646666526794,0.8796843886375427,6.8510847091674805,1.0,0.4033530652523041,0.6962524652481079,0.7905325293540955,14.142406463623047,2.0,1014.0,5070.0,0.4748520702123642,NVIDIA RTX PRO 6000 Blackwell Server Edition,aisurrey38.surrey.ac.uk,native_bf16,0.3811105638742447,0.002506637309249323,Flickr30k Karpathy validation,False,2935c37b321db0ef706a16b9b8e1ce190c32773af777eaa8c1456c9eef7ee019,freezeshift/checkpoints/text/sensitivity/distill_strength_1p0__seed_42/epoch_03.pt
COMPLETE,42,4,224,16,196,5,201,0.5828402638435364,0.8362919092178345,0.9043392539024353,6.192307472229004,1.0,0.4311636984348297,0.7195266485214233,0.8114398717880249,12.902169227600098,2.0,1014.0,5070.0,0.507001981139183,NVIDIA RTX PRO 6000 Blackwell Server Edition,aisurrey38.surrey.ac.uk,native_bf16,0.41154490411281586,0.0024520266339178296,Flickr30k Karpathy validation,False,2935c37b321db0ef706a16b9b8e1ce190c32773af777eaa8c1456c9eef7ee019,freezeshift/checkpoints/text/sensitivity/distill_strength_1p0__seed_42/epoch_04.pt
COMPLETE,42,5,224,16,196,5,201,0.5966469645500183,0.8520709872245789,0.9181459546089172,6.268244743347168,1.0,0.44891518354415894,0.7278106212615967,0.8181459307670593,11.908875465393066,2.0,1014.0,5070.0,0.5227810740470886,NVIDIA RTX PRO 6000 Blackwell Server Edition,aisurrey38.surrey.ac.uk,native_bf16,0.4210638999938965,0.002375062590388216,Flickr30k Karpathy validation,False,2935c37b321db0ef706a16b9b8e1ce190c32773af777eaa8c1456c9eef7ee019,freezeshift/checkpoints/text/sensitivity/distill_strength_1p0__seed_42/epoch_05.pt
COMPLETE,42,6,224,16,196,5,201,0.6163707971572876,0.8668639063835144,0.9211045503616333,5.307692527770996,1.0,0.45719921588897705,0.7378697991371155,0.8276134133338928,11.092899322509766,2.0,1014.0,5070.0,0.5367850065231323,NVIDIA RTX PRO 6000 Blackwell Server Edition,aisurrey38.surrey.ac.uk,native_bf16,0.4371011555194855,0.002277204096041539,Flickr30k Karpathy validation,False,2935c37b321db0ef706a16b9b8e1ce190c32773af777eaa8c1456c9eef7ee019,freezeshift/checkpoints/text/sensitivity/distill_strength_1p0__seed_42/epoch_06.pt
COMPLETE,42,7,224,16,196,5,201,0.632149875164032,0.860946774482727,0.9289940595626831,5.371794700622559,1.0,0.46548324823379517,0.7528599500656128,0.8424063324928284,10.89230728149414,2.0,1014.0,5070.0,0.5488165616989136,NVIDIA RTX PRO 6000 Blackwell Server Edition,aisurrey38.surrey.ac.uk,native_bf16,0.44373972713947296,0.0021603061399316377,Flickr30k Karpathy validation,False,2935c37b321db0ef706a16b9b8e1ce190c32773af777eaa8c1456c9eef7ee019,freezeshift/checkpoints/text/sensitivity/distill_strength_1p0__seed_42/epoch_07.pt
COMPLETE,42,8,224,16,196,5,201,0.635108470916748,0.8717948794364929,0.9329388737678528,4.599605560302734,1.0,0.4708086848258972,0.7642998099327087,0.8445759415626526,10.365483283996582,2.0,1014.0,5070.0,0.5529585778713226,NVIDIA RTX PRO 6000 Blackwell Server Edition,aisurrey38.surrey.ac.uk,native_bf16,0.45325809717178345,0.00202658461992663,Flickr30k Karpathy validation,False,2935c37b321db0ef706a16b9b8e1ce190c32773af777eaa8c1456c9eef7ee019,freezeshift/checkpoints/text/sensitivity/distill_strength_1p0__seed_42/epoch_08.pt
COMPLETE,42,9,224,16,196,5,201,0.6449704170227051,0.8836292028427124,0.9358974099159241,4.7258381843566895,1.0,0.4854043424129486,0.7692307829856873,0.8469427824020386,9.967849731445312,2.0,1014.0,5070.0,0.5651873797178268,NVIDIA RTX PRO 6000 Blackwell Server Edition,aisurrey38.surrey.ac.uk,native_bf16,0.45409686863422394,0.0018785743385240183,Flickr30k Karpathy validation,False,2935c37b321db0ef706a16b9b8e1ce190c32773af777eaa8c1456c9eef7ee019,freezeshift/checkpoints/text/sensitivity/distill_strength_1p0__seed_42/epoch_09.pt
COMPLETE,42,10,224,16,196,5,201,0.6459566354751587,0.8786982297897339,0.9319526553153992,4.9950690269470215,1.0,0.4836291968822479,0.7672584056854248,0.8477317690849304,10.375936508178711,2.0,1014.0,5070.0,0.5647929161787033,NVIDIA RTX PRO 6000 Blackwell Server Edition,aisurrey38.surrey.ac.uk,native_bf16,0.4624752253293991,0.0017190809535636298,Flickr30k Karpathy validation,False,2935c37b321db0ef706a16b9b8e1ce190c32773af777eaa8c1456c9eef7ee019,freezeshift/checkpoints/text/sensitivity/distill_strength_1p0__seed_42/epoch_10.pt
