arm,reference,repetition,paired_q3_delta_ms
M_T1,openclip_vit_b32_quickgelu_openai,0,0.05072890780866146
M_T1,openclip_vit_b32_quickgelu_openai,1,-0.1407768577337265
M_T1,openclip_vit_b32_quickgelu_openai,2,-0.13844831846654415
M_T1,openclip_vit_b32_quickgelu_openai,3,-0.13106572441756725
M_T1,openclip_vit_b32_quickgelu_openai,4,-0.13587810099124908
M_T1,openclip_vit_b32_quickgelu_openai,5,-0.14089839532971382
M_T1,openclip_vit_b32_quickgelu_openai,6,-0.1422627829015255
M_T1,openclip_vit_b32_quickgelu_openai,7,-0.1351053360849619
M_T1,openclip_vit_b32_quickgelu_openai,8,-0.13403710909187794
M_T1,openclip_vit_b32_quickgelu_openai,9,-0.13946578837931156
vision,openclip_vit_b32_quickgelu_openai,0,0.26134192012250423
vision,openclip_vit_b32_quickgelu_openai,1,-0.1438905019313097
vision,openclip_vit_b32_quickgelu_openai,2,-0.1389472745358944
vision,openclip_vit_b32_quickgelu_openai,3,-0.13548159040510654
vision,openclip_vit_b32_quickgelu_openai,4,-0.1378378365188837
vision,openclip_vit_b32_quickgelu_openai,5,-0.13538729399442673
vision,openclip_vit_b32_quickgelu_openai,6,-0.1399500761181116
vision,openclip_vit_b32_quickgelu_openai,7,-0.1369414385408163
vision,openclip_vit_b32_quickgelu_openai,8,-0.13765948824584484
vision,openclip_vit_b32_quickgelu_openai,9,-0.1397805754095316
text,openclip_vit_b32_quickgelu_openai,0,0.29158079996705055
text,openclip_vit_b32_quickgelu_openai,1,-0.14567538164556026
text,openclip_vit_b32_quickgelu_openai,2,-0.126630999147892
text,openclip_vit_b32_quickgelu_openai,3,-0.13164361007511616
text,openclip_vit_b32_quickgelu_openai,4,-0.1436411403119564
text,openclip_vit_b32_quickgelu_openai,5,-0.13377191498875618
text,openclip_vit_b32_quickgelu_openai,6,-0.14083855785429478
text,openclip_vit_b32_quickgelu_openai,7,-0.13459566980600357
text,openclip_vit_b32_quickgelu_openai,8,-0.13276631943881512
text,openclip_vit_b32_quickgelu_openai,9,-0.1421088818460703
dual,openclip_vit_b32_quickgelu_openai,0,0.27905660681426525
dual,openclip_vit_b32_quickgelu_openai,1,-0.14746468514204025
dual,openclip_vit_b32_quickgelu_openai,2,-0.1373765990138054
dual,openclip_vit_b32_quickgelu_openai,3,-0.14128978364169598
dual,openclip_vit_b32_quickgelu_openai,4,-0.14163274317979813
dual,openclip_vit_b32_quickgelu_openai,5,-0.14179782010614872
dual,openclip_vit_b32_quickgelu_openai,6,-0.14620856381952763
dual,openclip_vit_b32_quickgelu_openai,7,-0.14448212459683418
dual,openclip_vit_b32_quickgelu_openai,8,-0.14470680616796017
dual,openclip_vit_b32_quickgelu_openai,9,-0.14621997252106667
