repetition,order_position,arm,median_ms,q1_ms,q3_ms,image_q3_ms,text_q3_ms,image_resolution,padded_sequence_length,selected_seed,selected_epoch,merged_lora_modules,inference_trainable_parameters
0,0,text,9.564606007188559,9.556148899719119,9.572013514116406,7.79012986458838,1.799953868612647,224,32,42.0,24.0,8,3682821
0,1,dual,9.551923256367445,9.542555082589388,9.559489320963621,7.542386185377836,1.7948788590729237,224,32,42.0,20.0,16,4862469
0,2,vision,9.317505173385143,9.30679333396256,9.54177463427186,7.539648097008467,1.80458789691329,224,32,42.0,16.0,8,4076037
0,3,M_T1,9.323769249022007,9.315472561866045,9.331161621958017,7.35920132137835,1.806529937312007,224,32,42.0,22.0,0,2896389
0,4,openclip_vit_b32_quickgelu_openai,9.278080891817808,9.274862240999937,9.280432714149356,5.425488343462348,3.92943131737411,224,77,,,0,0
1,0,openclip_vit_b32_quickgelu_openai,9.277721401304007,9.275885066017509,9.280867408961058,5.425058305263519,3.9295312017202377,224,77,,,0,0
1,1,dual,9.126932825893164,9.120405651628971,9.133402723819017,7.353858789429069,1.7982965800911188,224,32,42.0,20.0,16,4862469
1,2,text,9.129857644438744,9.124444331973791,9.135192027315497,7.361342199146748,1.794078154489398,224,32,42.0,24.0,8,3682821
1,3,vision,9.129761718213558,9.121630806475878,9.136976907029748,7.355674169957638,1.801502425223589,224,32,42.0,16.0,8,4076037
1,4,M_T1,9.13443835452199,9.125774027779698,9.140090551227331,7.357644848525524,1.803157851099968,224,32,42.0,22.0,0,2896389
2,0,text,9.13112424314022,9.125516284257174,9.136271430179477,7.361663039773703,1.7938201781362295,224,32,42.0,24.0,8,3682821
2,1,dual,9.1203679330647,9.11303935572505,9.125525830313563,7.354091852903366,1.793314702808857,224,32,42.0,20.0,16,4862469
2,2,openclip_vit_b32_quickgelu_openai,9.260076098144054,9.257202735170722,9.262902429327369,5.414456129074097,3.920791670680046,224,77,,,0,0
2,3,M_T1,9.116358123719692,9.110168321058154,9.124454110860825,7.3484189342707396,1.797843025997281,224,32,42.0,22.0,0,2896389
2,4,vision,9.118430782109499,9.112933650612831,9.123955154791474,7.346026133745909,1.8003890290856361,224,32,42.0,16.0,8,4076037
3,0,dual,9.114156011492014,9.109969949349761,9.120761882513762,7.343619363382459,1.7973848152905703,224,32,42.0,20.0,16,4862469
3,1,text,9.123158175498247,9.11800330504775,9.130408056080341,7.352279266342521,1.7898052465170622,224,32,42.0,24.0,8,3682821
3,2,vision,9.119332302361727,9.114376502111554,9.126570075750351,7.346095284447074,1.805705949664116,224,32,42.0,16.0,8,4076037
3,3,M_T1,9.122756775468588,9.116664063185453,9.13098594173789,7.346743484959006,1.8026698380708694,224,32,42.0,22.0,0,2896389
3,4,openclip_vit_b32_quickgelu_openai,9.259591344743967,9.257066994905472,9.262051666155457,5.41544402949512,3.9210955146700144,224,77,,,0,0
4,0,openclip_vit_b32_quickgelu_openai,9.260286577045918,9.256816701963544,9.262993233278394,5.414336221292615,3.920541610568762,224,77,,,0,0
4,1,vision,9.116579312831163,9.112713625654578,9.12515539675951,7.344344398006797,1.7978183459490538,224,32,42.0,16.0,8,4076037
4,2,text,9.114460553973913,9.109021397307515,9.119352092966437,7.351134670898318,1.7853295430541039,224,32,42.0,24.0,8,3682821
4,3,dual,9.114486631006002,9.108845377340913,9.121360490098596,7.343905512243509,1.794594107195735,224,32,42.0,20.0,16,4862469
4,4,M_T1,9.121531154960394,9.1145362239331,9.127115132287145,7.349753053858876,1.8042672891169786,224,32,42.0,22.0,0,2896389
5,0,openclip_vit_b32_quickgelu_openai,9.259040001779795,9.257626254111528,9.262414881959558,5.41511457413435,3.9205881766974926,224,77,,,0,0
5,1,vision,9.121221024543047,9.113490115851164,9.12702758796513,7.3471644427627325,1.7949494067579508,224,32,42.0,16.0,8,4076037
5,2,M_T1,9.115627966821194,9.110765298828483,9.121516486629844,7.349823601543903,1.7994199879467487,224,32,42.0,22.0,0,2896389
5,3,text,9.12076374515891,9.114203276112676,9.128642966970801,7.351663196459413,1.7914767377078533,224,32,42.0,24.0,8,3682821
5,4,dual,9.113004431128502,9.10799647681415,9.120617061853409,7.3449499905109406,1.7913468182086945,224,32,42.0,20.0,16,4862469
6,0,vision,9.118852205574512,9.111784398555756,9.123608004301786,7.3447516188025475,1.792713301256299,224,32,42.0,16.0,8,4076037
6,1,text,9.115487337112427,9.11037833429873,9.122719522565603,7.352757733315229,1.7916022334247828,224,32,42.0,24.0,8,3682821
6,2,dual,9.111396502703428,9.104463970288634,9.11734951660037,7.344431011006236,1.7868198920041323,224,32,42.0,20.0,16,4862469
6,3,M_T1,9.116949513554573,9.110800689086318,9.121295297518373,7.3480065912008286,1.803228398784995,224,32,42.0,22.0,0,2896389
6,4,openclip_vit_b32_quickgelu_openai,9.25959600135684,9.257662575691938,9.263558080419898,5.415483145043254,3.9214997086673975,224,77,,,0,0
7,0,openclip_vit_b32_quickgelu_openai,9.260526392608881,9.25784814171493,9.263606742024422,5.416068015620112,3.919786075130105,224,77,,,0,0
7,1,text,9.123598225414753,9.116107830777764,9.129011072218418,7.353038061410189,1.7934329807758331,224,32,42.0,24.0,8,3682821
7,2,M_T1,9.122807066887617,9.116818895563483,9.12850140593946,7.348389131948352,1.80468475446105,224,32,42.0,22.0,0,2896389
7,3,dual,9.111866820603609,9.107170859351754,9.119124617427588,7.3444785084575415,1.791949849575758,224,32,42.0,20.0,16,4862469
7,4,vision,9.119112510234118,9.113785112276673,9.126665303483605,7.346246624365449,1.800168538466096,224,32,42.0,16.0,8,4076037
8,0,M_T1,9.12321824580431,9.116330184042454,9.129834827035666,7.348973769694567,1.8053811509162188,224,32,42.0,22.0,0,2896389
8,1,openclip_vit_b32_quickgelu_openai,9.261293802410364,9.258372010663152,9.263871936127543,5.416554166004062,3.920122981071472,224,77,,,0,0
8,2,vision,9.121435228735209,9.113585110753775,9.126212447881699,7.347686216235161,1.8003438599407673,224,32,42.0,16.0,8,4076037
8,3,dual,9.11196181550622,9.10626002587378,9.119165129959583,7.34687689691782,1.7890604212880135,224,32,42.0,20.0,16,4862469
8,4,text,9.12397913634777,9.118847083300352,9.131105616688728,7.353396154940128,1.7919170204550028,224,32,42.0,24.0,8,3682821
9,0,M_T1,9.118822868913412,9.115441236644983,9.125323500484228,7.350577041506767,1.8056188710033894,224,32,42.0,22.0,0,2896389
9,1,text,9.118867572396994,9.112776257097721,9.12268040701747,7.352607557550073,1.7905684653669596,224,32,42.0,24.0,8,3682821
