queue_size,seed,value,source
0,42,0.3759716749191284,reused_queue_free
0,43,0.37063227593898773,reused_queue_free
0,44,0.3730313777923584,reused_queue_free
1024,42,0.31235867738723755,new
1024,43,0.30881838500499725,new
1024,44,0.3054194003343582,new
4096,42,0.2529097869992256,new
4096,43,0.25342950969934464,new
4096,44,0.2510298639535904,new
16384,42,0.20979846268892288,reused_fresh_identification
16384,43,0.20775870233774185,reused_fresh_identification
16384,44,0.20943836122751236,reused_fresh_identification
65536,42,0.19406244158744812,reused_fresh_identification
65536,43,0.19374267011880875,reused_fresh_identification
65536,44,0.19226226210594177,reused_fresh_identification
