arm,repetition,q3_delta_vs_no_merge_ms
merge_after_block_8,0,-1.1167274788022041
merge_after_block_8,1,-1.1425705160945654
merge_after_block_8,2,-0.8442341350018978
merge_after_block_8,3,-0.9679156355559826
merge_after_block_8,4,-0.9847905021160841
merge_after_block_8,5,-0.955736031755805
merge_after_block_8,6,-0.9518158622086048
merge_after_block_8,7,-0.9490943048149347
merge_after_block_8,8,-0.9591551497578621
merge_after_block_8,9,-0.9678001515567303
merge_after_block_6,0,-1.789681613445282
merge_after_block_6,1,-1.735213678330183
merge_after_block_6,2,-1.506241038441658
merge_after_block_6,3,-1.5852800570428371
merge_after_block_6,4,-1.5831799246370792
merge_after_block_6,5,-1.5673828311264515
merge_after_block_6,6,-1.5731160528957844
merge_after_block_6,7,-1.5538616571575403
merge_after_block_6,8,-1.5869715716689825
merge_after_block_6,9,-1.5828271862119436
