repetition,order_position,arm,merge_after_block,input_resolution,patch_tokens_before,patch_tokens_after,total_tokens_after,median_ms,q1_ms,q3_ms,image_median_ms,image_q1_ms,image_q3_ms,selected_seed,selected_epoch,merged_lora_modules,parent_inference_trainable_parameters
0,0,merge_after_block_8,8.0,224,196,49,54,8.324532303959131,8.317273342981935,8.335838560014963,6.470805034041405,6.463793106377125,6.478558294475079,42,20,16,4862469
0,1,no_merge,,224,196,196,201,9.441770613193512,9.433802915737033,9.452566038817167,7.701740600168705,7.538020610809326,7.709065685048699,42,20,16,4862469
0,2,merge_after_block_6,6.0,224,196,49,54,7.652582600712776,7.644191617146134,7.662884425371885,5.791990552097559,5.784728564321995,5.800079554319382,42,20,16,4862469
1,0,merge_after_block_6,6.0,224,196,49,54,7.647386286407709,7.636911468580365,7.656715577468276,5.6887781247496605,5.678901681676507,5.782642867416143,42,20,16,4862469
1,1,no_merge,,224,196,196,201,9.225138928741217,9.042426478117704,9.391929255798459,7.311168126761913,7.308581378310919,7.315958850085735,42,20,16,4862469
1,2,merge_after_block_8,8.0,224,196,49,54,8.185992017388344,8.170969085767865,8.249358739703894,6.229748949408531,6.223495118319988,6.244319025427103,42,20,16,4862469
2,0,merge_after_block_8,8.0,224,196,49,54,8.189080748707056,8.180588716641068,8.19711061194539,6.221697200089693,6.214521359652281,6.227094912901521,42,20,16,4862469
2,1,merge_after_block_6,6.0,224,196,49,54,7.526889909058809,7.517179008573294,7.5351037085056305,5.588985979557037,5.581685341894627,5.59543794952333,42,20,16,4862469
2,2,no_merge,,224,196,196,201,9.035101626068354,9.027238003909588,9.041344746947289,7.313685957342386,7.309898501262069,7.316988427191973,42,20,16,4862469
3,0,no_merge,,224,196,196,201,9.033243637531996,9.027790511026978,9.041593177244067,7.308914791792631,7.304861210286617,7.313264533877373,42,20,16,4862469
3,1,merge_after_block_8,8.0,224,196,49,54,8.062071166932583,8.05451674386859,8.073677541688085,6.213150452822447,6.206657504662871,6.220060167834163,42,20,16,4862469
3,2,merge_after_block_6,6.0,224,196,49,54,7.447074167430401,7.440077373757958,7.45631312020123,5.595039110630751,5.587627645581961,5.603808211162686,42,20,16,4862469
4,0,merge_after_block_8,8.0,224,196,49,54,8.063192944973707,8.052653400227427,8.070338517427444,6.214442662894726,6.207600701600313,6.221133982762694,42,20,16,4862469
4,1,merge_after_block_6,6.0,224,196,49,54,7.461919914931059,7.449604803696275,7.471949094906449,5.6000021286308765,5.594961578026414,5.607896950095892,42,20,16,4862469
4,2,no_merge,,224,196,196,201,9.048670530319214,9.042436955496669,9.055129019543529,7.313251029700041,7.309844484552741,7.316735573112965,42,20,16,4862469
5,0,merge_after_block_6,6.0,224,196,49,54,7.463391870260239,7.456477964296937,7.478788029402494,5.609544459730387,5.602231249213219,5.61920297332108,42,20,16,4862469
5,1,no_merge,,224,196,196,201,9.03908722102642,9.03320126235485,9.046170860528946,7.314101327210665,7.311764173209667,7.31691112741828,42,20,16,4862469
5,2,merge_after_block_8,8.0,224,196,49,54,8.081613574177027,8.071855176240206,8.090434828773141,6.227875594049692,6.221033865585923,6.235988112166524,42,20,16,4862469
6,0,merge_after_block_8,8.0,224,196,49,54,8.082644548267126,8.073627715930343,8.094258140772581,6.232276558876038,6.225986173376441,6.237564841285348,42,20,16,4862469
6,1,no_merge,,224,196,196,201,9.041019715368748,9.034479968249798,9.046074002981186,7.316950708627701,7.3133050464093685,7.320079253986478,42,20,16,4862469
6,2,merge_after_block_6,6.0,224,196,49,54,7.46370293200016,7.457854924723506,7.4729579500854015,5.611217115074396,5.606228951364756,5.616466514766216,42,20,16,4862469
7,0,no_merge,,224,196,196,201,9.042075835168362,9.037845069542527,9.046048857271671,7.314075715839863,7.311438443139195,7.319013820961118,42,20,16,4862469
7,1,merge_after_block_6,6.0,224,196,49,54,7.470466662198305,7.459811866283417,7.492187200114131,5.617090500891209,5.610395222902298,5.6243170984089375,42,20,16,4862469
7,2,merge_after_block_8,8.0,224,196,49,54,8.087070658802986,8.078584913164377,8.096954552456737,6.230714730918407,6.2229137402027845,6.235608598217368,42,20,16,4862469
8,0,merge_after_block_6,6.0,224,196,49,54,7.452873513102531,7.444996386766434,7.4605792760849,5.603030323982239,5.597296636551619,5.609471118077636,42,20,16,4862469
8,1,merge_after_block_8,8.0,224,196,49,54,8.07888526469469,8.067880058661103,8.08839569799602,6.227955687791109,6.221808027476072,6.233844673261046,42,20,16,4862469
8,2,no_merge,,224,196,196,201,9.039797820150852,9.033227805048227,9.047550847753882,7.3186783120036125,7.313175592571497,7.3216145392507315,42,20,16,4862469
9,0,no_merge,,224,196,196,201,9.036904200911522,9.030695306137204,9.047964587807655,7.311482913792133,7.308196043595672,7.316114846616983,42,20,16,4862469
9,1,merge_after_block_8,8.0,224,196,49,54,8.072867058217525,8.06369143538177,8.080164436250925,6.2223137356340885,6.213826825842261,6.228036480024457,42,20,16,4862469
9,2,merge_after_block_6,6.0,224,196,49,54,7.457938976585865,7.45042972266674,7.465137401595712,5.606475286185741,5.601934157311916,5.611740052700043,42,20,16,4862469
