status,seed,epoch,image_resolution,patch_size,patch_tokens,prefix_tokens,total_transformer_tokens,i2t_R@1,i2t_R@5,i2t_R@10,mean_rank_i2t,median_rank_i2t,t2i_R@1,t2i_R@5,t2i_R@10,mean_rank_t2i,median_rank_t2i,num_image_queries,num_text_queries,mean_R@1,gpu_model,node,precision,coco_dev_mean_R1,lr,dataset,test_split_used,checkpoint_fingerprint,checkpoint_path
COMPLETE,42,1,224,16,196,5,201,0.2800788879394531,0.5591716170310974,0.6883628964424133,27.56804656982422,4.0,0.23510847985744476,0.49921104311943054,0.6120315790176392,31.13392448425293,6.0,1014.0,5070.0,0.25759368389844894,NVIDIA RTX PRO 6000 Blackwell Server Edition,aisurrey38.surrey.ac.uk,native_bf16,0.20424068719148636,0.002140605073955639,Flickr30k Karpathy validation,False,a77ad533f1221cf80c4e96edb1cb58980fe3cb1851f74da9ff59d1aaff941d8e,tokenshift_training/checkpoints/dual_block6/sensitivity/distill_strength_1p0__seed_42/epoch_01.pt
COMPLETE,42,2,224,16,196,5,201,0.4132149815559387,0.7001972198486328,0.7889546155929565,17.06114387512207,2.0,0.3108481168746948,0.5842208862304688,0.6927021741867065,23.31715965270996,3.0,1014.0,5070.0,0.3620315492153168,NVIDIA RTX PRO 6000 Blackwell Server Edition,aisurrey38.surrey.ac.uk,native_bf16,0.29708579182624817,0.002537859425665334,Flickr30k Karpathy validation,False,a77ad533f1221cf80c4e96edb1cb58980fe3cb1851f74da9ff59d1aaff941d8e,tokenshift_training/checkpoints/dual_block6/sensitivity/distill_strength_1p0__seed_42/epoch_02.pt
COMPLETE,42,3,224,16,196,5,201,0.4615384638309479,0.7534517049789429,0.8362919092178345,12.850098609924316,2.0,0.3428007960319519,0.6214990019798279,0.7280079126358032,20.057594299316406,3.0,1014.0,5070.0,0.4021696299314499,NVIDIA RTX PRO 6000 Blackwell Server Edition,aisurrey38.surrey.ac.uk,native_bf16,0.3265393078327179,0.002506637309249323,Flickr30k Karpathy validation,False,a77ad533f1221cf80c4e96edb1cb58980fe3cb1851f74da9ff59d1aaff941d8e,tokenshift_training/checkpoints/dual_block6/sensitivity/distill_strength_1p0__seed_42/epoch_03.pt
COMPLETE,42,4,224,16,196,5,201,0.5088757276535034,0.7633135914802551,0.8500986099243164,12.173569679260254,1.0,0.35325443744659424,0.6506903171539307,0.7504931092262268,17.85424041748047,3.0,1014.0,5070.0,0.43106508255004883,NVIDIA RTX PRO 6000 Blackwell Server Edition,aisurrey38.surrey.ac.uk,native_bf16,0.34741680324077606,0.0024520266339178296,Flickr30k Karpathy validation,False,a77ad533f1221cf80c4e96edb1cb58980fe3cb1851f74da9ff59d1aaff941d8e,tokenshift_training/checkpoints/dual_block6/sensitivity/distill_strength_1p0__seed_42/epoch_04.pt
COMPLETE,42,5,224,16,196,5,201,0.5157790780067444,0.784023642539978,0.8550295829772949,11.01873779296875,1.0,0.3725838363170624,0.6540433764457703,0.7603550553321838,16.331558227539062,3.0,1014.0,5070.0,0.4441814571619034,NVIDIA RTX PRO 6000 Blackwell Server Edition,aisurrey38.surrey.ac.uk,native_bf16,0.36167392134666443,0.002375062590388216,Flickr30k Karpathy validation,False,a77ad533f1221cf80c4e96edb1cb58980fe3cb1851f74da9ff59d1aaff941d8e,tokenshift_training/checkpoints/dual_block6/sensitivity/distill_strength_1p0__seed_42/epoch_05.pt
COMPLETE,42,6,224,16,196,5,201,0.5276134014129639,0.7998027801513672,0.8629191517829895,10.732741355895996,1.0,0.3790926933288574,0.6625246405601501,0.7581853866577148,16.694477081298828,2.0,1014.0,5070.0,0.45335304737091064,NVIDIA RTX PRO 6000 Blackwell Server Edition,aisurrey38.surrey.ac.uk,native_bf16,0.37631188333034515,0.002277204096041539,Flickr30k Karpathy validation,False,a77ad533f1221cf80c4e96edb1cb58980fe3cb1851f74da9ff59d1aaff941d8e,tokenshift_training/checkpoints/dual_block6/sensitivity/distill_strength_1p0__seed_42/epoch_06.pt
COMPLETE,42,7,224,16,196,5,201,0.5394477248191833,0.8047337532043457,0.867850124835968,9.446745872497559,1.0,0.3865877687931061,0.6698225140571594,0.7666666507720947,15.601380348205566,2.0,1014.0,5070.0,0.4630177468061447,NVIDIA RTX PRO 6000 Blackwell Server Edition,aisurrey38.surrey.ac.uk,native_bf16,0.3789709806442261,0.0021603061399316377,Flickr30k Karpathy validation,False,a77ad533f1221cf80c4e96edb1cb58980fe3cb1851f74da9ff59d1aaff941d8e,tokenshift_training/checkpoints/dual_block6/sensitivity/distill_strength_1p0__seed_42/epoch_07.pt
COMPLETE,42,8,224,16,196,5,201,0.5719920992851257,0.8214989900588989,0.8915187120437622,9.347140312194824,1.0,0.3966469466686249,0.6794871687889099,0.7779092788696289,15.40867805480957,2.0,1014.0,5070.0,0.4843195229768753,NVIDIA RTX PRO 6000 Blackwell Server Edition,aisurrey38.surrey.ac.uk,native_bf16,0.38687023520469666,0.00202658461992663,Flickr30k Karpathy validation,False,a77ad533f1221cf80c4e96edb1cb58980fe3cb1851f74da9ff59d1aaff941d8e,tokenshift_training/checkpoints/dual_block6/sensitivity/distill_strength_1p0__seed_42/epoch_08.pt
COMPLETE,42,9,224,16,196,5,201,0.5512820482254028,0.8047337532043457,0.8806706070899963,9.757396697998047,1.0,0.40138065814971924,0.6828402280807495,0.784023642539978,14.585404396057129,2.0,1014.0,5070.0,0.47633135318756104,NVIDIA RTX PRO 6000 Blackwell Server Edition,aisurrey38.surrey.ac.uk,native_bf16,0.39470863342285156,0.0018785743385240183,Flickr30k Karpathy validation,False,a77ad533f1221cf80c4e96edb1cb58980fe3cb1851f74da9ff59d1aaff941d8e,tokenshift_training/checkpoints/dual_block6/sensitivity/distill_strength_1p0__seed_42/epoch_09.pt
COMPLETE,42,10,224,16,196,5,201,0.5650887489318848,0.8155818581581116,0.8944773077964783,8.880670547485352,1.0,0.4021696150302887,0.6909270286560059,0.786193311214447,13.77475357055664,2.0,1014.0,5070.0,0.48362918198108673,NVIDIA RTX PRO 6000 Blackwell Server Edition,aisurrey38.surrey.ac.uk,native_bf16,0.39978648722171783,0.0017190809535636298,Flickr30k Karpathy validation,False,a77ad533f1221cf80c4e96edb1cb58980fe3cb1851f74da9ff59d1aaff941d8e,tokenshift_training/checkpoints/dual_block6/sensitivity/distill_strength_1p0__seed_42/epoch_10.pt
