status,seed,epoch,image_resolution,patch_size,patch_tokens,prefix_tokens,total_transformer_tokens,i2t_R@1,i2t_R@5,i2t_R@10,mean_rank_i2t,median_rank_i2t,t2i_R@1,t2i_R@5,t2i_R@10,mean_rank_t2i,median_rank_t2i,num_image_queries,num_text_queries,mean_R@1,gpu_model,node,precision,coco_dev_mean_R1,lr,dataset,test_split_used,checkpoint_fingerprint,checkpoint_path
COMPLETE,42,1,224,16,196,5,201,0.2337278127670288,0.47633135318756104,0.5966469645500183,44.672584533691406,6.0,0.194674551486969,0.42189347743988037,0.5378698110580444,43.520511627197266,8.0,1014.0,5070.0,0.2142011821269989,NVIDIA RTX PRO 6000 Blackwell Server Edition,aisurrey38.surrey.ac.uk,native_bf16,0.15928968787193298,0.002140605073955639,Flickr30k Karpathy validation,False,4bc5de23210e5b4d548a6a5960731848ed3deba61895fcf0489f9ca655def670,tokenshift_training/checkpoints/frozen_block6/sensitivity/distill_strength_1p0__seed_42/epoch_01.pt
COMPLETE,42,2,224,16,196,5,201,0.32248520851135254,0.6124260425567627,0.709073007106781,24.55128288269043,3.0,0.24339251220226288,0.5019723773002625,0.6213017702102661,30.139053344726562,5.0,1014.0,5070.0,0.2829388603568077,NVIDIA RTX PRO 6000 Blackwell Server Edition,aisurrey38.surrey.ac.uk,native_bf16,0.2313181459903717,0.002537859425665334,Flickr30k Karpathy validation,False,4bc5de23210e5b4d548a6a5960731848ed3deba61895fcf0489f9ca655def670,tokenshift_training/checkpoints/frozen_block6/sensitivity/distill_strength_1p0__seed_42/epoch_02.pt
COMPLETE,42,3,224,16,196,5,201,0.3658777177333832,0.642011821269989,0.7426035404205322,19.034517288208008,3.0,0.2767258286476135,0.5376725792884827,0.6603550314903259,26.828401565551758,5.0,1014.0,5070.0,0.32130177319049835,NVIDIA RTX PRO 6000 Blackwell Server Edition,aisurrey38.surrey.ac.uk,native_bf16,0.2623120844364166,0.002506637309249323,Flickr30k Karpathy validation,False,4bc5de23210e5b4d548a6a5960731848ed3deba61895fcf0489f9ca655def670,tokenshift_training/checkpoints/frozen_block6/sensitivity/distill_strength_1p0__seed_42/epoch_03.pt
COMPLETE,42,4,224,16,196,5,201,0.3964497148990631,0.6666666865348816,0.7623274326324463,15.954634666442871,2.0,0.2915187478065491,0.5589743852615356,0.6788954734802246,23.85660743713379,4.0,1014.0,5070.0,0.3439842313528061,NVIDIA RTX PRO 6000 Blackwell Server Edition,aisurrey38.surrey.ac.uk,native_bf16,0.28100816905498505,0.0024520266339178296,Flickr30k Karpathy validation,False,4bc5de23210e5b4d548a6a5960731848ed3deba61895fcf0489f9ca655def670,tokenshift_training/checkpoints/frozen_block6/sensitivity/distill_strength_1p0__seed_42/epoch_04.pt
COMPLETE,42,5,224,16,196,5,201,0.4043392539024353,0.6863905191421509,0.7771202921867371,16.485206604003906,2.0,0.30276134610176086,0.577120304107666,0.6903353333473206,24.02781105041504,4.0,1014.0,5070.0,0.3535503000020981,NVIDIA RTX PRO 6000 Blackwell Server Edition,aisurrey38.surrey.ac.uk,native_bf16,0.29840534925460815,0.002375062590388216,Flickr30k Karpathy validation,False,4bc5de23210e5b4d548a6a5960731848ed3deba61895fcf0489f9ca655def670,tokenshift_training/checkpoints/frozen_block6/sensitivity/distill_strength_1p0__seed_42/epoch_05.pt
COMPLETE,42,6,224,16,196,5,201,0.4092702269554138,0.6883628964424133,0.7761341333389282,15.652859687805176,2.0,0.2958579957485199,0.5779092907905579,0.6958580017089844,22.35641098022461,4.0,1014.0,5070.0,0.35256411135196686,NVIDIA RTX PRO 6000 Blackwell Server Edition,aisurrey38.surrey.ac.uk,native_bf16,0.3037034571170807,0.002277204096041539,Flickr30k Karpathy validation,False,4bc5de23210e5b4d548a6a5960731848ed3deba61895fcf0489f9ca655def670,tokenshift_training/checkpoints/frozen_block6/sensitivity/distill_strength_1p0__seed_42/epoch_06.pt
COMPLETE,42,7,224,16,196,5,201,0.42307692766189575,0.6893491148948669,0.784023642539978,16.60848045349121,2.0,0.3059171736240387,0.5925049185752869,0.6984220743179321,23.665483474731445,3.0,1014.0,5070.0,0.3644970506429672,NVIDIA RTX PRO 6000 Blackwell Server Edition,aisurrey38.surrey.ac.uk,native_bf16,0.30676306784152985,0.0021603061399316377,Flickr30k Karpathy validation,False,4bc5de23210e5b4d548a6a5960731848ed3deba61895fcf0489f9ca655def670,tokenshift_training/checkpoints/frozen_block6/sensitivity/distill_strength_1p0__seed_42/epoch_07.pt
COMPLETE,42,8,224,16,196,5,201,0.4043392539024353,0.6982248425483704,0.7859960794448853,16.107494354248047,2.0,0.31282052397727966,0.5877711772918701,0.6936883926391602,22.895463943481445,3.0,1014.0,5070.0,0.3585798889398575,NVIDIA RTX PRO 6000 Blackwell Server Edition,aisurrey38.surrey.ac.uk,native_bf16,0.31656189262866974,0.00202658461992663,Flickr30k Karpathy validation,False,4bc5de23210e5b4d548a6a5960731848ed3deba61895fcf0489f9ca655def670,tokenshift_training/checkpoints/frozen_block6/sensitivity/distill_strength_1p0__seed_42/epoch_08.pt
COMPLETE,42,9,224,16,196,5,201,0.42800790071487427,0.6982248425483704,0.7928994297981262,15.17850112915039,2.0,0.3195266127586365,0.5994082689285278,0.7019723653793335,21.965286254882812,3.0,1014.0,5070.0,0.37376725673675537,NVIDIA RTX PRO 6000 Blackwell Server Edition,aisurrey38.surrey.ac.uk,native_bf16,0.32358092069625854,0.0018785743385240183,Flickr30k Karpathy validation,False,4bc5de23210e5b4d548a6a5960731848ed3deba61895fcf0489f9ca655def670,tokenshift_training/checkpoints/frozen_block6/sensitivity/distill_strength_1p0__seed_42/epoch_09.pt
COMPLETE,42,10,224,16,196,5,201,0.4447731673717499,0.6913214921951294,0.790926992893219,15.461538314819336,2.0,0.32228797674179077,0.5970414280891418,0.7134122252464294,22.70453643798828,3.0,1014.0,5070.0,0.3835305720567703,NVIDIA RTX PRO 6000 Blackwell Server Edition,aisurrey38.surrey.ac.uk,native_bf16,0.32766030728816986,0.0017190809535636298,Flickr30k Karpathy validation,False,4bc5de23210e5b4d548a6a5960731848ed3deba61895fcf0489f9ca655def670,tokenshift_training/checkpoints/frozen_block6/sensitivity/distill_strength_1p0__seed_42/epoch_10.pt
COMPLETE,42,11,224,16,196,5,201,0.42702168226242065,0.709073007106781,0.7928994297981262,14.984220504760742,2.0,0.3250493109226227,0.5974358916282654,0.6980276107788086,22.327613830566406,3.0,1014.0,5070.0,0.37603549659252167,NVIDIA RTX PRO 6000 Blackwell Server Edition,aisurrey38.surrey.ac.uk,native_bf16,0.32406044006347656,0.0015511277946525298,Flickr30k Karpathy validation,False,4bc5de23210e5b4d548a6a5960731848ed3deba61895fcf0489f9ca655def670,tokenshift_training/checkpoints/frozen_block6/sensitivity/distill_strength_1p0__seed_42/epoch_11.pt
COMPLETE,42,12,224,16,196,5,201,0.4497041404247284,0.7130177617073059,0.7988165616989136,14.881656646728516,2.0,0.32583826780319214,0.6019724011421204,0.7061144113540649,21.848915100097656,3.0,1014.0,5070.0,0.38777120411396027,NVIDIA RTX PRO 6000 Blackwell Server Edition,aisurrey38.surrey.ac.uk,native_bf16,0.3299599140882492,0.0013778985534407648,Flickr30k Karpathy validation,False,4bc5de23210e5b4d548a6a5960731848ed3deba61895fcf0489f9ca655def670,tokenshift_training/checkpoints/frozen_block6/sensitivity/distill_strength_1p0__seed_42/epoch_12.pt
