arm,parent,repetition,paired_q3_delta_ms
frozen_block8,frozen_no_merge,0,-1.077752560377121
frozen_block8,frozen_no_merge,1,-0.8311495184898376
frozen_block8,frozen_no_merge,2,-0.9401910938322544
frozen_block8,frozen_no_merge,3,-0.9303514380007982
frozen_block8,frozen_no_merge,4,-0.9198759216815233
frozen_block8,frozen_no_merge,5,-0.9416216053068638
frozen_block8,frozen_no_merge,6,-0.9405629243701696
frozen_block8,frozen_no_merge,7,-0.938603887334466
frozen_block8,frozen_no_merge,8,-0.9153771679848433
frozen_block8,frozen_no_merge,9,-0.9381750132888556
frozen_block6,frozen_no_merge,0,-1.7584026791155338
frozen_block6,frozen_no_merge,1,-1.477796584367752
frozen_block6,frozen_no_merge,2,-1.5657457988709211
frozen_block6,frozen_no_merge,3,-1.5634053852409124
frozen_block6,frozen_no_merge,4,-1.5444650780409575
frozen_block6,frozen_no_merge,5,-1.5616156160831451
frozen_block6,frozen_no_merge,6,-1.5639520715922117
frozen_block6,frozen_no_merge,7,-1.568106934428215
frozen_block6,frozen_no_merge,8,-1.5325697604566813
frozen_block6,frozen_no_merge,9,-1.5486415941268206
dual_block8,dual_lora_no_merge,0,-1.1013112962245941
dual_block8,dual_lora_no_merge,1,-0.704911770299077
dual_block8,dual_lora_no_merge,2,-0.9501366876065731
dual_block8,dual_lora_no_merge,3,-0.9331381879746914
dual_block8,dual_lora_no_merge,4,-0.9575705043971539
dual_block8,dual_lora_no_merge,5,-0.9338073432445526
dual_block8,dual_lora_no_merge,6,-0.9418877307325602
dual_block8,dual_lora_no_merge,7,-0.9498472791165113
dual_block8,dual_lora_no_merge,8,-0.9488335344940424
dual_block8,dual_lora_no_merge,9,-0.916673569008708
dual_block6,dual_lora_no_merge,0,-1.7989880871027708
dual_block6,dual_lora_no_merge,1,-1.4908022712916136
dual_block6,dual_lora_no_merge,2,-1.570665743201971
dual_block6,dual_lora_no_merge,3,-1.5705993864685297
dual_block6,dual_lora_no_merge,4,-1.5735263004899025
dual_block6,dual_lora_no_merge,5,-1.563372788950801
dual_block6,dual_lora_no_merge,6,-1.5557862352579832
dual_block6,dual_lora_no_merge,7,-1.5654363669455051
dual_block6,dual_lora_no_merge,8,-1.5686776023358107
dual_block6,dual_lora_no_merge,9,-1.5519040171056986
