repetition,order_position,arm,median_ms,q1_ms,q3_ms,image_q3_ms,text_q3_ms,image_resolution,padded_sequence_length,role,selected_seed,selected_epoch,merged_lora_modules,inference_trainable_parameters,merge_after_block
0,0,dual_lora_no_merge,9.499804582446814,9.490606607869267,9.50790848582983,7.753885118290782,1.7734065186232328,224,32,existing_no_merge_parent,42.0,20.0,16,4862469,
0,1,openclip_vit_b32_quickgelu_openai,9.639060590416193,9.6358940936625,9.642780758440495,5.637700669467449,4.062650026753545,224,77,efficiency_reference,,,0,0,
0,2,frozen_block6,7.740464061498642,7.73224956355989,7.751254364848137,5.859231110662222,1.785017317160964,224,32,tokenshift_candidate,42.0,18.0,0,2896389,6.0
0,3,frozen_block8,8.422174025326967,8.408572291955352,8.43190448358655,6.536362459883094,1.7898096702992916,224,32,tokenshift_candidate,42.0,10.0,0,2896389,8.0
0,4,frozen_no_merge,9.503429289907217,9.497730527073145,9.50965704396367,7.746079936623573,1.7911361064761877,224,32,existing_no_merge_parent,42.0,22.0,0,2896389,
0,5,dual_block8,8.396608754992485,8.387194713577628,8.406597189605236,6.51776185259223,1.77359813824296,224,32,tokenshift_candidate,42.0,23.0,16,4862469,8.0
0,6,dual_block6,7.700409274548292,7.692007347941399,7.708920398727059,5.7398611679673195,1.7731236293911934,224,32,tokenshift_candidate,42.0,21.0,16,4862469,6.0
1,0,dual_block8,8.27915733680129,8.260059170424938,8.39062756858766,6.393247516825795,1.7716793809086084,224,32,tokenshift_candidate,42.0,23.0,16,4862469,8.0
1,1,openclip_vit_b32_quickgelu_openai,9.128828067332506,9.126499760895967,9.133283514529467,5.333891836926341,3.8642261642962694,224,77,efficiency_reference,,,0,0,
1,2,frozen_block8,8.260075002908707,8.166574407368898,8.274811552837491,6.281940964981914,1.783566316589713,224,32,tokenshift_candidate,42.0,10.0,0,2896389,8.0
1,3,dual_block6,7.591254077851772,7.52859516069293,7.604737067595124,5.653668427839875,1.7682979814708233,224,32,tokenshift_candidate,42.0,21.0,16,4862469,6.0
1,4,frozen_block6,7.618981879204512,7.610813248902559,7.628164486959577,5.659342976287007,1.7765788361430168,224,32,tokenshift_candidate,42.0,18.0,0,2896389,6.0
1,5,dual_lora_no_merge,9.089713916182518,9.08421422354877,9.095539338886738,7.350337458774447,1.7651424277573824,224,32,existing_no_merge_parent,42.0,20.0,16,4862469,
1,6,frozen_no_merge,9.100348223000765,9.09416051581502,9.105961071327329,7.355341222137213,1.7745676450431347,224,32,existing_no_merge_parent,42.0,22.0,0,2896389,
2,0,openclip_vit_b32_quickgelu_openai,9.128232020884752,9.126021293923259,9.131456492468715,5.333333974704146,3.861993318423629,224,77,efficiency_reference,,,0,0,
2,1,frozen_block8,8.156778290867805,8.146809181198478,8.166571613401175,6.289521465077996,1.7751939594745636,224,32,tokenshift_candidate,42.0,10.0,0,2896389,8.0
2,2,dual_block6,7.516344543546438,7.510742638260126,7.52567034214735,5.65799605101347,1.7669652588665485,224,32,tokenshift_candidate,42.0,21.0,16,4862469,6.0
2,3,frozen_no_merge,9.100959636271,9.095977758988738,9.106762707233429,7.356923306360841,1.7765790689736605,224,32,existing_no_merge_parent,42.0,22.0,0,2896389,
2,4,dual_block8,8.140065241605043,8.130423491820693,8.146199397742748,6.279355147853494,1.7658541910350323,224,32,tokenshift_candidate,42.0,23.0,16,4862469,8.0
2,5,dual_lora_no_merge,9.091556537896395,9.085352765396237,9.096336085349321,7.351379841566086,1.7709839157760143,224,32,existing_no_merge_parent,42.0,20.0,16,4862469,
2,6,frozen_block6,7.532227318733931,7.526189554482698,7.541016908362508,5.663609132170677,1.7767061945050955,224,32,tokenshift_candidate,42.0,18.0,0,2896389,6.0
3,0,openclip_vit_b32_quickgelu_openai,9.127180557698011,9.125691838562489,9.130927734076977,5.333485547453165,3.862065263092518,224,77,efficiency_reference,,,0,0,
3,1,frozen_block8,8.16284166648984,8.154171984642744,8.173494366928935,6.291193654760718,1.7701801843941212,224,32,tokenshift_candidate,42.0,10.0,0,2896389,8.0
3,2,dual_lora_no_merge,9.089318104088306,9.081949945539236,9.094560518860817,7.351533975452185,1.7659622244536877,224,32,existing_no_merge_parent,42.0,20.0,16,4862469,
3,3,dual_block8,8.149763569235802,8.139778161421418,8.161422330886126,6.27770577557385,1.7652981914579868,224,32,tokenshift_candidate,42.0,23.0,16,4862469,8.0
3,4,frozen_block6,7.532527670264244,7.5232230592519045,7.540440419688821,5.6680485140532255,1.7721052281558514,224,32,tokenshift_candidate,42.0,18.0,0,2896389,6.0
3,5,dual_block6,7.514406926929951,7.5066841673105955,7.523961132392287,5.665326490998268,1.7688653897494078,224,32,tokenshift_candidate,42.0,21.0,16,4862469,6.0
3,6,frozen_no_merge,9.096232708543539,9.09243174828589,9.103845804929733,7.356254616752267,1.7777271568775177,224,32,existing_no_merge_parent,42.0,22.0,0,2896389,
4,0,openclip_vit_b32_quickgelu_openai,9.12782596424222,9.126334451138973,9.13139944896102,5.333256907761097,3.8623292930424213,224,77,efficiency_reference,,,0,0,
4,1,frozen_block8,8.16941075026989,8.161444682627916,8.178052492439747,6.296707550063729,1.7787336837500334,224,32,tokenshift_candidate,42.0,10.0,0,2896389,8.0
4,2,dual_block6,7.514161989092827,7.505519548431039,7.526371628046036,5.661708535626531,1.7719115130603313,224,32,tokenshift_candidate,42.0,21.0,16,4862469,6.0
4,3,frozen_no_merge,9.091416373848915,9.087675251066685,9.09792841412127,7.354995934292674,1.7759574111551046,224,32,existing_no_merge_parent,42.0,22.0,0,2896389,
4,4,dual_block8,8.135950192809105,8.129347581416368,8.142327424138784,6.285353098064661,1.771876122802496,224,32,tokenshift_candidate,42.0,23.0,16,4862469,8.0
4,5,frozen_block6,7.53959221765399,7.53258285112679,7.553463336080313,5.665581673383713,1.78024941124022,224,32,tokenshift_candidate,42.0,18.0,0,2896389,6.0
4,6,dual_lora_no_merge,9.094886481761932,9.087868733331561,9.099897928535938,7.350939325988293,1.7726111691445112,224,32,existing_no_merge_parent,42.0,20.0,16,4862469,
5,0,frozen_block8,8.158836513757706,8.148971945047379,8.167365100234747,6.289812503382564,1.7787334509193897,224,32,tokenshift_candidate,42.0,10.0,0,2896389,8.0
5,1,openclip_vit_b32_quickgelu_openai,9.126625023782253,9.125618729740381,9.12877032533288,5.333313951268792,3.8605814334005117,224,77,efficiency_reference,,,0,0,
5,2,dual_block6,7.529248017817736,7.521742954850197,7.53922201693058,5.66338119097054,1.773839583620429,224,32,tokenshift_candidate,42.0,21.0,16,4862469,6.0
5,3,frozen_no_merge,9.103558026254177,9.098863694816828,9.10898670554161,7.356935180723667,1.7828347627073526,224,32,existing_no_merge_parent,42.0,22.0,0,2896389,
5,4,frozen_block6,7.539106998592615,7.529380964115262,7.547371089458466,5.669692996889353,1.77414296194911,224,32,tokenshift_candidate,42.0,18.0,0,2896389,6.0
5,5,dual_block8,8.158501237630844,8.153200149536133,8.168787462636828,6.290463963523507,1.7677661962807178,224,32,tokenshift_candidate,42.0,23.0,16,4862469,8.0
5,6,dual_lora_no_merge,9.095321409404278,9.088084567338228,9.102594805881381,7.353142835199833,1.7744111828505993,224,32,existing_no_merge_parent,42.0,20.0,16,4862469,
6,0,openclip_vit_b32_quickgelu_openai,9.126248769462109,9.092818479984999,9.129435988143086,5.311155924573541,3.836794290691614,224,77,efficiency_reference,,,0,0,
6,1,dual_lora_no_merge,9.091365616768599,9.086482459679246,9.096085326746106,7.320430129766464,1.7715266440063715,224,32,existing_no_merge_parent,42.0,20.0,16,4862469,
6,2,frozen_no_merge,9.099227376282215,9.093496948480606,9.105141973122954,7.325967308133841,1.7813504673540592,224,32,existing_no_merge_parent,42.0,22.0,0,2896389,
6,3,dual_block8,8.142498321831226,8.13549617305398,8.154197596013546,6.2928341794759035,1.772319432348013,224,32,tokenshift_candidate,42.0,23.0,16,4862469,8.0
6,4,frozen_block8,8.154514711350203,8.147334679961205,8.164579048752785,6.293547339737415,1.7749466933310032,224,32,tokenshift_candidate,42.0,10.0,0,2896389,8.0
6,5,frozen_block6,7.532462943345308,7.5258612632751465,7.541189901530743,5.6621539406478405,1.7709240783005953,224,32,tokenshift_candidate,42.0,18.0,0,2896389,6.0
6,6,dual_block6,7.5297486037015915,7.522185333073139,7.540299091488123,5.663709947839379,1.768454909324646,224,32,tokenshift_candidate,42.0,21.0,16,4862469,6.0
7,0,dual_block6,7.521411869674921,7.511701667681336,7.532422197982669,5.656211404129863,1.7644430045038462,224,32,tokenshift_candidate,42.0,21.0,16,4862469,6.0
7,1,dual_block8,8.138773497194052,8.129546185955405,8.148011285811663,6.28315401263535,1.7624113243073225,224,32,tokenshift_candidate,42.0,23.0,16,4862469,8.0
7,2,openclip_vit_b32_quickgelu_openai,9.083254262804985,9.080471936613321,9.087281068786979,5.310830427333713,3.837497206404805,224,77,efficiency_reference,,,0,0,
7,3,frozen_no_merge,9.097354486584663,9.087561396881938,9.10374615341425,7.326448569074273,1.7734267748892307,224,32,existing_no_merge_parent,42.0,22.0,0,2896389,
7,4,dual_lora_no_merge,9.091115556657314,9.086982114240527,9.097858564928174,7.320793345570564,1.7707978840917349,224,32,existing_no_merge_parent,42.0,20.0,16,4862469,
7,5,frozen_block8,8.157053496688604,8.148730034008622,8.165142266079783,6.293201586231589,1.7775779124349356,224,32,tokenshift_candidate,42.0,10.0,0,2896389,8.0
7,6,frozen_block6,7.526489906013012,7.5206514447927475,7.535639218986034,5.669577745720744,1.7727420199662447,224,32,tokenshift_candidate,42.0,18.0,0,2896389,6.0
8,0,frozen_block6,7.527781184762716,7.519657723605633,7.538078352808952,5.666104145348072,1.7735674045979977,224,32,tokenshift_candidate,42.0,18.0,0,2896389,6.0
8,1,dual_lora_no_merge,9.090965148061514,9.08563262782991,9.098907234147191,7.3224324733018875,1.7728465609252453,224,32,existing_no_merge_parent,42.0,20.0,16,4862469,
8,2,dual_block8,8.13955394551158,8.1316155847162,8.150073699653149,6.271317135542631,1.7722027841955423,224,32,tokenshift_candidate,42.0,23.0,16,4862469,8.0
8,3,openclip_vit_b32_quickgelu_openai,9.082634001970291,9.080871008336544,9.084724821150303,5.309626460075378,3.83730698376894,224,77,efficiency_reference,,,0,0,
8,4,frozen_no_merge,9.06527042388916,9.061077143996954,9.070648113265634,7.325930055230856,1.7777823377400637,224,32,existing_no_merge_parent,42.0,22.0,0,2896389,
8,5,dual_block6,7.518243044614792,7.511141011491418,7.53022963181138,5.645584315061569,1.7714237328618765,224,32,tokenshift_candidate,42.0,21.0,16,4862469,6.0
8,6,frozen_block8,8.147430140525103,8.139320183545351,8.15527094528079,6.265441421419382,1.768250484019518,224,32,tokenshift_candidate,42.0,10.0,0,2896389,8.0
9,0,frozen_block6,7.544228341430426,7.534152362495661,7.553546689450741,5.667374469339848,1.7738502938300371,224,32,tokenshift_candidate,42.0,18.0,0,2896389,6.0
9,1,frozen_no_merge,9.097078815102577,9.091821731999516,9.102188283577561,7.327262545004487,1.7806447576731443,224,32,existing_no_merge_parent,42.0,22.0,0,2896389,
9,2,dual_lora_no_merge,9.066622238606215,9.058250114321709,9.075409034267068,7.322537945583463,1.766987843438983,224,32,existing_no_merge_parent,42.0,20.0,16,4862469,
